pass,ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1,2048,2048,139.84,0,0.00,0.000,0,0.00,0
1,4096,2048,177.63,0,0.00,0.000,0,0.00,0
1,6144,2048,177.99,0,0.00,0.000,0,0.00,0
1,8192,2048,177.38,0,0.00,0.000,0,0.00,0
1,10240,2048,176.56,0,0.00,0.000,0,0.00,0
1,12288,2048,175.55,0,0.00,0.000,0,0.00,0
1,14336,2048,174.51,0,0.00,0.000,0,0.00,0
1,16384,2048,173.49,0,0.00,0.000,0,0.00,0
1,18432,2048,172.84,0,0.00,0.000,0,0.00,0
1,20480,2048,172.60,0,0.00,0.000,0,0.00,0
1,22528,2048,171.90,0,0.00,0.000,0,0.00,0
1,24576,2048,171.17,0,0.00,0.000,0,0.00,0
1,26624,2048,170.67,0,0.00,0.000,0,0.00,0
1,28672,2048,169.96,0,0.00,0.000,0,0.00,0
1,30720,2048,168.81,0,0.00,0.000,0,0.00,0
1,32768,2048,167.96,0,0.00,0.000,0,0.00,0
2,2048,2048,176.22,0,0.00,0.000,0,0.00,0
2,4096,2048,177.00,0,0.00,0.000,0,0.00,0
2,6144,2048,177.22,0,0.00,0.000,0,0.00,0
2,8192,2048,176.57,0,0.00,0.000,0,0.00,0
2,10240,2048,175.76,0,0.00,0.000,0,0.00,0
2,12288,2048,174.86,0,0.00,0.000,0,0.00,0
2,14336,2048,173.95,0,0.00,0.000,0,0.00,0
2,16384,2048,173.31,0,0.00,0.000,0,0.00,0
2,18432,2048,172.62,0,0.00,0.000,0,0.00,0
2,20480,2048,172.35,0,0.00,0.000,0,0.00,0
2,22528,2048,171.50,0,0.00,0.000,0,0.00,0
2,24576,2048,170.92,0,0.00,0.000,0,0.00,0
2,26624,2048,170.27,0,0.00,0.000,0,0.00,0
2,28672,2048,169.77,0,0.00,0.000,0,0.00,0
2,30720,2048,168.87,0,0.00,0.000,0,0.00,0
2,32768,2048,167.93,0,0.00,0.000,0,0.00,0
