pass,ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1,2048,2048,158.56,0,0.00,0.000,0,0.00,0
1,4096,2048,215.49,0,0.00,0.000,0,0.00,0
1,6144,2048,215.67,0,0.00,0.000,0,0.00,0
1,8192,2048,214.62,0,0.00,0.000,0,0.00,0
1,10240,2048,213.02,0,0.00,0.000,0,0.00,0
1,12288,2048,212.10,0,0.00,0.000,0,0.00,0
1,14336,2048,211.39,0,0.00,0.000,0,0.00,0
1,16384,2048,209.86,0,0.00,0.000,0,0.00,0
1,18432,2048,208.96,0,0.00,0.000,0,0.00,0
1,20480,2048,208.24,0,0.00,0.000,0,0.00,0
1,22528,2048,206.82,0,0.00,0.000,0,0.00,0
1,24576,2048,205.64,0,0.00,0.000,0,0.00,0
1,26624,2048,204.91,0,0.00,0.000,0,0.00,0
1,28672,2048,203.78,0,0.00,0.000,0,0.00,0
1,30720,2048,202.18,0,0.00,0.000,0,0.00,0
1,32768,2048,200.83,0,0.00,0.000,0,0.00,0
