id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	39.870754156	1.661281423	0	0	24	24	1.661281423	-1.661281423	120	100	0.833333333	24	15	0.625000000	100	28	0.280000000	100	7590.144499714	7589.347084631	76	70	0.921052632
case_001	18	24	31.651650723	1.318818780	0	0	24	24	1.318818780	-1.318818780	120	100	0.833333333	24	18	0.750000000	100	22	0.220000000	100	7587.411488924	7586.778455910	76	74	0.973684211
case_002	19	24	30.299904289	1.262496012	0	0	24	24	1.262496012	-1.262496012	120	96	0.800000000	24	15	0.625000000	96	23	0.239583333	96	7486.788286680	7486.157038674	72	71	0.986111111
case_003	19	24	25.791428911	1.074642871	0	0	24	24	1.074642871	-1.074642871	120	97	0.808333333	24	16	0.666666667	97	23	0.237113402	97	7513.769700486	7513.237918446	73	71	0.972602740
case_004	15	24	34.807332159	1.450305507	0	0	24	24	1.450305507	-1.450305507	120	97	0.808333333	24	15	0.625000000	97	25	0.257731959	97	7515.759737093	7515.042060141	73	72	0.986301370
case_005	14	24	19.993212354	0.833050515	0	0	24	24	0.833050515	-0.833050515	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7486.837030140	7486.420504882	72	69	0.958333333
case_006	18	24	27.623893967	1.150995582	0	0	24	24	1.150995582	-1.150995582	120	98	0.816666667	24	15	0.625000000	98	23	0.234693878	98	7539.753666947	7539.189914009	74	73	0.986486486
case_007	14	24	37.046744299	1.543614346	0	0	24	24	1.543614346	-1.543614346	120	119	0.991666667	24	18	0.750000000	119	75	0.630252101	119	7978.543129556	7977.920495198	95	82	0.863157895
case_008	20	24	26.620180479	1.109174187	0	0	24	24	1.109174187	-1.109174187	120	97	0.808333333	24	18	0.750000000	97	24	0.247422680	97	7514.612370554	7514.063500853	73	71	0.972602740
case_009	17	24	38.855652262	1.618985511	0	0	24	24	1.618985511	-1.618985511	120	106	0.883333333	24	17	0.708333333	106	32	0.301886792	106	7726.656084495	7725.922958980	82	74	0.902439024
case_010	26	24	21.011784752	0.875491031	0	0	24	24	0.875491031	-0.875491031	120	96	0.800000000	24	20	0.833333333	96	23	0.239583333	96	7486.632644500	7486.194898984	72	70	0.972222222
case_011	21	24	27.394503342	1.141437639	0	0	24	24	1.141437639	-1.141437639	120	98	0.816666667	24	18	0.750000000	98	24	0.244897959	98	7539.491999815	7538.932928318	74	71	0.959459459
case_012	22	24	35.934233580	1.497259732	0	0	24	24	1.497259732	-1.497259732	120	100	0.833333333	24	16	0.666666667	100	21	0.210000000	100	7587.623832368	7586.905147696	76	76	1.000000000
case_013	22	24	38.714497409	1.613104059	0	0	24	24	1.613104059	-1.613104059	120	97	0.808333333	24	16	0.666666667	97	23	0.237113402	97	7511.975050996	7511.176813936	73	70	0.958904110
case_014	21	24	63.272772361	2.636365515	0	0	24	24	2.636365515	-2.636365515	120	98	0.816666667	24	14	0.583333333	98	17	0.173469388	98	7540.213815144	7538.922534076	74	71	0.959459459
case_015	22	24	27.482046984	1.145085291	0	0	24	24	1.145085291	-1.145085291	120	96	0.800000000	24	18	0.750000000	96	22	0.229166667	96	7487.009475727	7486.436933082	72	70	0.972222222
case_016	19	24	25.656159263	1.069006636	0	0	24	24	1.069006636	-1.069006636	120	97	0.808333333	24	20	0.833333333	97	24	0.247422680	97	7513.303834009	7512.774841034	73	70	0.958904110
case_017	26	24	41.279368033	1.719973668	0	0	24	24	1.719973668	-1.719973668	120	96	0.800000000	24	16	0.666666667	96	21	0.218750000	96	7488.414214206	7487.554227372	72	69	0.958333333
case_018	25	24	28.429714024	1.184571418	0	0	24	24	1.184571418	-1.184571418	120	115	0.958333333	24	19	0.791666667	115	68	0.591304348	115	7905.506389281	7905.011959472	91	83	0.912087912
case_019	19	24	42.704408285	1.779350345	0	0	24	24	1.779350345	-1.779350345	120	98	0.816666667	24	15	0.625000000	98	21	0.214285714	98	7540.836189232	7539.964670695	74	72	0.972972973
case_020	18	24	28.398963070	1.183290128	0	0	24	24	1.183290128	-1.183290128	120	96	0.800000000	24	18	0.750000000	96	22	0.229166667	96	7487.896680497	7487.305035433	72	69	0.958333333
case_021	18	24	19.410881667	0.808786736	0	0	24	24	0.808786736	-0.808786736	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7487.279879368	7486.875486000	72	69	0.958333333
case_022	16	24	28.858380450	1.202432519	0	0	24	24	1.202432519	-1.202432519	120	100	0.833333333	24	16	0.666666667	100	26	0.260000000	100	7587.980579628	7587.403412019	76	73	0.960526316
case_023	14	24	27.963797165	1.165158215	0	0	24	24	1.165158215	-1.165158215	120	114	0.950000000	24	19	0.791666667	114	59	0.517543860	114	7868.996957967	7868.506365034	93	87	0.935483871
case_024	15	24	33.112298739	1.379679114	0	0	24	24	1.379679114	-1.379679114	120	102	0.850000000	24	17	0.708333333	102	23	0.225490196	102	7635.286020088	7634.636759329	78	75	0.961538462
case_025	20	24	26.519628533	1.104984522	0	0	24	24	1.104984522	-1.104984522	120	97	0.808333333	24	19	0.791666667	97	22	0.226804124	97	7514.068250748	7513.521454283	73	71	0.972602740
case_026	17	24	38.647208616	1.610300359	0	0	24	24	1.610300359	-1.610300359	120	98	0.816666667	24	15	0.625000000	98	22	0.224489796	98	7539.262246293	7538.473527750	74	72	0.972972973
case_027	14	24	38.886162960	1.620256790	0	0	24	24	1.620256790	-1.620256790	120	97	0.808333333	24	13	0.541666667	97	23	0.237113402	97	7513.254093205	7512.452316649	73	72	0.986301370
case_028	16	24	35.958553120	1.498273047	0	0	24	24	1.498273047	-1.498273047	120	97	0.808333333	24	17	0.708333333	97	23	0.237113402	97	7515.072451423	7514.331037956	73	72	0.986301370
case_029	18	24	45.958788073	1.914949503	0	0	24	24	1.914949503	-1.914949503	120	119	0.991666667	24	12	0.500000000	119	68	0.571428571	119	7979.027428363	7978.255011757	95	73	0.768421053
case_030	23	24	28.093984566	1.170582690	0	0	24	24	1.170582690	-1.170582690	120	97	0.808333333	24	19	0.791666667	97	20	0.206185567	97	7512.891709404	7512.312451990	73	73	1.000000000
case_031	22	24	26.282860339	1.095119181	0	0	24	24	1.095119181	-1.095119181	120	97	0.808333333	24	20	0.833333333	97	22	0.226804124	97	7513.041348852	7512.499434206	73	70	0.958904110
case_032	18	24	36.551311668	1.522971320	0	0	24	24	1.522971320	-1.522971320	120	97	0.808333333	24	17	0.708333333	97	24	0.247422680	97	7512.865645774	7512.112010482	73	70	0.958904110
case_033	15	24	29.441318531	1.226721605	0	0	24	24	1.226721605	-1.226721605	120	97	0.808333333	24	17	0.708333333	97	22	0.226804124	97	7513.611617065	7513.004579570	73	71	0.972602740
case_034	22	24	35.214057176	1.467252382	0	0	24	24	1.467252382	-1.467252382	120	97	0.808333333	24	15	0.625000000	97	22	0.226804124	97	7514.794977500	7514.068914465	73	72	0.986301370
case_035	23	24	29.544841906	1.231035079	0	0	24	24	1.231035079	-1.231035079	120	96	0.800000000	24	18	0.750000000	96	22	0.229166667	96	7488.332779405	7487.717261865	72	69	0.958333333
case_036	21	24	34.181882463	1.424245103	0	0	24	24	1.424245103	-1.424245103	120	96	0.800000000	24	13	0.541666667	96	23	0.239583333	96	7488.582799214	7487.870676663	72	70	0.972222222
case_037	18	24	38.737148169	1.614047840	0	0	24	24	1.614047840	-1.614047840	120	97	0.808333333	24	14	0.583333333	97	21	0.216494845	97	7514.305381245	7513.506677159	73	72	0.986301370
case_038	26	24	24.309994910	1.012916455	0	0	24	24	1.012916455	-1.012916455	120	97	0.808333333	24	19	0.791666667	97	24	0.247422680	97	7512.252176881	7511.750939872	73	70	0.958904110
case_039	23	24	34.880781349	1.453365890	0	0	24	24	1.453365890	-1.453365890	120	99	0.825000000	24	19	0.791666667	99	23	0.232323232	99	7564.214731516	7563.510069267	75	72	0.960000000
case_040	21	24	36.237628057	1.509901169	0	0	24	24	1.509901169	-1.509901169	120	99	0.825000000	24	17	0.708333333	99	24	0.242424242	99	7564.488782651	7563.756709357	75	74	0.986666667
case_041	15	24	33.091699093	1.378820796	0	0	24	24	1.378820796	-1.378820796	120	101	0.841666667	24	16	0.666666667	101	26	0.257425743	101	7613.389604601	7612.734323431	77	73	0.948051948
case_042	14	24	44.708009144	1.862833714	0	0	24	24	1.862833714	-1.862833714	120	100	0.833333333	24	13	0.541666667	100	23	0.230000000	100	7588.732455822	7587.838295639	76	74	0.973684211
case_043	18	24	20.832800936	0.868033372	0	0	24	24	0.868033372	-0.868033372	120	100	0.833333333	24	20	0.833333333	100	26	0.260000000	100	7587.929792816	7587.513136798	76	73	0.960526316
case_044	20	24	24.933354613	1.038889776	0	0	24	24	1.038889776	-1.038889776	120	98	0.816666667	24	20	0.833333333	98	23	0.234693878	98	7539.605396315	7539.096552343	74	72	0.972972973
case_045	18	24	30.866977284	1.286124053	0	0	24	24	1.286124053	-1.286124053	120	100	0.833333333	24	17	0.708333333	100	23	0.230000000	100	7589.247353477	7588.630013931	76	73	0.960526316
case_046	19	24	21.275548096	0.886481171	0	0	24	24	0.886481171	-0.886481171	120	99	0.825000000	24	19	0.791666667	99	22	0.222222222	99	7511.322819517	7510.893010465	78	76	0.974358974
case_047	16	24	33.509088919	1.396212038	0	0	24	24	1.396212038	-1.396212038	120	100	0.833333333	24	19	0.791666667	100	24	0.240000000	100	7589.389667934	7588.719486156	76	72	0.947368421
case_048	18	24	38.819315191	1.617471466	0	0	24	24	1.617471466	-1.617471466	120	96	0.800000000	24	15	0.625000000	96	20	0.208333333	96	7488.956775581	7488.148039848	72	69	0.958333333
