id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	10.787463740	0.449477656	0	0	24	24	0.449477656	-0.449477656	120	100	0.833333333	24	19	0.791666667	100	33	0.330000000	100	7584.473473208	7584.257723934	76	73	0.960526316
case_001	18	24	6.161071031	0.256711293	1	18	24	24	0.256711293	-0.256711293	120	100	0.833333333	24	22	0.916666667	100	27	0.270000000	100	7581.781322825	7581.658101404	76	76	1.000000000
case_002	19	24	8.231713277	0.342988053	0	0	24	24	0.342988053	-0.342988053	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7479.992923364	7479.821429338	72	72	1.000000000
case_003	19	24	7.659846666	0.319160278	1	13	24	24	0.319160278	-0.319160278	120	97	0.808333333	24	23	0.958333333	97	24	0.247422680	97	7508.554672469	7508.396737486	73	73	1.000000000
case_004	15	24	17.513141710	0.729714238	1	2	24	24	0.729714238	-0.729714238	120	97	0.808333333	24	15	0.625000000	97	27	0.278350515	97	7509.701500715	7509.340405009	73	73	1.000000000
case_005	14	24	1.003219646	0.041800819	1	24	24	24	0.041800819	-0.041800819	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7479.477105845	7479.456205436	72	72	1.000000000
case_006	18	24	11.749085866	0.489545244	1	4	24	24	0.489545244	-0.489545244	120	98	0.816666667	24	19	0.791666667	98	27	0.275510204	98	7532.109141532	7531.869364269	74	74	1.000000000
case_007	14	24	11.921937841	0.496747410	0	0	24	24	0.496747410	-0.496747410	120	119	0.991666667	24	21	0.875000000	119	93	0.781512605	119	7976.913685024	7976.713316321	95	92	0.968421053
case_008	20	24	9.520437181	0.396684883	1	2	24	24	0.396684883	-0.396684883	120	97	0.808333333	24	19	0.791666667	97	25	0.257731959	97	7507.075265313	7506.878967639	73	73	1.000000000
case_009	17	24	5.378831074	0.224117961	1	11	24	24	0.224117961	-0.224117961	120	106	0.883333333	24	22	0.916666667	106	46	0.433962264	106	7720.389271906	7720.287784527	82	82	1.000000000
case_010	26	24	6.509697557	0.271237398	0	0	24	24	0.271237398	-0.271237398	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7478.079109016	7477.943490316	72	72	1.000000000
case_011	21	24	4.989620251	0.207900844	1	19	24	24	0.207900844	-0.207900844	120	98	0.816666667	24	22	0.916666667	98	25	0.255102041	98	7530.782944188	7530.681115204	74	74	1.000000000
case_012	22	24	6.567388767	0.273641199	0	0	24	24	0.273641199	-0.273641199	120	100	0.833333333	24	21	0.875000000	100	26	0.260000000	100	7581.389688096	7581.258340321	76	75	0.986842105
case_013	22	24	9.876880871	0.411536703	0	0	24	24	0.411536703	-0.411536703	120	97	0.808333333	24	21	0.875000000	97	28	0.288659794	97	7506.026369699	7505.822722671	73	71	0.972602740
case_014	21	24	16.422895390	0.684287308	0	0	24	24	0.684287308	-0.684287308	120	98	0.816666667	24	20	0.833333333	98	24	0.244897959	98	7533.966059410	7533.630898279	74	73	0.986486486
case_015	22	24	1.062284066	0.044261836	1	24	24	24	0.044261836	-0.044261836	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7476.767066189	7476.744935271	72	72	1.000000000
case_016	19	24	9.265568338	0.386065347	1	2	24	24	0.386065347	-0.386065347	120	97	0.808333333	24	21	0.875000000	97	26	0.268041237	97	7505.913904397	7505.722861750	73	73	1.000000000
case_017	26	24	9.503712843	0.395988035	0	0	24	24	0.395988035	-0.395988035	120	96	0.800000000	24	22	0.916666667	96	25	0.260416667	96	7480.118395826	7479.920401809	72	71	0.986111111
case_018	25	24	3.876509216	0.161521217	1	12	24	24	0.161521217	-0.161521217	120	115	0.958333333	24	23	0.958333333	115	80	0.695652174	115	7900.720393428	7900.652975876	91	90	0.989010989
case_019	19	24	8.563816193	0.356825675	1	18	24	24	0.356825675	-0.356825675	120	98	0.816666667	24	22	0.916666667	98	26	0.265306122	98	7533.345014308	7533.170242549	74	74	1.000000000
case_020	18	24	8.042183317	0.335090972	0	0	24	24	0.335090972	-0.335090972	120	96	0.800000000	24	23	0.958333333	96	23	0.239583333	96	7479.646817557	7479.479272071	72	72	1.000000000
case_021	18	24	0.716443175	0.029851799	1	24	24	24	0.029851799	-0.029851799	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7477.866530505	7477.851604606	72	72	1.000000000
case_022	16	24	10.376123356	0.432338473	1	3	24	24	0.432338473	-0.432338473	120	100	0.833333333	24	20	0.833333333	100	26	0.260000000	100	7582.353499771	7582.145977304	76	76	1.000000000
case_023	14	24	15.320368275	0.638348678	0	0	24	24	0.638348678	-0.638348678	120	114	0.950000000	24	17	0.708333333	114	77	0.675438596	114	7865.583197120	7865.314418730	93	87	0.935483871
case_024	15	24	11.098520664	0.462438361	1	1	24	24	0.462438361	-0.462438361	120	102	0.850000000	24	22	0.916666667	102	32	0.313725490	102	7631.879621808	7631.662003756	78	77	0.987179487
case_025	20	24	3.323967186	0.138498633	1	21	24	24	0.138498633	-0.138498633	120	97	0.808333333	24	23	0.958333333	97	27	0.278350515	97	7506.644340652	7506.575805246	73	73	1.000000000
case_026	17	24	5.324882825	0.221870118	1	1	24	24	0.221870118	-0.221870118	120	98	0.816666667	24	21	0.875000000	98	24	0.244897959	98	7531.336674307	7531.228003229	74	74	1.000000000
case_027	14	24	17.223747188	0.717656133	1	7	24	24	0.717656133	-0.717656133	120	97	0.808333333	24	19	0.791666667	97	26	0.268041237	97	7506.545142898	7506.190014090	73	73	1.000000000
case_028	16	24	13.809772575	0.575407191	1	2	24	24	0.575407191	-0.575407191	120	97	0.808333333	24	16	0.666666667	97	26	0.268041237	97	7507.587012508	7507.302274929	73	73	1.000000000
case_029	18	24	13.329487204	0.555395300	0	0	24	24	0.555395300	-0.555395300	120	119	0.991666667	24	19	0.791666667	119	90	0.756302521	119	7976.991385868	7976.767360873	95	88	0.926315789
case_030	23	24	8.737730780	0.364072116	0	0	24	24	0.364072116	-0.364072116	120	97	0.808333333	24	22	0.916666667	97	28	0.288659794	97	7504.332039377	7504.151879980	73	69	0.945205479
case_031	22	24	0.750026749	0.031251115	1	24	24	24	0.031251115	-0.031251115	120	97	0.808333333	24	24	1.000000000	97	27	0.278350515	97	7505.399547245	7505.384082776	73	73	1.000000000
case_032	18	24	9.298773551	0.387448898	0	0	24	24	0.387448898	-0.387448898	120	97	0.808333333	24	20	0.833333333	97	24	0.247422680	97	7505.643842580	7505.452115290	73	72	0.986301370
case_033	15	24	11.665942634	0.486080943	0	0	24	24	0.486080943	-0.486080943	120	97	0.808333333	24	19	0.791666667	97	27	0.278350515	97	7508.560944929	7508.320410029	73	72	0.986301370
