id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	9.035291724	0.376470489	0	0	24	24	0.376470489	-0.376470489	120	100	0.833333333	24	20	0.833333333	100	34	0.340000000	100	7584.765675077	7584.584969242	76	73	0.960526316
case_001	18	24	5.455531657	0.227313819	1	18	24	24	0.227313819	-0.227313819	120	100	0.833333333	24	22	0.916666667	100	28	0.280000000	100	7581.160568981	7581.051458348	76	76	1.000000000
case_002	19	24	7.147651645	0.297818819	0	0	24	24	0.297818819	-0.297818819	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7479.730459830	7479.581550420	72	72	1.000000000
case_003	19	24	8.115921219	0.338163384	0	0	24	24	0.338163384	-0.338163384	120	97	0.808333333	24	22	0.916666667	97	24	0.247422680	97	7508.379585048	7508.212246467	73	73	1.000000000
case_004	15	24	17.471234164	0.727968090	1	2	24	24	0.727968090	-0.727968090	120	97	0.808333333	24	15	0.625000000	97	26	0.268041237	97	7509.019801226	7508.659569594	73	73	1.000000000
case_005	14	24	1.684600684	0.070191695	1	9	24	24	0.070191695	-0.070191695	120	96	0.800000000	24	23	0.958333333	96	24	0.250000000	96	7479.143345846	7479.108249998	72	72	1.000000000
case_006	18	24	12.431138900	0.517964121	1	4	24	24	0.517964121	-0.517964121	120	98	0.816666667	24	20	0.833333333	98	27	0.275510204	98	7532.051250943	7531.797554231	74	74	1.000000000
case_007	14	24	10.579301095	0.440804212	0	0	24	24	0.440804212	-0.440804212	120	119	0.991666667	24	21	0.875000000	119	96	0.806722689	119	7976.780058771	7976.602255392	95	92	0.968421053
case_008	20	24	6.970328985	0.290430374	1	12	24	24	0.290430374	-0.290430374	120	97	0.808333333	24	21	0.875000000	97	27	0.278350515	97	7506.604072213	7506.460354090	73	73	1.000000000
case_009	17	24	5.577820142	0.232409173	1	11	24	24	0.232409173	-0.232409173	120	106	0.883333333	24	22	0.916666667	106	49	0.462264151	106	7719.904395110	7719.799153220	82	82	1.000000000
case_010	26	24	7.205724515	0.300238521	0	0	24	24	0.300238521	-0.300238521	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7478.031512528	7477.881393267	72	72	1.000000000
case_011	21	24	5.563934572	0.231830607	1	20	24	24	0.231830607	-0.231830607	120	98	0.816666667	24	23	0.958333333	98	25	0.255102041	98	7531.207569232	7531.094019547	74	74	1.000000000
case_012	22	24	6.662385033	0.277599376	0	0	24	24	0.277599376	-0.277599376	120	100	0.833333333	24	19	0.791666667	100	26	0.260000000	100	7580.864688854	7580.731441154	76	75	0.986842105
case_013	22	24	8.479503986	0.353312666	0	0	24	24	0.353312666	-0.353312666	120	97	0.808333333	24	20	0.833333333	97	28	0.288659794	97	7506.056409783	7505.881574649	73	72	0.986301370
case_014	21	24	15.093741112	0.628905880	0	0	24	24	0.628905880	-0.628905880	120	98	0.816666667	24	21	0.875000000	98	27	0.275510204	98	7533.584732696	7533.276697163	74	72	0.972972973
case_015	22	24	0.837715371	0.034904807	1	24	24	24	0.034904807	-0.034904807	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7476.586364006	7476.568911603	72	72	1.000000000
case_016	19	24	9.181175963	0.382548998	1	2	24	24	0.382548998	-0.382548998	120	97	0.808333333	24	21	0.875000000	97	26	0.268041237	97	7505.720953012	7505.531650415	73	73	1.000000000
case_017	26	24	7.747239005	0.322801625	0	0	24	24	0.322801625	-0.322801625	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7479.931243010	7479.769842197	72	71	0.986111111
case_018	25	24	3.224533554	0.134355565	1	24	24	24	0.134355565	-0.134355565	120	115	0.958333333	24	24	1.000000000	115	83	0.721739130	115	7901.024217342	7900.968138498	91	91	1.000000000
case_019	19	24	6.764880665	0.281870028	1	19	24	24	0.281870028	-0.281870028	120	98	0.816666667	24	23	0.958333333	98	26	0.265306122	98	7533.301211557	7533.163152768	74	74	1.000000000
case_020	18	24	9.650040479	0.402085020	0	0	24	24	0.402085020	-0.402085020	120	96	0.800000000	24	22	0.916666667	96	23	0.239583333	96	7479.386741274	7479.185698764	72	72	1.000000000
case_021	18	24	0.397064475	0.016544353	1	24	24	24	0.016544353	-0.016544353	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7477.752161865	7477.743889688	72	72	1.000000000
case_022	16	24	10.449815775	0.435408991	1	3	24	24	0.435408991	-0.435408991	120	100	0.833333333	24	20	0.833333333	100	26	0.260000000	100	7582.157924707	7581.948928391	76	76	1.000000000
case_023	14	24	11.985454134	0.499393922	0	0	24	24	0.499393922	-0.499393922	120	114	0.950000000	24	17	0.708333333	114	79	0.692982456	114	7865.213611675	7865.003340549	93	88	0.946236559
case_024	15	24	9.603955221	0.400164801	1	1	24	24	0.400164801	-0.400164801	120	102	0.850000000	24	22	0.916666667	102	30	0.294117647	102	7631.490361627	7631.302048780	78	77	0.987179487
case_025	20	24	3.431317139	0.142971547	1	21	24	24	0.142971547	-0.142971547	120	97	0.808333333	24	23	0.958333333	97	27	0.278350515	97	7507.194360128	7507.123611321	73	73	1.000000000
case_026	17	24	4.863225909	0.202634413	1	16	24	24	0.202634413	-0.202634413	120	98	0.816666667	24	22	0.916666667	98	24	0.244897959	98	7531.179756243	7531.080506734	74	74	1.000000000
case_027	14	24	15.158450840	0.631602118	1	7	24	24	0.631602118	-0.631602118	120	97	0.808333333	24	20	0.833333333	97	26	0.268041237	97	7505.612034635	7505.299489257	73	73	1.000000000
case_028	16	24	15.038792518	0.626616355	1	2	24	24	0.626616355	-0.626616355	120	97	0.808333333	24	16	0.666666667	97	26	0.268041237	97	7507.509709500	7507.199631304	73	73	1.000000000
case_029	18	24	14.059363160	0.585806798	0	0	24	24	0.585806798	-0.585806798	120	119	0.991666667	24	19	0.791666667	119	89	0.747899160	119	7976.815236047	7976.578944229	95	88	0.926315789
case_030	23	24	9.118804991	0.379950208	0	0	24	24	0.379950208	-0.379950208	120	97	0.808333333	24	22	0.916666667	97	27	0.278350515	97	7503.883015730	7503.694999132	73	69	0.945205479
case_031	22	24	0.866751550	0.036114648	1	24	24	24	0.036114648	-0.036114648	120	97	0.808333333	24	24	1.000000000	97	27	0.278350515	97	7505.225067657	7505.207196491	73	73	1.000000000
case_032	18	24	9.730846588	0.405451941	0	0	24	24	0.405451941	-0.405451941	120	97	0.808333333	24	20	0.833333333	97	24	0.247422680	97	7505.543847730	7505.343211718	73	72	0.986301370
