id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp
case_000	17	24	10.012332943	0.417180539	0	0
case_001	18	24	5.686707355	0.236946140	1	18
case_002	19	24	7.102736088	0.295947337	0	0
case_003	19	24	8.176280204	0.340678342	1	13
case_004	15	24	17.644708260	0.735196177	1	2
case_005	14	24	1.607189885	0.066966245	1	9
case_006	18	24	13.651380119	0.568807505	1	4
case_007	14	24	10.955015807	0.456458992	0	0
case_008	20	24	7.175084939	0.298961872	1	2
case_009	17	24	6.063770348	0.252657098	1	11
case_010	26	24	6.427624587	0.267817691	0	0
case_011	21	24	5.788967990	0.241207000	1	19
case_012	22	24	5.910914548	0.246288106	0	0
case_013	22	24	9.029953124	0.376248047	0	0
case_014	21	24	14.273549211	0.594731217	0	0
case_015	22	24	1.232486194	0.051353591	1	18
case_016	19	24	10.050432907	0.418768038	1	2
case_017	26	24	8.567952896	0.356998037	0	0
case_018	25	24	3.765455338	0.156893972	0	0
case_019	19	24	8.110292502	0.337928854	1	13
case_020	18	24	9.340109648	0.389171235	0	0
case_021	18	24	0.689268794	0.028719533	1	24
case_022	16	24	12.121527896	0.505063662	1	3
case_023	14	24	11.782607776	0.490941991	0	0
case_024	15	24	12.035077102	0.501461546	1	1
case_025	20	24	3.587590755	0.149482948	1	21
case_026	17	24	4.809475219	0.200394801	1	16
case_027	14	24	15.200994776	0.633374782	1	7
case_028	16	24	15.517651987	0.646568833	1	2
case_029	18	24	12.950670646	0.539611277	1	2
case_030	23	24	8.881980105	0.370082504	0	0
case_031	22	24	0.606960303	0.025290013	1	24
case_032	18	24	9.072898379	0.378037432	0	0
case_033	15	24	8.192764428	0.341365185	0	0
case_034	22	24	2.592040034	0.108001668	1	17
case_035	23	24	9.590094089	0.399587254	1	1
case_036	21	24	8.447875498	0.351994812	1	13
case_037	18	24	10.781425548	0.449226065	1	7
case_038	26	24	6.018681807	0.250778409	1	2
case_039	23	24	14.909467705	0.621227821	0	0
case_040	21	24	7.008414176	0.292017257	1	9
case_041	15	24	16.851575653	0.702148986	1	2
case_042	14	24	10.966038693	0.456918279	1	1
case_043	18	24	1.409531745	0.058730489	1	24
case_044	20	24	7.791345384	0.324639391	0	0
case_045	18	24	13.596651327	0.566527139	1	3
case_046	19	24	13.958951257	0.581622969	0	0
case_047	16	24	8.528949587	0.355372899	0	0
case_048	18	24	8.535090051	0.355628752	1	1
case_049	18	24	10.044878331	0.418536597	1	7
case_050	27	24	8.609144965	0.358714374	1	11
case_051	21	24	5.173251076	0.215552128	0	0
case_052	19	24	13.592778974	0.566365791	0	0
case_053	22	24	4.609202383	0.192050099	1	11
case_054	24	24	2.088335099	0.087013962	0	0
case_055	25	24	27.420540179	1.142522507	0	0
case_056	18	24	13.094239809	0.545593325	0	0
case_057	22	24	9.056229907	0.377342913	0	0
case_058	25	24	5.283051593	0.220127150	1	4
case_059	23	24	12.602592930	0.525108039	0	0
case_060	17	24	1.262027540	0.052584481	1	19
case_061	16	24	11.632077280	0.484669887	0	0
case_062	14	24	10.837031871	0.451542995	1	14
case_063	15	24	4.182792296	0.174283012	1	11
case_064	12	24	8.954976843	0.373124035	1	7
case_065	15	24	7.791949479	0.324664562	1	1
case_066	16	24	13.243075367	0.551794807	1	7
case_067	17	24	8.555115705	0.356463154	1	6
case_068	17	24	21.792244627	0.908010193	1	3
case_069	18	24	8.488735092	0.353697296	1	1
case_070	24	24	3.647721391	0.151988391	1	3
case_071	24	24	11.056565599	0.460690233	0	0
case_072	17	24	6.361536851	0.265064035	0	0
case_073	15	24	4.358557929	0.181606580	1	10
case_074	15	24	11.065131577	0.461047149	0	0
case_075	16	24	4.296843546	0.179035148	1	6
case_076	22	24	1.374720201	0.057280008	1	24
case_077	24	24	4.159641742	0.173318406	1	12
case_078	28	24	16.841061983	0.701710916	0	0
case_079	20	24	10.820369547	0.450848731	1	4
case_080	13	24	20.522747083	0.855114462	0	0
case_081	13	24	10.303027867	0.429292828	1	15
case_082	16	24	3.214955796	0.133956492	1	9
case_083	19	17	0.027068504	0.001592265	1	17
case_084	23	11	1.661349395	0.151031763	0	0
case_085	18	24	4.779149378	0.199131224	1	11
case_086	16	24	12.208836534	0.508701522	1	8
case_087	12	24	6.903005334	0.287625222	1	3
case_088	14	24	12.799392270	0.533308011	1	6
case_089	12	24	4.160650902	0.173360454	1	3
case_090	17	24	12.710447477	0.529601978	0	0
case_091	14	24	21.841168442	0.910048685	0	0
case_092	15	24	1.805678824	0.075236618	1	20
case_093	17	24	12.622409019	0.525933709	0	0
case_094	16	1	4.626174450	4.626174450	0	0
case_095	17	13	0.579452828	0.044573294	1	13
case_096	15	6	2.461442599	0.410240433	1	5
case_097	22	10	0.011754932	0.001175493	1	10
case_098	20	8	0.334088444	0.041761056	1	8
case_099	22	15	5.181395677	0.345426378	1	14
