id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	10.084446692	0.420185279	0	0	24	24	0.420185279	-0.420185279	120	100	0.833333333	24	20	0.833333333	100	34	0.340000000	100	7584.640016107	7584.438327174	76	72	0.947368421
case_001	18	24	6.767510221	0.281979593	1	18	24	24	0.281979593	-0.281979593	120	100	0.833333333	24	22	0.916666667	100	27	0.270000000	100	7581.658220162	7581.522869958	76	76	1.000000000
case_002	19	24	6.078363587	0.253265149	0	0	24	24	0.253265149	-0.253265149	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7480.051389452	7479.924756878	72	72	1.000000000
case_003	19	24	8.166171142	0.340257131	1	13	24	24	0.340257131	-0.340257131	120	97	0.808333333	24	23	0.958333333	97	24	0.247422680	97	7508.775208310	7508.606833647	73	73	1.000000000
case_004	15	24	18.307911135	0.762829631	1	2	24	24	0.762829631	-0.762829631	120	97	0.808333333	24	15	0.625000000	97	27	0.278350515	97	7509.851895270	7509.474412567	73	73	1.000000000
case_005	14	24	1.181281518	0.049220063	1	24	24	24	0.049220063	-0.049220063	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7479.535404614	7479.510794582	72	72	1.000000000
case_006	18	24	11.498784427	0.479116018	1	4	24	24	0.479116018	-0.479116018	120	98	0.816666667	24	20	0.833333333	98	27	0.275510204	98	7532.129423069	7531.894753999	74	74	1.000000000
case_007	14	24	11.196614474	0.466525603	0	0	24	24	0.466525603	-0.466525603	120	119	0.991666667	24	21	0.875000000	119	93	0.781512605	119	7976.781170862	7976.592992467	95	92	0.968421053
case_008	20	24	8.880592971	0.370024707	1	2	24	24	0.370024707	-0.370024707	120	97	0.808333333	24	19	0.791666667	97	25	0.257731959	97	7507.126305883	7506.943200874	73	73	1.000000000
case_009	17	24	5.865127933	0.244380331	1	11	24	24	0.244380331	-0.244380331	120	106	0.883333333	24	22	0.916666667	106	48	0.452830189	106	7720.198532085	7720.087869294	82	82	1.000000000
case_010	26	24	7.519755779	0.313323157	0	0	24	24	0.313323157	-0.313323157	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7478.379728214	7478.223066636	72	72	1.000000000
case_011	21	24	5.082678216	0.211778259	1	20	24	24	0.211778259	-0.211778259	120	98	0.816666667	24	23	0.958333333	98	25	0.255102041	98	7530.919211643	7530.815483516	74	74	1.000000000
case_012	22	24	5.741733330	0.239238889	1	10	24	24	0.239238889	-0.239238889	120	100	0.833333333	24	21	0.875000000	100	26	0.260000000	100	7581.469288738	7581.354454072	76	76	1.000000000
case_013	22	24	9.297095873	0.387378995	0	0	24	24	0.387378995	-0.387378995	120	97	0.808333333	24	21	0.875000000	97	29	0.298969072	97	7505.959223518	7505.767530819	73	70	0.958904110
case_014	21	24	14.351308383	0.597971183	0	0	24	24	0.597971183	-0.597971183	120	98	0.816666667	24	20	0.833333333	98	25	0.255102041	98	7533.855927629	7533.563043785	74	72	0.972972973
case_015	22	24	1.063666313	0.044319430	1	24	24	24	0.044319430	-0.044319430	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7476.684134901	7476.661975186	72	72	1.000000000
case_016	19	24	11.526497559	0.480270732	1	2	24	24	0.480270732	-0.480270732	120	97	0.808333333	24	21	0.875000000	97	26	0.268041237	97	7506.073623786	7505.835964042	73	73	1.000000000
case_017	26	24	8.430050473	0.351252103	0	0	24	24	0.351252103	-0.351252103	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7480.152404142	7479.976778091	72	71	0.986111111
case_018	25	24	2.700315815	0.112513159	1	12	24	24	0.112513159	-0.112513159	120	115	0.958333333	24	23	0.958333333	115	81	0.704347826	115	7900.783463088	7900.736501074	91	90	0.989010989
case_019	19	24	6.683560945	0.278481706	1	18	24	24	0.278481706	-0.278481706	120	98	0.816666667	24	22	0.916666667	98	26	0.265306122	98	7533.195221087	7533.058821884	74	74	1.000000000
case_020	18	24	9.229514600	0.384563108	0	0	24	24	0.384563108	-0.384563108	120	96	0.800000000	24	22	0.916666667	96	23	0.239583333	96	7479.742854069	7479.550572514	72	72	1.000000000
