id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	9.190242242	0.382926760	0	0	24	24	0.382926760	-0.382926760	120	100	0.833333333	24	20	0.833333333	100	34	0.340000000	100	7584.376267557	7584.192462712	76	73	0.960526316
case_001	18	24	6.149616936	0.256234039	1	18	24	24	0.256234039	-0.256234039	120	100	0.833333333	24	22	0.916666667	100	27	0.270000000	100	7581.759833615	7581.636841277	76	76	1.000000000
case_002	19	24	6.354944387	0.264789349	0	0	24	24	0.264789349	-0.264789349	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7480.237677839	7480.105283164	72	72	1.000000000
case_003	19	24	8.325982284	0.346915928	1	2	24	24	0.346915928	-0.346915928	120	97	0.808333333	24	22	0.916666667	97	24	0.247422680	97	7508.366133314	7508.194463576	73	73	1.000000000
case_004	15	24	18.650053595	0.777085566	1	2	24	24	0.777085566	-0.777085566	120	97	0.808333333	24	15	0.625000000	97	27	0.278350515	97	7509.983447997	7509.598910809	73	73	1.000000000
case_005	14	24	1.223326318	0.050971930	1	24	24	24	0.050971930	-0.050971930	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7479.629806814	7479.604320849	72	72	1.000000000
case_006	18	24	12.014892090	0.500620504	1	4	24	24	0.500620504	-0.500620504	120	98	0.816666667	24	19	0.791666667	98	27	0.275510204	98	7532.158365975	7531.913164095	74	74	1.000000000
case_007	14	24	10.443611335	0.435150472	0	0	24	24	0.435150472	-0.435150472	120	119	0.991666667	24	21	0.875000000	119	93	0.781512605	119	7976.872895377	7976.697372498	95	92	0.968421053
case_008	20	24	7.859083791	0.327461825	1	2	24	24	0.327461825	-0.327461825	120	97	0.808333333	24	20	0.833333333	97	25	0.257731959	97	7507.092464088	7506.930421124	73	73	1.000000000
case_009	17	24	5.032828438	0.209701185	1	11	24	24	0.209701185	-0.209701185	120	106	0.883333333	24	22	0.916666667	106	45	0.424528302	106	7720.270833637	7720.175874610	82	82	1.000000000
case_010	26	24	5.901453649	0.245893902	0	0	24	24	0.245893902	-0.245893902	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7478.304109724	7478.181162773	72	72	1.000000000
case_011	21	24	4.480819459	0.186700811	1	19	24	24	0.186700811	-0.186700811	120	98	0.816666667	24	22	0.916666667	98	25	0.255102041	98	7530.913258411	7530.821813116	74	74	1.000000000
