id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	50.882853160	2.120118882	0	0	24	24	2.120118882	-2.120118882	120	100	0.833333333	24	14	0.583333333	100	26	0.260000000	100	7590.284697441	7589.267040377	76	67	0.881578947
case_001	18	24	113.487168259	4.728632011	0	0	24	24	4.728632011	-4.728632011	120	100	0.833333333	24	11	0.458333333	100	14	0.140000000	100	7589.440028183	7587.170284817	72	64	0.888888889
case_002	19	24	116.536435486	4.855684812	0	0	24	24	4.855684812	-4.855684812	120	96	0.800000000	24	11	0.458333333	96	14	0.145833333	96	7488.852011262	7486.424168856	69	65	0.942028986
case_003	19	24	81.608503355	3.400354306	0	0	24	24	3.400354306	-3.400354306	120	97	0.808333333	24	14	0.583333333	97	18	0.185567010	97	7515.288905221	7513.606255668	73	62	0.849315068
case_004	15	24	74.813598827	3.117233284	0	0	24	24	3.117233284	-3.117233284	120	97	0.808333333	24	11	0.458333333	97	19	0.195876289	97	7515.093234510	7513.550686081	73	69	0.945205479
case_005	14	24	83.411528115	3.475480338	0	0	24	24	3.475480338	-3.475480338	120	96	0.800000000	24	16	0.666666667	96	18	0.187500000	96	7488.404270646	7486.666530477	72	64	0.888888889
case_006	18	24	92.264455963	3.844352332	0	0	24	24	3.844352332	-3.844352332	120	98	0.816666667	24	6	0.250000000	98	18	0.183673469	98	7540.898685690	7539.015737609	74	68	0.918918919
case_007	14	24	161.132958912	6.713873288	0	0	24	24	6.713873288	-6.713873288	120	119	0.991666667	24	7	0.291666667	119	32	0.268907563	119	7977.491553013	7974.783436056	95	61	0.642105263
case_008	20	24	74.064336209	3.086014009	0	0	24	24	3.086014009	-3.086014009	120	97	0.808333333	24	10	0.416666667	97	17	0.175257732	97	7516.010322547	7514.483222832	69	65	0.942028986
case_009	17	24	116.157232261	4.839884678	0	0	24	24	4.839884678	-4.839884678	120	106	0.883333333	24	6	0.250000000	106	20	0.188679245	106	7728.399769585	7726.208123693	82	66	0.804878049
case_010	26	24	79.420425403	3.309184392	0	0	24	24	3.309184392	-3.309184392	120	96	0.800000000	24	13	0.541666667	96	16	0.166666667	96	7487.482496434	7485.827904239	72	64	0.888888889
case_011	21	24	145.175789630	6.048991235	0	0	24	24	6.048991235	-6.048991235	120	98	0.816666667	24	6	0.250000000	98	10	0.102040816	98	7540.896434580	7537.933663363	74	63	0.851351351
case_012	22	24	131.218997741	5.467458239	0	0	24	24	5.467458239	-5.467458239	120	100	0.833333333	24	8	0.333333333	100	12	0.120000000	100	7590.625940872	7588.001560917	76	57	0.750000000
case_013	22	24	85.211721459	3.550488394	0	0	24	24	3.550488394	-3.550488394	120	97	0.808333333	24	11	0.458333333	97	16	0.164948454	97	7514.317354914	7512.560412204	73	68	0.931506849
case_014	21	24	188.327158316	7.846964930	0	0	24	24	7.846964930	-7.846964930	120	98	0.816666667	24	4	0.166666667	98	8	0.081632653	98	7543.686375389	7539.842963995	74	48	0.648648649
case_015	22	24	113.885648032	4.745235335	0	0	24	24	4.745235335	-4.745235335	120	96	0.800000000	24	9	0.375000000	96	13	0.135416667	96	7489.793116784	7487.420499117	72	64	0.888888889
case_016	19	24	208.132789364	8.672199557	0	0	24	24	8.672199557	-8.672199557	120	97	0.808333333	24	3	0.125000000	97	5	0.051546392	97	7519.186061667	7514.894663948	73	46	0.630136986
case_017	26	24	203.399209528	8.474967064	0	0	24	24	8.474967064	-8.474967064	120	96	0.800000000	24	2	0.083333333	96	4	0.041666667	96	7492.617213583	7488.379730051	72	50	0.694444444
case_018	25	24	261.708186201	10.904507758	0	0	24	24	10.904507758	-10.904507758	120	115	0.958333333	24	0	0.000000000	115	1	0.008695652	115	7905.002038626	7900.450591910	91	56	0.615384615
case_019	19	24	229.928433383	9.580351391	0	0	24	24	9.580351391	-9.580351391	120	98	0.816666667	24	1	0.041666667	98	5	0.051020408	98	7544.285583612	7539.593166604	74	40	0.540540541
case_020	18	24	228.023385248	9.500974385	0	0	24	24	9.500974385	-9.500974385	120	96	0.800000000	24	4	0.166666667	96	5	0.052083333	96	7492.924065222	7488.173578029	72	49	0.680555556
case_021	18	24	109.971448913	4.582143705	0	0	24	24	4.582143705	-4.582143705	120	96	0.800000000	24	11	0.458333333	96	12	0.125000000	96	7491.737842076	7489.446770224	72	63	0.875000000
case_022	16	24	152.056702024	6.335695918	0	0	24	24	6.335695918	-6.335695918	120	100	0.833333333	24	3	0.125000000	100	10	0.100000000	100	7591.520553692	7588.479419651	76	62	0.815789474
case_023	14	24	121.275884131	5.053161839	0	0	24	24	5.053161839	-5.053161839	120	114	0.950000000	24	8	0.333333333	114	29	0.254385965	114	7868.419774433	7866.292127343	93	76	0.817204301
case_024	15	24	191.602605130	7.983441880	0	0	24	24	7.983441880	-7.983441880	120	102	0.850000000	24	4	0.166666667	102	8	0.078431373	102	7639.407323878	7635.650410052	78	53	0.679487179
case_025	20	24	130.779367982	5.449140333	0	0	24	24	5.449140333	-5.449140333	120	97	0.808333333	24	6	0.250000000	97	13	0.134020619	97	7517.807530950	7515.111049136	73	60	0.821917808
