id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	9.870041460	0.411251727	0	0	24	24	0.411251727	-0.411251727	120	100	0.833333333	24	20	0.833333333	100	34	0.340000000	100	7584.761333795	7584.563932966	76	73	0.960526316
case_001	18	24	6.931693813	0.288820576	1	18	24	24	0.288820576	-0.288820576	120	100	0.833333333	24	22	0.916666667	100	27	0.270000000	100	7581.781880364	7581.643246487	76	76	1.000000000
case_002	19	24	5.952169560	0.248007065	0	0	24	24	0.248007065	-0.248007065	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7479.905857709	7479.781854177	72	72	1.000000000
case_003	19	24	8.218202467	0.342425103	1	13	24	24	0.342425103	-0.342425103	120	97	0.808333333	24	23	0.958333333	97	24	0.247422680	97	7508.650823902	7508.481376429	73	73	1.000000000
case_004	15	24	17.771911477	0.740496312	1	2	24	24	0.740496312	-0.740496312	120	97	0.808333333	24	15	0.625000000	97	26	0.268041237	97	7509.492272982	7509.125841817	73	73	1.000000000
case_005	14	24	1.053126428	0.043880268	1	24	24	24	0.043880268	-0.043880268	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7479.871409206	7479.849469072	72	72	1.000000000
case_006	18	24	11.438786110	0.476616088	1	4	24	24	0.476616088	-0.476616088	120	98	0.816666667	24	19	0.791666667	98	27	0.275510204	98	7532.053535923	7531.820091308	74	74	1.000000000
case_007	14	24	11.836378408	0.493182434	0	0	24	24	0.493182434	-0.493182434	120	119	0.991666667	24	21	0.875000000	119	94	0.789915966	119	7976.963894645	7976.764963915	95	92	0.968421053
case_008	20	24	8.364664051	0.348527669	1	7	24	24	0.348527669	-0.348527669	120	97	0.808333333	24	20	0.833333333	97	25	0.257731959	97	7507.030160953	7506.857693653	73	73	1.000000000
case_009	17	24	5.730610968	0.238775457	1	7	24	24	0.238775457	-0.238775457	120	106	0.883333333	24	21	0.875000000	106	49	0.462264151	106	7720.436352434	7720.328227698	82	81	0.987804878
case_010	26	24	5.421482799	0.225895117	0	0	24	24	0.225895117	-0.225895117	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7478.431340610	7478.318393052	72	72	1.000000000
case_011	21	24	5.313197416	0.221383226	1	19	24	24	0.221383226	-0.221383226	120	98	0.816666667	24	22	0.916666667	98	25	0.255102041	98	7530.937532895	7530.829100295	74	74	1.000000000
case_012	22	24	5.551645588	0.231318566	0	0	24	24	0.231318566	-0.231318566	120	100	0.833333333	24	21	0.875000000	100	26	0.260000000	100	7581.146430830	7581.035397918	76	75	0.986842105
case_013	22	24	9.339715983	0.389154833	0	0	24	24	0.389154833	-0.389154833	120	97	0.808333333	24	20	0.833333333	97	29	0.298969072	97	7506.011546121	7505.818974657	73	70	0.958904110
case_014	21	24	14.617647288	0.609068637	0	0	24	24	0.609068637	-0.609068637	120	98	0.816666667	24	21	0.875000000	98	25	0.255102041	98	7533.985884755	7533.687565423	74	73	0.986486486
