id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	30.592895959	1.274703998	0	0	24	24	1.274703998	-1.274703998	120	100	0.833333333	24	17	0.708333333	100	30	0.300000000	100	7588.572508716	7587.960650797	76	71	0.934210526
case_001	18	24	34.292735270	1.428863970	0	0	24	24	1.428863970	-1.428863970	120	100	0.833333333	24	17	0.708333333	100	22	0.220000000	100	7587.521635839	7586.835781134	76	72	0.947368421
case_002	19	24	27.469569718	1.144565405	0	0	24	24	1.144565405	-1.144565405	120	96	0.800000000	24	17	0.708333333	96	23	0.239583333	96	7487.268904484	7486.696621782	72	71	0.986111111
case_003	19	24	25.414746426	1.058947768	0	0	24	24	1.058947768	-1.058947768	120	97	0.808333333	24	17	0.708333333	97	23	0.237113402	97	7513.878813028	7513.354797637	73	71	0.972602740
case_004	15	24	32.349033423	1.347876393	0	0	24	24	1.347876393	-1.347876393	120	97	0.808333333	24	16	0.666666667	97	24	0.247422680	97	7515.345682828	7514.678692448	73	72	0.986301370
case_005	14	24	20.459817014	0.852492376	0	0	24	24	0.852492376	-0.852492376	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7487.028738716	7486.602492528	72	69	0.958333333
case_006	18	24	28.520562584	1.188356774	0	0	24	24	1.188356774	-1.188356774	120	98	0.816666667	24	16	0.666666667	98	24	0.244897959	98	7539.606496032	7539.024443735	74	72	0.972972973
case_007	14	24	36.262711845	1.510946327	0	0	24	24	1.510946327	-1.510946327	120	119	0.991666667	24	18	0.750000000	119	75	0.630252101	119	7978.550253017	7977.940795675	95	82	0.863157895
case_008	20	24	28.450773539	1.185448897	0	0	24	24	1.185448897	-1.185448897	120	97	0.808333333	24	18	0.750000000	97	23	0.237113402	97	7514.476493622	7513.889879734	73	71	0.972602740
case_009	17	24	38.933803389	1.622241808	0	0	24	24	1.622241808	-1.622241808	120	106	0.883333333	24	17	0.708333333	106	30	0.283018868	106	7726.340488934	7725.605888870	82	74	0.902439024
case_010	26	24	22.337981980	0.930749249	0	0	24	24	0.930749249	-0.930749249	120	96	0.800000000	24	21	0.875000000	96	23	0.239583333	96	7486.774146427	7486.308771802	72	70	0.972222222
case_011	21	24	24.507437327	1.021143222	0	0	24	24	1.021143222	-1.021143222	120	98	0.816666667	24	19	0.791666667	98	24	0.244897959	98	7539.269600336	7538.769448553	74	71	0.959459459
case_012	22	24	33.634985903	1.401457746	0	0	24	24	1.401457746	-1.401457746	120	100	0.833333333	24	16	0.666666667	100	22	0.220000000	100	7587.510839166	7586.838139448	76	74	0.973684211
case_013	22	24	38.395991791	1.599832991	0	0	24	24	1.599832991	-1.599832991	120	97	0.808333333	24	19	0.791666667	97	23	0.237113402	97	7511.290400556	7510.498730622	73	71	0.972602740
case_014	21	24	53.886969976	2.245290416	0	0	24	24	2.245290416	-2.245290416	120	98	0.816666667	24	15	0.625000000	98	19	0.193877551	98	7539.952213579	7538.852479498	74	71	0.959459459
case_015	22	24	25.199939371	1.049997474	0	0	24	24	1.049997474	-1.049997474	120	96	0.800000000	24	19	0.791666667	96	22	0.229166667	96	7486.444941440	7485.919942703	72	70	0.972222222
case_016	19	24	20.981273627	0.874219734	0	0	24	24	0.874219734	-0.874219734	120	97	0.808333333	24	20	0.833333333	97	24	0.247422680	97	7512.289237367	7511.856633787	73	71	0.972602740
case_017	26	24	40.369951152	1.682081298	0	0	24	24	1.682081298	-1.682081298	120	96	0.800000000	24	16	0.666666667	96	22	0.229166667	96	7488.582728686	7487.741688037	72	69	0.958333333
