id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	35.504733240	1.479363885	0	0	24	24	1.479363885	-1.479363885	120	100	0.833333333	24	16	0.666666667	100	35	0.350000000	100	7588.344320285	7587.634225621	76	69	0.907894737
case_001	18	24	25.198595601	1.049941483	0	0	24	24	1.049941483	-1.049941483	120	100	0.833333333	24	17	0.708333333	100	22	0.220000000	100	7585.343574492	7584.839602580	76	74	0.973684211
case_002	19	24	36.677169438	1.528215393	0	0	24	24	1.528215393	-1.528215393	120	96	0.800000000	24	14	0.583333333	96	20	0.208333333	96	7487.942870734	7487.178763037	72	71	0.986111111
case_003	19	24	41.210079233	1.717086635	0	0	24	24	1.717086635	-1.717086635	120	97	0.808333333	24	14	0.583333333	97	23	0.237113402	97	7513.071330666	7512.221638310	73	73	1.000000000
case_004	15	24	49.326426731	2.055267780	0	0	24	24	2.055267780	-2.055267780	120	97	0.808333333	24	12	0.500000000	97	20	0.206185567	97	7514.562479182	7513.545439456	73	71	0.972602740
case_005	14	24	22.416142801	0.934005950	0	0	24	24	0.934005950	-0.934005950	120	96	0.800000000	24	20	0.833333333	96	22	0.229166667	96	7485.468693279	7485.001690304	72	71	0.986111111
case_006	18	24	48.660554204	2.027523092	0	0	24	24	2.027523092	-2.027523092	120	98	0.816666667	24	14	0.583333333	98	23	0.234693878	98	7539.588511901	7538.595439366	74	72	0.972972973
case_007	14	24	20.559830647	0.856659610	0	0	24	24	0.856659610	-0.856659610	120	119	0.991666667	24	20	0.833333333	119	73	0.613445378	119	7977.415683098	7977.070139726	95	89	0.936842105
case_008	20	24	41.876110011	1.744837917	0	0	24	24	1.744837917	-1.744837917	120	97	0.808333333	24	15	0.625000000	97	21	0.216494845	97	7513.052060665	7512.188635716	73	70	0.958904110
case_009	17	24	34.183103165	1.424295965	0	0	24	24	1.424295965	-1.424295965	120	106	0.883333333	24	16	0.666666667	106	32	0.301886792	106	7725.890807513	7725.245843302	82	78	0.951219512
case_010	26	24	44.702314516	1.862596438	0	0	24	24	1.862596438	-1.862596438	120	96	0.800000000	24	14	0.583333333	96	20	0.208333333	96	7488.106709880	7487.175411661	72	70	0.972222222
case_011	21	24	50.869963985	2.119581833	0	0	24	24	2.119581833	-2.119581833	120	98	0.816666667	24	12	0.500000000	98	19	0.193877551	98	7539.858285658	7538.820123128	74	72	0.972972973
case_012	22	24	46.118959319	1.921623305	0	0	24	24	1.921623305	-1.921623305	120	100	0.833333333	24	16	0.666666667	100	19	0.190000000	100	7588.259089583	7587.336710396	76	74	0.973684211
case_013	22	24	45.898265656	1.912427736	0	0	24	24	1.912427736	-1.912427736	120	97	0.808333333	24	14	0.583333333	97	20	0.206185567	97	7512.773428495	7511.827072502	73	69	0.945205479
case_014	21	24	54.268719408	2.261196642	0	0	24	24	2.261196642	-2.261196642	120	98	0.816666667	24	15	0.625000000	98	18	0.183673469	98	7540.788051549	7539.680526663	74	72	0.972972973
case_015	22	24	33.386642776	1.391110116	0	0	24	24	1.391110116	-1.391110116	120	96	0.800000000	24	19	0.791666667	96	20	0.208333333	96	7486.694149398	7485.998594340	72	70	0.972222222
case_016	19	24	38.023176086	1.584299004	0	0	24	24	1.584299004	-1.584299004	120	97	0.808333333	24	15	0.625000000	97	23	0.237113402	97	7512.697453412	7511.913470400	73	71	0.972602740
case_017	26	24	55.082041754	2.295085073	0	0	24	24	2.295085073	-2.295085073	120	96	0.800000000	24	14	0.583333333	96	16	0.166666667	96	7489.596617644	7488.449075107	72	70	0.972222222
case_018	25	24	39.356480932	1.639853372	0	0	24	24	1.639853372	-1.639853372	120	115	0.958333333	24	14	0.583333333	115	55	0.478260870	115	7905.329189611	7904.644729073	91	80	0.879120879
case_019	19	24	46.074518304	1.919771596	0	0	24	24	1.919771596	-1.919771596	120	98	0.816666667	24	17	0.708333333	98	19	0.193877551	98	7540.897802401	7539.957506109	74	71	0.959459459
case_020	18	24	39.541987713	1.647582821	0	0	24	24	1.647582821	-1.647582821	120	96	0.800000000	24	14	0.583333333	96	20	0.208333333	96	7486.985410038	7486.161618628	72	70	0.972222222
case_021	18	24	12.039599986	0.501649999	0	0	24	24	0.501649999	-0.501649999	120	96	0.800000000	24	21	0.875000000	96	22	0.229166667	96	7484.111788658	7483.860963659	72	72	1.000000000
case_022	16	24	41.186188509	1.716091188	0	0	24	24	1.716091188	-1.716091188	120	100	0.833333333	24	13	0.541666667	100	24	0.240000000	100	7587.341165653	7586.517441883	76	74	0.973684211
case_023	14	24	41.636254988	1.734843958	0	0	24	24	1.734843958	-1.734843958	120	114	0.950000000	24	13	0.541666667	114	42	0.368421053	114	7867.999742699	7867.269282085	93	86	0.924731183
case_024	15	24	26.517098557	1.104879107	0	0	24	24	1.104879107	-1.104879107	120	102	0.850000000	24	17	0.708333333	102	25	0.245098039	102	7634.197725074	7633.677781965	78	77	0.987179487
case_025	20	24	25.916942176	1.079872591	0	0	24	24	1.079872591	-1.079872591	120	97	0.808333333	24	18	0.750000000	97	24	0.247422680	97	7512.330518120	7511.796148178	73	69	0.945205479
case_026	17	24	35.616207745	1.484008656	0	0	24	24	1.484008656	-1.484008656	120	98	0.816666667	24	14	0.583333333	98	21	0.214285714	98	7537.865296186	7537.138434804	74	73	0.986486486
case_027	14	24	48.353737137	2.014739047	0	0	24	24	2.014739047	-2.014739047	120	97	0.808333333	24	13	0.541666667	97	21	0.216494845	97	7511.609582274	7510.612598003	73	71	0.972602740
case_028	16	24	50.052293066	2.085512211	0	0	24	24	2.085512211	-2.085512211	120	97	0.808333333	24	11	0.458333333	97	21	0.216494845	97	7513.963454246	7512.931448203	73	71	0.972602740
case_029	18	24	58.827291816	2.451137159	0	0	24	24	2.451137159	-2.451137159	120	119	0.991666667	24	9	0.375000000	119	60	0.504201681	119	7978.066370278	7977.077676298	95	78	0.821052632
case_030	23	24	49.100259135	2.045844131	0	0	24	24	2.045844131	-2.045844131	120	97	0.808333333	24	14	0.583333333	97	20	0.206185567	97	7512.696187331	7511.683810854	73	72	0.986301370
case_031	22	24	35.341300072	1.472554170	0	0	24	24	1.472554170	-1.472554170	120	97	0.808333333	24	19	0.791666667	97	19	0.195876289	97	7514.183986280	7513.455299681	73	72	0.986301370
case_032	18	24	43.236654588	1.801527274	0	0	24	24	1.801527274	-1.801527274	120	97	0.808333333	24	14	0.583333333	97	23	0.237113402	97	7513.427777045	7512.536299630	73	69	0.945205479
case_033	15	24	24.025206743	1.001050281	0	0	24	24	1.001050281	-1.001050281	120	97	0.808333333	24	17	0.708333333	97	22	0.226804124	97	7511.744801676	7511.249436588	73	71	0.972602740
case_034	22	24	60.772384278	2.532182678	0	0	24	24	2.532182678	-2.532182678	120	97	0.808333333	24	10	0.416666667	97	17	0.175257732	97	7514.729018388	7513.475979536	73	69	0.945205479
case_035	23	24	52.008148004	2.167006167	0	0	24	24	2.167006167	-2.167006167	120	96	0.800000000	24	16	0.666666667	96	19	0.197916667	96	7489.018799398	7487.935296315	72	68	0.944444444
case_036	21	24	47.359786846	1.973324452	0	0	24	24	1.973324452	-1.973324452	120	96	0.800000000	24	11	0.458333333	96	19	0.197916667	96	7488.724197669	7487.737535443	72	69	0.958333333
case_037	18	24	43.180053271	1.799168886	0	0	24	24	1.799168886	-1.799168886	120	97	0.808333333	24	12	0.500000000	97	19	0.195876289	97	7513.781190713	7512.890880336	73	70	0.958904110
case_038	26	24	38.964737362	1.623530723	0	0	24	24	1.623530723	-1.623530723	120	97	0.808333333	24	15	0.625000000	97	22	0.226804124	97	7512.539682789	7511.736286143	73	69	0.945205479
case_039	23	24	44.738313752	1.864096406	0	0	24	24	1.864096406	-1.864096406	120	99	0.825000000	24	15	0.625000000	99	21	0.212121212	99	7564.306141939	7563.402337621	75	73	0.973333333
case_040	21	24	58.063825575	2.419326066	0	0	24	24	2.419326066	-2.419326066	120	99	0.825000000	24	9	0.375000000	99	19	0.191919192	99	7565.122020983	7563.949014405	75	72	0.960000000
case_041	15	24	53.615190621	2.233966276	0	0	24	24	2.233966276	-2.233966276	120	101	0.841666667	24	11	0.458333333	101	22	0.217821782	101	7613.100788350	7612.039101407	77	75	0.974025974
case_042	14	24	46.663806488	1.944325270	0	0	24	24	1.944325270	-1.944325270	120	100	0.833333333	24	15	0.625000000	100	19	0.190000000	100	7588.745887178	7587.812611048	76	71	0.934210526
case_043	18	24	13.118513949	0.546604748	0	0	24	24	0.546604748	-0.546604748	120	100	0.833333333	24	21	0.875000000	100	25	0.250000000	100	7585.189048981	7584.926678702	76	75	0.986842105
case_044	20	24	29.764775600	1.240198983	0	0	24	24	1.240198983	-1.240198983	120	98	0.816666667	24	17	0.708333333	98	22	0.224489796	98	7539.677261351	7539.069816951	74	70	0.945945946
case_045	18	24	57.494349827	2.395597909	0	0	24	24	2.395597909	-2.395597909	120	100	0.833333333	24	13	0.541666667	100	20	0.200000000	100	7587.317868712	7586.167981715	76	74	0.973684211
case_046	19	24	30.078559609	1.253273317	0	0	24	24	1.253273317	-1.253273317	120	99	0.825000000	24	16	0.666666667	99	23	0.232323232	99	7512.269149879	7511.661502211	78	75	0.961538462
case_047	16	24	28.255335781	1.177305658	0	0	24	24	1.177305658	-1.177305658	120	100	0.833333333	24	15	0.625000000	100	24	0.240000000	100	7588.054808653	7587.489701938	76	74	0.973684211
case_048	18	24	29.651607439	1.235483643	0	0	24	24	1.235483643	-1.235483643	120	96	0.800000000	24	16	0.666666667	96	21	0.218750000	96	7487.158056420	7486.540314598	72	72	1.000000000
