id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	9.266517404	0.386104892	0	0	24	24	0.386104892	-0.386104892	120	100	0.833333333	24	19	0.791666667	100	34	0.340000000	100	7584.839433028	7584.654102680	76	73	0.960526316
case_001	18	24	5.868041680	0.244501737	1	18	24	24	0.244501737	-0.244501737	120	100	0.833333333	24	22	0.916666667	100	26	0.260000000	100	7581.574292433	7581.456931599	76	76	1.000000000
case_002	19	24	6.166792653	0.256949694	0	0	24	24	0.256949694	-0.256949694	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7480.131271367	7480.002796520	72	72	1.000000000
case_003	19	24	8.307342120	0.346139255	1	13	24	24	0.346139255	-0.346139255	120	97	0.808333333	24	23	0.958333333	97	24	0.247422680	97	7508.571980228	7508.400694824	73	73	1.000000000
case_004	15	24	18.758030191	0.781584591	1	2	24	24	0.781584591	-0.781584591	120	97	0.808333333	24	15	0.625000000	97	27	0.278350515	97	7509.983276322	7509.596512813	73	73	1.000000000
case_005	14	24	1.265013586	0.052708899	1	24	24	24	0.052708899	-0.052708899	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7479.636262628	7479.609908178	72	72	1.000000000
case_006	18	24	11.614715517	0.483946480	1	4	24	24	0.483946480	-0.483946480	120	98	0.816666667	24	20	0.833333333	98	27	0.275510204	98	7532.136427061	7531.899392050	74	74	1.000000000
case_007	14	24	11.246550479	0.468606270	0	0	24	24	0.468606270	-0.468606270	120	119	0.991666667	24	22	0.916666667	119	95	0.798319328	119	7976.878866399	7976.689848744	95	93	0.978947368
case_008	20	24	8.032736400	0.334697350	1	7	24	24	0.334697350	-0.334697350	120	97	0.808333333	24	21	0.875000000	97	25	0.257731959	97	7507.134330573	7506.968707142	73	73	1.000000000
case_009	17	24	5.257815589	0.219075650	1	11	24	24	0.219075650	-0.219075650	120	106	0.883333333	24	22	0.916666667	106	48	0.452830189	106	7720.386468294	7720.287264226	82	82	1.000000000
case_010	26	24	5.778499576	0.240770816	0	0	24	24	0.240770816	-0.240770816	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7478.314294895	7478.193909487	72	72	1.000000000
case_011	21	24	4.880909216	0.203371217	1	19	24	24	0.203371217	-0.203371217	120	98	0.816666667	24	22	0.916666667	98	25	0.255102041	98	7530.912784851	7530.813174458	74	74	1.000000000
case_012	22	24	6.639242623	0.276635109	0	0	24	24	0.276635109	-0.276635109	120	100	0.833333333	24	21	0.875000000	100	26	0.260000000	100	7581.235006399	7581.102221547	76	75	0.986842105
case_013	22	24	9.826838124	0.409451588	0	0	24	24	0.409451588	-0.409451588	120	97	0.808333333	24	21	0.875000000	97	28	0.288659794	97	7506.225472033	7506.022856814	73	70	0.958904110
case_014	21	24	14.865620513	0.619400855	0	0	24	24	0.619400855	-0.619400855	120	98	0.816666667	24	20	0.833333333	98	26	0.265306122	98	7533.791382729	7533.488002718	74	71	0.959459459
case_015	22	24	1.047388423	0.043641184	1	24	24	24	0.043641184	-0.043641184	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7476.512058445	7476.490237852	72	72	1.000000000
case_016	19	24	9.585922999	0.399413458	1	2	24	24	0.399413458	-0.399413458	120	97	0.808333333	24	21	0.875000000	97	26	0.268041237	97	7505.983122255	7505.785474358	73	73	1.000000000
case_017	26	24	7.645861958	0.318577582	0	0	24	24	0.318577582	-0.318577582	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7479.914032338	7479.754743547	72	71	0.986111111
