id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	8.832541432	0.368022560	0	0	24	24	0.368022560	-0.368022560	120	100	0.833333333	24	20	0.833333333	100	34	0.340000000	100	7584.373375827	7584.196724998	76	73	0.960526316
case_001	18	24	6.112560986	0.254690041	1	18	24	24	0.254690041	-0.254690041	120	100	0.833333333	24	22	0.916666667	100	26	0.260000000	100	7581.857403751	7581.735152531	76	76	1.000000000
case_002	19	24	7.177316642	0.299054860	0	0	24	24	0.299054860	-0.299054860	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7480.010530110	7479.861002680	72	72	1.000000000
case_003	19	24	8.280418637	0.345017443	1	13	24	24	0.345017443	-0.345017443	120	97	0.808333333	24	23	0.958333333	97	24	0.247422680	97	7508.802737208	7508.632006927	73	73	1.000000000
case_004	15	24	18.248731502	0.760363813	1	2	24	24	0.760363813	-0.760363813	120	97	0.808333333	24	15	0.625000000	97	26	0.268041237	97	7509.716950439	7509.340687934	73	73	1.000000000
case_005	14	24	1.066596308	0.044441513	1	24	24	24	0.044441513	-0.044441513	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7479.400073085	7479.377852329	72	72	1.000000000
case_006	18	24	10.740653701	0.447527238	1	4	24	24	0.447527238	-0.447527238	120	98	0.816666667	24	20	0.833333333	98	27	0.275510204	98	7532.069887562	7531.850690548	74	74	1.000000000
case_007	14	24	12.045311313	0.501887971	0	0	24	24	0.501887971	-0.501887971	120	119	0.991666667	24	22	0.916666667	119	96	0.806722689	119	7976.977183257	7976.774741050	95	93	0.978947368
case_008	20	24	8.374846609	0.348951942	1	12	24	24	0.348951942	-0.348951942	120	97	0.808333333	24	21	0.875000000	97	25	0.257731959	97	7506.784252119	7506.611574869	73	73	1.000000000
case_009	17	24	5.434258057	0.226427419	1	11	24	24	0.226427419	-0.226427419	120	106	0.883333333	24	22	0.916666667	106	48	0.452830189	106	7720.411415849	7720.308882678	82	82	1.000000000
case_010	26	24	6.639956087	0.276664837	0	0	24	24	0.276664837	-0.276664837	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7478.097361940	7477.959029522	72	72	1.000000000
case_011	21	24	5.342810486	0.222617104	1	19	24	24	0.222617104	-0.222617104	120	98	0.816666667	24	22	0.916666667	98	25	0.255102041	98	7531.074520222	7530.965483273	74	74	1.000000000
case_012	22	24	5.913742816	0.246405951	0	0	24	24	0.246405951	-0.246405951	120	100	0.833333333	24	21	0.875000000	100	26	0.260000000	100	7581.461663678	7581.343388821	76	75	0.986842105
case_013	22	24	8.900867548	0.370869481	0	0	24	24	0.370869481	-0.370869481	120	97	0.808333333	24	21	0.875000000	97	28	0.288659794	97	7505.876499488	7505.692976446	73	70	0.958904110
case_014	21	24	14.371721862	0.598821744	0	0	24	24	0.598821744	-0.598821744	120	98	0.816666667	24	21	0.875000000	98	26	0.265306122	98	7533.606428859	7533.313128413	74	72	0.972972973
case_015	22	24	1.285654738	0.053568947	1	18	24	24	0.053568947	-0.053568947	120	96	0.800000000	24	23	0.958333333	96	24	0.250000000	96	7476.863803164	7476.837018690	72	72	1.000000000
case_016	19	24	11.235856806	0.468160700	1	2	24	24	0.468160700	-0.468160700	120	97	0.808333333	24	20	0.833333333	97	26	0.268041237	97	7506.168450219	7505.936783068	73	73	1.000000000
case_017	26	24	9.006521137	0.375271714	0	0	24	24	0.375271714	-0.375271714	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7480.021241637	7479.833605780	72	71	0.986111111
case_018	25	24	3.551738302	0.147989096	1	12	24	24	0.147989096	-0.147989096	120	115	0.958333333	24	23	0.958333333	115	82	0.713043478	115	7900.757493157	7900.695723795	91	90	0.989010989
case_019	19	24	6.777875546	0.282411481	1	18	24	24	0.282411481	-0.282411481	120	98	0.816666667	24	22	0.916666667	98	26	0.265306122	98	7533.501802191	7533.363478200	74	74	1.000000000
case_020	18	24	7.785023946	0.324375998	0	0	24	24	0.324375998	-0.324375998	120	96	0.800000000	24	23	0.958333333	96	24	0.250000000	96	7479.802695398	7479.640507399	72	72	1.000000000
case_021	18	24	0.578092199	0.024087175	1	24	24	24	0.024087175	-0.024087175	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7477.963080652	7477.951037065	72	72	1.000000000
case_022	16	24	10.508552655	0.437856361	1	3	24	24	0.437856361	-0.437856361	120	100	0.833333333	24	21	0.875000000	100	26	0.260000000	100	7582.269440229	7582.059269176	76	76	1.000000000
case_023	14	24	13.707011588	0.571125483	0	0	24	24	0.571125483	-0.571125483	120	114	0.950000000	24	18	0.750000000	114	78	0.684210526	114	7865.598204729	7865.357730842	93	86	0.924731183
case_024	15	24	10.740826067	0.447534419	1	1	24	24	0.447534419	-0.447534419	120	102	0.850000000	24	21	0.875000000	102	32	0.313725490	102	7631.927799443	7631.717195010	78	77	0.987179487
case_025	20	24	3.170967193	0.132123633	1	21	24	24	0.132123633	-0.132123633	120	97	0.808333333	24	23	0.958333333	97	27	0.278350515	97	7506.642422346	7506.577041579	73	73	1.000000000
case_026	17	24	5.636650585	0.234860441	1	16	24	24	0.234860441	-0.234860441	120	98	0.816666667	24	22	0.916666667	98	24	0.244897959	98	7531.245113175	7531.130079490	74	74	1.000000000
case_027	14	24	17.422949953	0.725956248	1	7	24	24	0.725956248	-0.725956248	120	97	0.808333333	24	19	0.791666667	97	26	0.268041237	97	7506.551084721	7506.191848639	73	73	1.000000000
case_028	16	24	14.346013077	0.597750545	1	2	24	24	0.597750545	-0.597750545	120	97	0.808333333	24	16	0.666666667	97	26	0.268041237	97	7507.536069904	7507.240275819	73	73	1.000000000
case_029	18	24	15.410751270	0.642114636	0	0	24	24	0.642114636	-0.642114636	120	119	0.991666667	24	20	0.833333333	119	88	0.739495798	119	7977.113952536	7976.854948313	95	89	0.936842105
case_030	23	24	7.923986971	0.330166124	0	0	24	24	0.330166124	-0.330166124	120	97	0.808333333	24	22	0.916666667	97	27	0.278350515	97	7504.415713433	7504.252332258	73	69	0.945205479
case_031	22	24	0.670241669	0.027926736	1	24	24	24	0.027926736	-0.027926736	120	97	0.808333333	24	24	1.000000000	97	27	0.278350515	97	7505.626317969	7505.612498553	73	73	1.000000000
case_032	18	24	8.748572383	0.364523849	0	0	24	24	0.364523849	-0.364523849	120	97	0.808333333	24	20	0.833333333	97	25	0.257731959	97	7505.607339684	7505.426956748	73	72	0.986301370
case_033	15	24	11.034524837	0.459771868	0	0	24	24	0.459771868	-0.459771868	120	97	0.808333333	24	19	0.791666667	97	26	0.268041237	97	7508.335481584	7508.107965608	73	72	0.986301370
case_034	22	24	2.889765366	0.120406890	1	17	24	24	0.120406890	-0.120406890	120	97	0.808333333	24	23	0.958333333	97	27	0.278350515	97	7505.654209044	7505.594626253	73	73	1.000000000
case_035	23	24	8.373845321	0.348910222	1	1	24	24	0.348910222	-0.348910222	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7480.745141641	7480.570686530	72	72	1.000000000
case_036	21	24	8.960489468	0.373353728	1	13	24	24	0.373353728	-0.373353728	120	96	0.800000000	24	20	0.833333333	96	25	0.260416667	96	7478.552659100	7478.365982236	72	72	1.000000000
case_037	18	24	10.480765476	0.436698562	0	0	24	24	0.436698562	-0.436698562	120	97	0.808333333	24	20	0.833333333	97	28	0.288659794	97	7506.820502677	7506.604404420	73	72	0.986301370
case_038	26	24	7.950603410	0.331275142	0	0	24	24	0.331275142	-0.331275142	120	97	0.808333333	24	20	0.833333333	97	25	0.257731959	97	7505.712356803	7505.548426835	73	73	1.000000000
case_039	23	24	17.376085272	0.724003553	0	0	24	24	0.724003553	-0.724003553	120	99	0.825000000	24	18	0.750000000	99	24	0.242424242	99	7557.805560156	7557.454528131	75	74	0.986666667
case_040	21	24	7.050366959	0.293765290	1	9	24	24	0.293765290	-0.293765290	120	99	0.825000000	24	20	0.833333333	99	28	0.282828283	99	7556.284673400	7556.142241745	75	75	1.000000000
case_041	15	24	14.961006605	0.623375275	1	2	24	24	0.623375275	-0.623375275	120	101	0.841666667	24	17	0.708333333	101	25	0.247524752	101	7607.888531672	7607.592274115	77	76	0.987012987
case_042	14	24	11.844887711	0.493536988	1	1	24	24	0.493536988	-0.493536988	120	100	0.833333333	24	20	0.833333333	100	28	0.280000000	100	7584.190836623	7583.953938869	76	76	1.000000000
case_043	18	24	2.135132569	0.088963857	1	11	24	24	0.088963857	-0.088963857	120	100	0.833333333	24	22	0.916666667	100	26	0.260000000	100	7580.324457591	7580.281754939	76	76	1.000000000
case_044	20	24	8.531304031	0.355471001	0	0	24	24	0.355471001	-0.355471001	120	98	0.816666667	24	21	0.875000000	98	26	0.265306122	98	7533.946546932	7533.772438687	74	73	0.986486486
case_045	18	24	14.264445484	0.594351895	1	3	24	24	0.594351895	-0.594351895	120	100	0.833333333	24	17	0.708333333	100	25	0.250000000	100	7582.194812362	7581.909523452	76	76	1.000000000
case_046	19	24	15.011880435	0.625495018	0	0	24	24	0.625495018	-0.625495018	120	99	0.825000000	24	21	0.875000000	99	29	0.292929293	99	7506.706237350	7506.402967038	78	76	0.974358974
case_047	16	24	8.933087956	0.372211998	0	0	24	24	0.372211998	-0.372211998	120	100	0.833333333	24	21	0.875000000	100	28	0.280000000	100	7583.307888684	7583.129226925	76	75	0.986842105
case_048	18	24	8.672705946	0.361362748	1	1	24	24	0.361362748	-0.361362748	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7480.189728681	7480.009047307	72	72	1.000000000
case_049	18	24	10.158315252	0.423263136	1	7	24	24	0.423263136	-0.423263136	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7482.027158140	7481.815526572	72	72	1.000000000
case_050	27	24	6.983434454	0.290976436	1	11	24	24	0.290976436	-0.290976436	120	97	0.808333333	24	22	0.916666667	97	25	0.257731959	97	7506.249161097	7506.105172758	73	73	1.000000000
case_051	21	24	5.697778621	0.237407443	1	6	24	24	0.237407443	-0.237407443	120	120	1.000000000	24	22	0.916666667	120	90	0.750000000	120	7988.733889709	7988.638926732	96	94	0.979166667
case_052	19	24	17.472749016	0.728031209	0	0	24	24	0.728031209	-0.728031209	120	119	0.991666667	24	14	0.583333333	119	94	0.789915966	119	7945.865887162	7945.572227515	98	88	0.897959184
case_053	22	24	4.939566985	0.205815291	1	11	24	24	0.205815291	-0.205815291	120	120	1.000000000	24	22	0.916666667	120	95	0.791666667	120	7989.691063164	7989.608737048	96	94	0.979166667
case_054	24	24	2.031431032	0.084642960	1	24	24	24	0.084642960	-0.084642960	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7477.705855974	7477.663534494	72	72	1.000000000
case_055	25	24	24.998181027	1.041590876	0	0	24	24	1.041590876	-1.041590876	120	96	0.800000000	24	16	0.666666667	96	24	0.250000000	96	7480.548308464	7480.027513025	72	71	0.986111111
case_056	18	24	15.869128351	0.661213681	0	0	24	24	0.661213681	-0.661213681	120	97	0.808333333	24	19	0.791666667	97	23	0.237113402	97	7509.287968864	7508.960770341	73	73	1.000000000
case_057	22	24	11.489880280	0.478745012	0	0	24	24	0.478745012	-0.478745012	120	98	0.816666667	24	21	0.875000000	98	26	0.265306122	98	7531.096249381	7530.861762029	74	72	0.972972973
case_058	25	24	5.594348149	0.233097840	1	4	24	24	0.233097840	-0.233097840	120	97	0.808333333	24	20	0.833333333	97	26	0.268041237	97	7504.760025689	7504.644678305	73	73	1.000000000
case_059	23	24	13.176394572	0.549016440	0	0	24	24	0.549016440	-0.549016440	120	96	0.800000000	24	20	0.833333333	96	23	0.239583333	96	7480.831065032	7480.556556811	72	72	1.000000000
case_060	17	24	1.301381240	0.054224218	1	19	24	24	0.054224218	-0.054224218	120	97	0.808333333	24	23	0.958333333	97	28	0.288659794	97	7503.579889298	7503.553056695	73	73	1.000000000
case_061	16	24	9.745524112	0.406063505	1	5	24	24	0.406063505	-0.406063505	120	97	0.808333333	24	20	0.833333333	97	26	0.268041237	97	7510.416561935	7510.215623294	73	72	0.986301370
case_062	14	24	11.798958706	0.491623279	1	14	24	24	0.491623279	-0.491623279	120	97	0.808333333	24	20	0.833333333	97	28	0.288659794	97	7505.182980185	7504.939702686	73	73	1.000000000
case_063	15	24	3.448053516	0.143668896	1	11	24	24	0.143668896	-0.143668896	120	97	0.808333333	24	22	0.916666667	97	26	0.268041237	97	7505.764205247	7505.693111360	73	73	1.000000000
case_064	12	24	8.869779324	0.369574139	1	7	24	24	0.369574139	-0.369574139	120	97	0.808333333	24	21	0.875000000	97	24	0.247422680	97	7507.140859131	7506.957977083	73	73	1.000000000
case_065	15	24	8.230536933	0.342939039	1	1	24	24	0.342939039	-0.342939039	120	97	0.808333333	24	21	0.875000000	97	24	0.247422680	97	7507.839140106	7507.669438314	73	73	1.000000000
case_066	16	24	13.387394060	0.557808086	1	7	24	24	0.557808086	-0.557808086	120	99	0.825000000	24	18	0.750000000	99	26	0.262626263	99	7558.248277101	7557.977824696	75	75	1.000000000
case_067	17	24	8.283969162	0.345165382	1	6	24	24	0.345165382	-0.345165382	120	98	0.816666667	24	20	0.833333333	98	29	0.295918367	98	7533.654739780	7533.485679185	74	74	1.000000000
case_068	17	24	18.888245162	0.787010215	1	3	24	24	0.787010215	-0.787010215	120	99	0.825000000	24	17	0.708333333	99	23	0.232323232	99	7559.130734274	7558.749153564	75	75	1.000000000
case_069	18	24	10.068284643	0.419511860	1	1	24	24	0.419511860	-0.419511860	120	99	0.825000000	24	21	0.875000000	99	28	0.282828283	99	7558.320360188	7558.116960498	75	75	1.000000000
case_070	24	24	4.852294825	0.202178951	1	3	24	24	0.202178951	-0.202178951	120	97	0.808333333	24	22	0.916666667	97	28	0.288659794	97	7502.160584121	7502.060536805	73	73	1.000000000
case_071	24	24	12.512852749	0.521368865	0	0	24	24	0.521368865	-0.521368865	120	97	0.808333333	24	19	0.791666667	97	25	0.257731959	97	7507.739337709	7507.481340745	73	73	1.000000000
case_072	17	24	6.896834125	0.287368089	0	0	24	24	0.287368089	-0.287368089	120	97	0.808333333	24	22	0.916666667	97	27	0.278350515	97	7507.266299874	7507.124097108	73	70	0.958904110
case_073	15	24	4.399627062	0.183317794	1	6	24	24	0.183317794	-0.183317794	120	97	0.808333333	24	22	0.916666667	97	27	0.278350515	97	7505.305104102	7505.214390142	73	73	1.000000000
case_074	15	24	7.753445058	0.323060211	0	0	24	24	0.323060211	-0.323060211	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7478.013151697	7477.851621592	72	71	0.986111111
case_075	16	24	3.810575812	0.158773992	1	6	24	24	0.158773992	-0.158773992	120	97	0.808333333	24	22	0.916666667	97	26	0.268041237	97	7506.805637624	7506.727069051	73	73	1.000000000
case_076	22	24	1.254612733	0.052275531	1	24	24	24	0.052275531	-0.052275531	120	97	0.808333333	24	24	1.000000000	97	28	0.288659794	97	7504.613975084	7504.588106780	73	73	1.000000000
case_077	24	24	4.411751025	0.183822959	1	12	24	24	0.183822959	-0.183822959	120	96	0.800000000	24	23	0.958333333	96	24	0.250000000	96	7477.719496081	7477.627584602	72	72	1.000000000
case_078	28	24	16.466661759	0.686110907	0	0	24	24	0.686110907	-0.686110907	120	97	0.808333333	24	20	0.833333333	97	27	0.278350515	97	7507.849303861	7507.509785062	73	71	0.972602740
case_079	20	24	10.523232247	0.438468010	1	4	24	24	0.438468010	-0.438468010	120	99	0.825000000	24	20	0.833333333	99	26	0.262626263	99	7556.426636526	7556.214045975	75	75	1.000000000
case_080	13	24	20.773064107	0.865544338	0	0	24	24	0.865544338	-0.865544338	120	119	0.991666667	24	14	0.583333333	119	91	0.764705882	119	7912.681528800	7912.332401672	98	84	0.857142857
case_081	13	24	8.075677049	0.336486544	0	0	24	24	0.336486544	-0.336486544	120	99	0.825000000	24	20	0.833333333	99	27	0.272727273	99	7558.770372805	7558.607227814	75	74	0.986666667
case_082	16	24	3.392804635	0.141366860	1	9	24	24	0.141366860	-0.141366860	120	97	0.808333333	24	23	0.958333333	97	28	0.288659794	97	7505.385503962	7505.315549227	73	73	1.000000000
case_083	19	17	0.029748810	0.001749930	1	17	17	17	0.001749930	-0.001749930	85	68	0.800000000	17	17	1.000000000	68	18	0.264705882	68	7477.203418945	7477.202543980	51	51	1.000000000
case_084	23	11	1.861788917	0.169253538	0	0	11	11	0.169253538	-0.169253538	55	45	0.818181818	11	10	0.909090909	45	13	0.288888889	45	7535.972858241	7535.890112067	34	33	0.970588235
case_085	18	24	5.641551023	0.235064626	1	11	24	24	0.235064626	-0.235064626	120	97	0.808333333	24	21	0.875000000	97	27	0.278350515	97	7507.435704778	7507.319384138	73	73	1.000000000
case_086	16	24	13.370172128	0.557090505	1	6	24	24	0.557090505	-0.557090505	120	96	0.800000000	24	17	0.708333333	96	24	0.250000000	96	7481.631522892	7481.352977639	72	72	1.000000000
case_087	12	24	6.818417671	0.284100736	1	3	24	24	0.284100736	-0.284100736	120	97	0.808333333	24	21	0.875000000	97	29	0.298969072	97	7505.895144462	7505.754558531	73	73	1.000000000
case_088	14	24	12.393960269	0.516415011	1	4	24	24	0.516415011	-0.516415011	120	97	0.808333333	24	19	0.791666667	97	27	0.278350515	97	7508.578268693	7508.322723121	73	73	1.000000000
case_089	12	24	3.975388598	0.165641192	1	3	24	24	0.165641192	-0.165641192	120	98	0.816666667	24	23	0.958333333	98	26	0.265306122	98	7533.936598777	7533.855468398	74	74	1.000000000
case_090	17	24	11.376951822	0.474039659	1	2	24	24	0.474039659	-0.474039659	120	96	0.800000000	24	20	0.833333333	96	25	0.260416667	96	7480.100202776	7479.863182947	72	72	1.000000000
case_091	14	24	21.851024849	0.910459369	0	0	24	24	0.910459369	-0.910459369	120	96	0.800000000	24	17	0.708333333	96	26	0.270833333	96	7481.300123816	7480.844894132	72	72	1.000000000
case_092	15	24	2.888446916	0.120351955	1	20	24	24	0.120351955	-0.120351955	120	97	0.808333333	24	22	0.916666667	97	26	0.268041237	97	7503.232439816	7503.172884210	73	73	1.000000000
case_093	17	24	13.923684251	0.580153510	0	0	24	24	0.580153510	-0.580153510	120	99	0.825000000	24	19	0.791666667	99	26	0.262626263	99	7556.761309225	7556.480022674	75	72	0.960000000
