id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	64.977214095	2.707383921	0	0	24	24	2.707383921	-2.707383921	120	100	0.833333333	24	11	0.458333333	100	26	0.260000000	100	7591.049067645	7589.749523363	76	69	0.907894737
case_001	18	24	70.828504106	2.951187671	0	0	24	24	2.951187671	-2.951187671	120	100	0.833333333	24	13	0.541666667	100	18	0.180000000	100	7589.940862048	7588.524291966	76	71	0.934210526
case_002	19	24	85.373281010	3.557220042	0	0	24	24	3.557220042	-3.557220042	120	96	0.800000000	24	9	0.375000000	96	11	0.114583333	96	7490.032088648	7488.253478627	72	70	0.972222222
case_003	19	24	73.572762067	3.065531753	0	0	24	24	3.065531753	-3.065531753	120	97	0.808333333	24	11	0.458333333	97	15	0.154639175	97	7515.570813193	7514.053849027	73	67	0.917808219
case_004	15	24	65.307168230	2.721132010	0	0	24	24	2.721132010	-2.721132010	120	97	0.808333333	24	8	0.333333333	97	18	0.185567010	97	7516.812292562	7515.465753011	73	71	0.972602740
case_005	14	24	70.115496156	2.921479006	0	0	24	24	2.921479006	-2.921479006	120	96	0.800000000	24	15	0.625000000	96	17	0.177083333	96	7490.254023795	7488.793284292	72	66	0.916666667
case_006	18	24	60.441610349	2.518400431	0	0	24	24	2.518400431	-2.518400431	120	98	0.816666667	24	10	0.416666667	98	21	0.214285714	98	7542.278802392	7541.045300140	74	70	0.945945946
case_007	14	24	92.618113526	3.859088064	0	0	24	24	3.859088064	-3.859088064	120	119	0.991666667	24	11	0.458333333	119	54	0.453781513	119	7978.527431582	7976.970824632	95	69	0.726315789
case_008	20	24	66.815169994	2.783965416	0	0	24	24	2.783965416	-2.783965416	120	97	0.808333333	24	15	0.625000000	97	20	0.206185567	97	7516.285085544	7514.907453173	73	70	0.958904110
case_009	17	24	80.369917375	3.348746557	0	0	24	24	3.348746557	-3.348746557	120	106	0.883333333	24	10	0.416666667	106	23	0.216981132	106	7728.684257939	7727.167844403	82	69	0.841463415
