id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	34.329091346	1.430378806	0	0	24	24	1.430378806	-1.430378806	120	100	0.833333333	24	16	0.666666667	100	33	0.330000000	100	7587.943575426	7587.256993599	76	69	0.907894737
case_001	18	24	24.939009263	1.039125386	0	0	24	24	1.039125386	-1.039125386	120	100	0.833333333	24	17	0.708333333	100	22	0.220000000	100	7585.311122105	7584.812341920	76	74	0.973684211
case_002	19	24	37.396907560	1.558204482	0	0	24	24	1.558204482	-1.558204482	120	96	0.800000000	24	14	0.583333333	96	20	0.208333333	96	7488.025334204	7487.246231964	72	71	0.986111111
case_003	19	24	41.237308762	1.718221198	0	0	24	24	1.718221198	-1.718221198	120	97	0.808333333	24	13	0.541666667	97	23	0.237113402	97	7513.044212418	7512.193958629	73	73	1.000000000
case_004	15	24	49.189769208	2.049573717	0	0	24	24	2.049573717	-2.049573717	120	97	0.808333333	24	12	0.500000000	97	21	0.216494845	97	7514.560359381	7513.546137335	73	71	0.972602740
case_005	14	24	22.753804735	0.948075197	0	0	24	24	0.948075197	-0.948075197	120	96	0.800000000	24	20	0.833333333	96	22	0.229166667	96	7485.413820395	7484.939782796	72	71	0.986111111
case_006	18	24	48.891070789	2.037127950	0	0	24	24	2.037127950	-2.037127950	120	98	0.816666667	24	14	0.583333333	98	23	0.234693878	98	7539.619864372	7538.622087417	74	72	0.972972973
case_007	14	24	21.066839666	0.877784986	0	0	24	24	0.877784986	-0.877784986	120	119	0.991666667	24	20	0.833333333	119	74	0.621848739	119	7977.410294944	7977.056230412	95	89	0.936842105
case_008	20	24	41.721727131	1.738405297	0	0	24	24	1.738405297	-1.738405297	120	97	0.808333333	24	15	0.625000000	97	20	0.206185567	97	7513.094193476	7512.233951679	73	71	0.972602740
case_009	17	24	34.588751193	1.441197966	0	0	24	24	1.441197966	-1.441197966	120	106	0.883333333	24	16	0.666666667	106	32	0.301886792	106	7725.960977038	7725.308359091	82	77	0.939024390
case_010	26	24	43.919542689	1.829980945	0	0	24	24	1.829980945	-1.829980945	120	96	0.800000000	24	14	0.583333333	96	20	0.208333333	96	7488.151198007	7487.236207534	72	70	0.972222222
case_011	21	24	51.309801463	2.137908394	0	0	24	24	2.137908394	-2.137908394	120	98	0.816666667	24	12	0.500000000	98	20	0.204081633	98	7539.935808069	7538.888669264	74	72	0.972972973
case_012	22	24	46.113129293	1.921380387	0	0	24	24	1.921380387	-1.921380387	120	100	0.833333333	24	16	0.666666667	100	19	0.190000000	100	7588.343326514	7587.421063928	76	74	0.973684211
case_013	22	24	44.022297624	1.834262401	0	0	24	24	1.834262401	-1.834262401	120	97	0.808333333	24	16	0.666666667	97	20	0.206185567	97	7512.404776765	7511.497100525	73	69	0.945205479
case_014	21	24	54.720199255	2.280008302	0	0	24	24	2.280008302	-2.280008302	120	98	0.816666667	24	13	0.541666667	98	18	0.183673469	98	7540.802030558	7539.685291797	74	72	0.972972973
case_015	22	24	33.141405866	1.380891911	0	0	24	24	1.380891911	-1.380891911	120	96	0.800000000	24	19	0.791666667	96	20	0.208333333	96	7486.399711310	7485.709265354	72	70	0.972222222
case_016	19	24	36.465352047	1.519389669	0	0	24	24	1.519389669	-1.519389669	120	97	0.808333333	24	15	0.625000000	97	23	0.237113402	97	7512.760078873	7512.008215944	73	70	0.958904110
case_017	26	24	55.281482014	2.303395084	0	0	24	24	2.303395084	-2.303395084	120	96	0.800000000	24	14	0.583333333	96	17	0.177083333	96	7489.724147930	7488.572450388	72	70	0.972222222
case_018	25	24	39.233531564	1.634730482	0	0	24	24	1.634730482	-1.634730482	120	115	0.958333333	24	14	0.583333333	115	54	0.469565217	115	7905.252726124	7904.570403836	91	80	0.879120879
case_019	19	24	47.604393666	1.983516403	0	0	24	24	1.983516403	-1.983516403	120	98	0.816666667	24	17	0.708333333	98	18	0.183673469	98	7540.981636001	7540.010117763	74	71	0.959459459
case_020	18	24	39.445155333	1.643548139	0	0	24	24	1.643548139	-1.643548139	120	96	0.800000000	24	14	0.583333333	96	20	0.208333333	96	7486.919581499	7486.097807429	72	70	0.972222222
case_021	18	24	12.124478973	0.505186624	0	0	24	24	0.505186624	-0.505186624	120	96	0.800000000	24	21	0.875000000	96	22	0.229166667	96	7484.145523515	7483.892930203	72	72	1.000000000
case_022	16	24	41.674325468	1.736430228	0	0	24	24	1.736430228	-1.736430228	120	100	0.833333333	24	13	0.541666667	100	23	0.230000000	100	7587.334837957	7586.501351447	76	74	0.973684211
case_023	14	24	41.336089277	1.722337053	0	0	24	24	1.722337053	-1.722337053	120	114	0.950000000	24	13	0.541666667	114	42	0.368421053	114	7867.878401999	7867.153207451	93	86	0.924731183
case_024	15	24	27.527403420	1.146975143	0	0	24	24	1.146975143	-1.146975143	120	102	0.850000000	24	17	0.708333333	102	25	0.245098039	102	7634.087194877	7633.547441869	78	77	0.987179487
case_025	20	24	25.300955599	1.054206483	0	0	24	24	1.054206483	-1.054206483	120	97	0.808333333	24	18	0.750000000	97	23	0.237113402	97	7512.196193068	7511.674523880	73	69	0.945205479
case_026	17	24	36.062622639	1.502609277	0	0	24	24	1.502609277	-1.502609277	120	98	0.816666667	24	14	0.583333333	98	21	0.214285714	98	7537.825008569	7537.089036678	74	73	0.986486486
case_027	14	24	47.854025583	1.993917733	0	0	24	24	1.993917733	-1.993917733	120	97	0.808333333	24	13	0.541666667	97	22	0.226804124	97	7511.604206762	7510.617525822	73	71	0.972602740
case_028	16	24	49.276663703	2.053194321	0	0	24	24	2.053194321	-2.053194321	120	97	0.808333333	24	12	0.500000000	97	21	0.216494845	97	7514.000257930	7512.984244245	73	71	0.972602740
case_029	18	24	59.877535127	2.494897297	0	0	24	24	2.494897297	-2.494897297	120	119	0.991666667	24	9	0.375000000	119	61	0.512605042	119	7978.092792664	7977.086447535	95	77	0.810526316
case_030	23	24	49.601555306	2.066731471	0	0	24	24	2.066731471	-2.066731471	120	97	0.808333333	24	15	0.625000000	97	20	0.206185567	97	7512.647695686	7511.624983205	73	72	0.986301370
case_031	22	24	35.514909070	1.479787878	0	0	24	24	1.479787878	-1.479787878	120	97	0.808333333	24	19	0.791666667	97	19	0.195876289	97	7514.150073215	7513.417807048	73	72	0.986301370
case_032	18	24	43.276875627	1.803203151	0	0	24	24	1.803203151	-1.803203151	120	97	0.808333333	24	14	0.583333333	97	23	0.237113402	97	7513.424378448	7512.532071734	73	69	0.945205479
case_033	15	24	23.108328433	0.962847018	0	0	24	24	0.962847018	-0.962847018	120	97	0.808333333	24	17	0.708333333	97	23	0.237113402	97	7511.716911046	7511.240450666	73	71	0.972602740
case_034	22	24	58.991863488	2.457994312	0	0	24	24	2.457994312	-2.457994312	120	97	0.808333333	24	10	0.416666667	97	17	0.175257732	97	7514.539327396	7513.323000314	73	69	0.945205479
case_035	23	24	51.971690553	2.165487106	0	0	24	24	2.165487106	-2.165487106	120	96	0.800000000	24	16	0.666666667	96	19	0.197916667	96	7489.079831682	7487.997088129	72	68	0.944444444
case_036	21	24	48.802694492	2.033445604	0	0	24	24	2.033445604	-2.033445604	120	96	0.800000000	24	11	0.458333333	96	19	0.197916667	96	7488.687515235	7487.670792433	72	69	0.958333333
case_037	18	24	42.945743948	1.789405998	0	0	24	24	1.789405998	-1.789405998	120	97	0.808333333	24	12	0.500000000	97	20	0.206185567	97	7513.870160877	7512.984681620	73	70	0.958904110
case_038	26	24	38.951214004	1.622967250	0	0	24	24	1.622967250	-1.622967250	120	97	0.808333333	24	15	0.625000000	97	22	0.226804124	97	7512.580689552	7511.777571737	73	69	0.945205479
case_039	23	24	44.907208019	1.871133667	0	0	24	24	1.871133667	-1.871133667	120	99	0.825000000	24	15	0.625000000	99	21	0.212121212	99	7564.311946100	7563.404729777	75	73	0.973333333
case_040	21	24	58.124945567	2.421872732	0	0	24	24	2.421872732	-2.421872732	120	99	0.825000000	24	9	0.375000000	99	19	0.191919192	99	7565.184027895	7564.009786571	75	72	0.960000000
case_041	15	24	53.127217792	2.213634075	0	0	24	24	2.213634075	-2.213634075	120	101	0.841666667	24	12	0.500000000	101	22	0.217821782	101	7613.082758274	7612.030734159	77	75	0.974025974
case_042	14	24	46.706055667	1.946085653	0	0	24	24	1.946085653	-1.946085653	120	100	0.833333333	24	15	0.625000000	100	19	0.190000000	100	7588.693572813	7587.759451700	76	71	0.934210526
case_043	18	24	12.788189453	0.532841227	0	0	24	24	0.532841227	-0.532841227	120	100	0.833333333	24	21	0.875000000	100	25	0.250000000	100	7585.112493326	7584.856729537	76	75	0.986842105
case_044	20	24	29.887053255	1.245293886	0	0	24	24	1.245293886	-1.245293886	120	98	0.816666667	24	17	0.708333333	98	22	0.224489796	98	7539.720306608	7539.110366746	74	70	0.945945946
case_045	18	24	56.198171100	2.341590462	0	0	24	24	2.341590462	-2.341590462	120	100	0.833333333	24	13	0.541666667	100	19	0.190000000	100	7587.422485333	7586.298521911	76	75	0.986842105
case_046	19	24	30.062531585	1.252605483	0	0	24	24	1.252605483	-1.252605483	120	99	0.825000000	24	16	0.666666667	99	24	0.242424242	99	7512.197273118	7511.589949248	78	75	0.961538462
case_047	16	24	28.417641536	1.184068397	0	0	24	24	1.184068397	-1.184068397	120	100	0.833333333	24	15	0.625000000	100	24	0.240000000	100	7588.074165132	7587.505812301	76	74	0.973684211
case_048	18	24	29.536215753	1.230675656	0	0	24	24	1.230675656	-1.230675656	120	96	0.800000000	24	16	0.666666667	96	21	0.218750000	96	7487.173613122	7486.558275294	72	72	1.000000000
case_049	18	24	51.715396807	2.154808200	0	0	24	24	2.154808200	-2.154808200	120	96	0.800000000	24	11	0.458333333	96	17	0.177083333	96	7488.156640412	7487.079236312	72	72	1.000000000
case_050	27	24	76.584700724	3.191029197	0	0	24	24	3.191029197	-3.191029197	120	97	0.808333333	24	11	0.458333333	97	16	0.164948454	97	7516.644098774	7515.065032780	73	69	0.945205479
case_051	21	24	26.835198626	1.118133276	0	0	24	24	1.118133276	-1.118133276	120	120	1.000000000	24	18	0.750000000	120	56	0.466666667	120	7992.367667030	7991.920413719	96	89	0.927083333
case_052	19	24	50.250220031	2.093759168	0	0	24	24	2.093759168	-2.093759168	120	119	0.991666667	24	17	0.708333333	119	63	0.529411765	119	7947.788038402	7946.943496889	98	86	0.877551020
case_053	22	24	35.297143726	1.470714322	0	0	24	24	1.470714322	-1.470714322	120	120	1.000000000	24	15	0.625000000	120	61	0.508333333	120	7993.886710140	7993.298424412	96	84	0.875000000
case_054	24	24	50.606996753	2.108624865	0	0	24	24	2.108624865	-2.108624865	120	96	0.800000000	24	15	0.625000000	96	19	0.197916667	96	7489.128000543	7488.073688111	72	70	0.972222222
case_055	25	24	53.378457198	2.224102383	0	0	24	24	2.224102383	-2.224102383	120	96	0.800000000	24	14	0.583333333	96	22	0.229166667	96	7489.392625414	7488.280574222	72	68	0.944444444
