id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	36.493935944	1.520580664	0	0	24	24	1.520580664	-1.520580664	120	100	0.833333333	24	15	0.625000000	100	32	0.320000000	100	7588.112601487	7587.382722768	76	68	0.894736842
case_001	18	24	25.389286969	1.057886957	0	0	24	24	1.057886957	-1.057886957	120	100	0.833333333	24	17	0.708333333	100	22	0.220000000	100	7585.026414595	7584.518628856	76	75	0.986842105
case_002	19	24	38.916154678	1.621506445	0	0	24	24	1.621506445	-1.621506445	120	96	0.800000000	24	13	0.541666667	96	20	0.208333333	96	7488.040105923	7487.229352700	72	71	0.986111111
case_003	19	24	38.653385957	1.610557748	0	0	24	24	1.610557748	-1.610557748	120	97	0.808333333	24	14	0.583333333	97	23	0.237113402	97	7513.159330100	7512.362353070	73	73	1.000000000
case_004	15	24	49.228674239	2.051194760	0	0	24	24	2.051194760	-2.051194760	120	97	0.808333333	24	12	0.500000000	97	21	0.216494845	97	7514.378616391	7513.363592180	73	71	0.972602740
case_005	14	24	23.355782453	0.973157602	0	0	24	24	0.973157602	-0.973157602	120	96	0.800000000	24	20	0.833333333	96	21	0.218750000	96	7485.400069625	7484.913490824	72	72	1.000000000
case_006	18	24	48.784182300	2.032674263	0	0	24	24	2.032674263	-2.032674263	120	98	0.816666667	24	13	0.541666667	98	23	0.234693878	98	7539.449312936	7538.453717379	74	72	0.972972973
case_007	14	24	19.828397904	0.826183246	0	0	24	24	0.826183246	-0.826183246	120	119	0.991666667	24	20	0.833333333	119	75	0.630252101	119	7977.372847397	7977.039597012	95	89	0.936842105
case_008	20	24	41.300591052	1.720857961	0	0	24	24	1.720857961	-1.720857961	120	97	0.808333333	24	15	0.625000000	97	21	0.216494845	97	7513.005809875	7512.154251296	73	71	0.972602740
case_009	17	24	36.278625110	1.511609380	0	0	24	24	1.511609380	-1.511609380	120	106	0.883333333	24	14	0.583333333	106	32	0.301886792	106	7726.037293662	7725.352791302	82	77	0.939024390
case_010	26	24	43.672807502	1.819700313	0	0	24	24	1.819700313	-1.819700313	120	96	0.800000000	24	14	0.583333333	96	20	0.208333333	96	7488.194644535	7487.284794378	72	70	0.972222222
case_011	21	24	51.334920861	2.138955036	0	0	24	24	2.138955036	-2.138955036	120	98	0.816666667	24	10	0.416666667	98	20	0.204081633	98	7538.724941751	7537.677290305	74	72	0.972972973
case_012	22	24	45.972495764	1.915520657	0	0	24	24	1.915520657	-1.915520657	120	100	0.833333333	24	16	0.666666667	100	19	0.190000000	100	7588.116717506	7587.197267590	76	74	0.973684211
case_013	22	24	47.708903036	1.987870960	0	0	24	24	1.987870960	-1.987870960	120	97	0.808333333	24	15	0.625000000	97	20	0.206185567	97	7512.813354427	7511.829665704	73	69	0.945205479
case_014	21	24	53.298261268	2.220760886	0	0	24	24	2.220760886	-2.220760886	120	98	0.816666667	24	15	0.625000000	98	19	0.193877551	98	7540.610567641	7539.522848024	74	72	0.972972973
