id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	24.402669249	1.016777885	0	0	24	24	1.016777885	-1.016777885	120	100	0.833333333	24	18	0.750000000	100	32	0.320000000	100	7587.773088513	7587.285035128	76	70	0.921052632
case_001	18	24	19.684140658	0.820172527	1	14	24	24	0.820172527	-0.820172527	120	100	0.833333333	24	20	0.833333333	100	25	0.250000000	100	7585.554023643	7585.160340829	76	76	1.000000000
case_002	19	24	11.177682245	0.465736760	0	0	24	24	0.465736760	-0.465736760	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7485.325005852	7485.092137472	72	72	1.000000000
case_003	19	24	19.237838467	0.801576603	1	4	24	24	0.801576603	-0.801576603	120	97	0.808333333	24	19	0.791666667	97	22	0.226804124	97	7510.498686633	7510.102030170	73	71	0.972602740
case_004	15	24	21.366950142	0.890289589	1	4	24	24	0.890289589	-0.890289589	120	97	0.808333333	24	18	0.750000000	97	27	0.278350515	97	7512.074789656	7511.634233983	73	73	1.000000000
case_005	14	24	14.904941227	0.621039218	1	2	24	24	0.621039218	-0.621039218	120	96	0.800000000	24	19	0.791666667	96	24	0.250000000	96	7484.650752849	7484.340233240	72	72	1.000000000
case_006	18	24	14.092649324	0.587193722	1	7	24	24	0.587193722	-0.587193722	120	98	0.816666667	24	19	0.791666667	98	26	0.265306122	98	7535.857794204	7535.570189116	74	74	1.000000000
case_007	14	24	35.146211430	1.464425476	0	0	24	24	1.464425476	-1.464425476	120	119	0.991666667	24	13	0.541666667	119	82	0.689075630	119	7977.521906551	7976.931213922	95	81	0.852631579
case_008	20	24	18.554437889	0.773101579	1	2	24	24	0.773101579	-0.773101579	120	97	0.808333333	24	18	0.750000000	97	23	0.237113402	97	7509.742301505	7509.359735776	73	73	1.000000000
case_009	17	24	15.184009264	0.632667053	1	3	24	24	0.632667053	-0.632667053	120	106	0.883333333	24	18	0.750000000	106	42	0.396226415	106	7723.052269891	7722.765779150	82	80	0.975609756
case_010	26	24	14.495746178	0.603989424	0	0	24	24	0.603989424	-0.603989424	120	96	0.800000000	24	21	0.875000000	96	23	0.239583333	96	7482.969986969	7482.667992257	72	72	1.000000000
case_011	21	24	9.620868431	0.400869518	1	4	24	24	0.400869518	-0.400869518	120	98	0.816666667	24	19	0.791666667	98	24	0.244897959	98	7534.355578697	7534.159234443	74	74	1.000000000
case_012	22	24	20.762766087	0.865115254	0	0	24	24	0.865115254	-0.865115254	120	100	0.833333333	24	18	0.750000000	100	25	0.250000000	100	7583.836937074	7583.421681752	76	75	0.986842105
case_013	22	24	13.753836890	0.573076537	0	0	24	24	0.573076537	-0.573076537	120	97	0.808333333	24	20	0.833333333	97	28	0.288659794	97	7509.699440324	7509.415856058	73	69	0.945205479
case_014	21	24	13.344130405	0.556005434	0	0	24	24	0.556005434	-0.556005434	120	98	0.816666667	24	17	0.708333333	98	28	0.285714286	98	7535.940852683	7535.668523491	74	73	0.986486486
case_015	22	24	13.953843346	0.581410139	1	2	24	24	0.581410139	-0.581410139	120	96	0.800000000	24	20	0.833333333	96	23	0.239583333	96	7480.185344483	7479.894639413	72	72	1.000000000
case_016	19	24	20.116908255	0.838204511	1	1	24	24	0.838204511	-0.838204511	120	97	0.808333333	24	20	0.833333333	97	25	0.257731959	97	7509.573322704	7509.158541091	73	73	1.000000000
case_017	26	24	23.790631024	0.991276293	0	0	24	24	0.991276293	-0.991276293	120	96	0.800000000	24	19	0.791666667	96	24	0.250000000	96	7482.119204701	7481.623566554	72	70	0.972222222
case_018	25	24	10.770462569	0.448769274	1	11	24	24	0.448769274	-0.448769274	120	115	0.958333333	24	20	0.833333333	115	73	0.634782609	115	7902.830467830	7902.643155437	91	89	0.978021978
case_019	19	24	16.684579135	0.695190797	1	3	24	24	0.695190797	-0.695190797	120	98	0.816666667	24	19	0.791666667	98	25	0.255102041	98	7536.921101132	7536.580599517	74	74	1.000000000
case_020	18	24	27.622206611	1.150925275	0	0	24	24	1.150925275	-1.150925275	120	96	0.800000000	24	17	0.708333333	96	22	0.229166667	96	7485.219083996	7484.643621359	72	72	1.000000000
case_021	18	24	15.176615631	0.632358985	1	3	24	24	0.632358985	-0.632358985	120	96	0.800000000	24	20	0.833333333	96	25	0.260416667	96	7482.018369741	7481.702190249	72	72	1.000000000
case_022	16	24	18.314475497	0.763103146	1	3	24	24	0.763103146	-0.763103146	120	100	0.833333333	24	20	0.833333333	100	25	0.250000000	100	7584.823397924	7584.457108414	76	76	1.000000000
case_023	14	24	15.935168687	0.663965362	0	0	24	24	0.663965362	-0.663965362	120	114	0.950000000	24	18	0.750000000	114	66	0.578947368	114	7868.347245488	7868.067681125	93	88	0.946236559
case_024	15	24	13.581411405	0.565892142	1	1	24	24	0.565892142	-0.565892142	120	102	0.850000000	24	19	0.791666667	102	31	0.303921569	102	7633.401976757	7633.135674573	78	77	0.987179487
case_025	20	24	10.150256308	0.422927346	1	4	24	24	0.422927346	-0.422927346	120	97	0.808333333	24	21	0.875000000	97	28	0.288659794	97	7510.516994786	7510.307711151	73	73	1.000000000
case_026	17	24	17.562617874	0.731775745	1	15	24	24	0.731775745	-0.731775745	120	98	0.816666667	24	19	0.791666667	98	24	0.244897959	98	7534.647217032	7534.288796259	74	73	0.986486486
case_027	14	24	16.102358561	0.670931607	1	2	24	24	0.670931607	-0.670931607	120	97	0.808333333	24	17	0.708333333	97	26	0.268041237	97	7509.943862234	7509.611854841	73	73	1.000000000
case_028	16	24	17.329917094	0.722079879	1	4	24	24	0.722079879	-0.722079879	120	97	0.808333333	24	17	0.708333333	97	26	0.268041237	97	7510.098671798	7509.741353920	73	73	1.000000000
case_029	18	24	33.368171115	1.390340463	0	0	24	24	1.390340463	-1.390340463	120	119	0.991666667	24	14	0.583333333	119	72	0.605042017	119	7977.744796392	7977.183986793	95	85	0.894736842
case_030	23	24	17.540911136	0.730871297	0	0	24	24	0.730871297	-0.730871297	120	97	0.808333333	24	19	0.791666667	97	26	0.268041237	97	7511.915316935	7511.553648664	73	69	0.945205479
case_031	22	24	11.151563549	0.464648481	1	2	24	24	0.464648481	-0.464648481	120	97	0.808333333	24	21	0.875000000	97	26	0.268041237	97	7507.992022469	7507.762093324	73	73	1.000000000
case_032	18	24	21.048031892	0.877001329	0	0	24	24	0.877001329	-0.877001329	120	97	0.808333333	24	17	0.708333333	97	24	0.247422680	97	7509.636075979	7509.202095940	73	71	0.972602740
case_033	15	24	25.144573398	1.047690558	0	0	24	24	1.047690558	-1.047690558	120	97	0.808333333	24	15	0.625000000	97	26	0.268041237	97	7510.152632987	7509.634188174	73	71	0.972602740
