id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	9.554750512	0.398114605	0	0	24	24	0.398114605	-0.398114605	120	100	0.833333333	24	20	0.833333333	100	34	0.340000000	100	7584.929376940	7584.738281930	76	72	0.947368421
case_001	18	24	5.303603079	0.220983462	1	19	24	24	0.220983462	-0.220983462	120	100	0.833333333	24	23	0.958333333	100	28	0.280000000	100	7581.680645102	7581.574573040	76	76	1.000000000
case_002	19	24	8.387542876	0.349480953	0	0	24	24	0.349480953	-0.349480953	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7480.733375238	7480.558634762	72	72	1.000000000
case_003	19	24	7.436143443	0.309839310	0	0	24	24	0.309839310	-0.309839310	120	97	0.808333333	24	22	0.916666667	97	24	0.247422680	97	7508.696357604	7508.543035059	73	73	1.000000000
case_004	15	24	19.104041727	0.796001739	1	2	24	24	0.796001739	-0.796001739	120	97	0.808333333	24	15	0.625000000	97	27	0.278350515	97	7509.849953672	7509.456055904	73	73	1.000000000
case_005	14	24	2.028858349	0.084535765	1	9	24	24	0.084535765	-0.084535765	120	96	0.800000000	24	23	0.958333333	96	24	0.250000000	96	7479.979926871	7479.937658989	72	72	1.000000000
case_006	18	24	9.467642287	0.394485095	1	2	24	24	0.394485095	-0.394485095	120	98	0.816666667	24	18	0.750000000	98	27	0.275510204	98	7532.190025804	7531.996808614	74	74	1.000000000
case_007	14	24	11.840151492	0.493339645	0	0	24	24	0.493339645	-0.493339645	120	119	0.991666667	24	20	0.833333333	119	92	0.773109244	119	7976.860414587	7976.661420444	95	91	0.957894737
case_008	20	24	8.331705212	0.347154384	1	12	24	24	0.347154384	-0.347154384	120	97	0.808333333	24	21	0.875000000	97	26	0.268041237	97	7507.554929942	7507.383142206	73	73	1.000000000
case_009	17	24	5.139026408	0.214126100	1	11	24	24	0.214126100	-0.214126100	120	106	0.883333333	24	22	0.916666667	106	48	0.452830189	106	7720.778184768	7720.681222006	82	82	1.000000000
case_010	26	24	7.350477249	0.306269885	0	0	24	24	0.306269885	-0.306269885	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7477.936962241	7477.783827299	72	72	1.000000000
case_011	21	24	5.504337125	0.229347380	1	19	24	24	0.229347380	-0.229347380	120	98	0.816666667	24	22	0.916666667	98	25	0.255102041	98	7531.199830130	7531.087496720	74	74	1.000000000
