id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	35.556172762	1.481507198	0	0	24	24	1.481507198	-1.481507198	120	100	0.833333333	24	16	0.666666667	100	33	0.330000000	100	7588.242868841	7587.531745385	76	69	0.907894737
case_001	18	24	24.316167543	1.013173648	0	0	24	24	1.013173648	-1.013173648	120	100	0.833333333	24	18	0.750000000	100	22	0.220000000	100	7585.344166608	7584.857843257	76	75	0.986842105
case_002	19	24	37.202534651	1.550105610	0	0	24	24	1.550105610	-1.550105610	120	96	0.800000000	24	15	0.625000000	96	20	0.208333333	96	7487.828963519	7487.053910713	72	71	0.986111111
case_003	19	24	38.790344941	1.616264373	0	0	24	24	1.616264373	-1.616264373	120	97	0.808333333	24	14	0.583333333	97	23	0.237113402	97	7513.063142016	7512.263341089	73	73	1.000000000
case_004	15	24	49.652307751	2.068846156	0	0	24	24	2.068846156	-2.068846156	120	97	0.808333333	24	12	0.500000000	97	21	0.216494845	97	7514.343614028	7513.319855105	73	71	0.972602740
case_005	14	24	22.382583928	0.932607664	0	0	24	24	0.932607664	-0.932607664	120	96	0.800000000	24	20	0.833333333	96	22	0.229166667	96	7485.540010645	7485.073706813	72	72	1.000000000
case_006	18	24	49.360707861	2.056696161	0	0	24	24	2.056696161	-2.056696161	120	98	0.816666667	24	12	0.500000000	98	23	0.234693878	98	7539.506718876	7538.499357491	74	71	0.959459459
case_007	14	24	20.417359725	0.850723322	0	0	24	24	0.850723322	-0.850723322	120	119	0.991666667	24	20	0.833333333	119	73	0.613445378	119	7977.396516693	7977.053367790	95	89	0.936842105
case_008	20	24	42.058361034	1.752431710	0	0	24	24	1.752431710	-1.752431710	120	97	0.808333333	24	14	0.583333333	97	21	0.216494845	97	7513.221337801	7512.354155099	73	70	0.958904110
case_009	17	24	39.552412841	1.648017202	0	0	24	24	1.648017202	-1.648017202	120	106	0.883333333	24	15	0.625000000	106	31	0.292452830	106	7726.129582780	7725.383310839	82	77	0.939024390
