id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	225.466444936	9.394435206	0	0	24	24	9.394435206	-9.394435206	120	100	0.833333333	24	0	0.000000000	100	3	0.030000000	100	7594.614053074	7590.104724175	76	36	0.473684211
case_001	18	24	237.613483134	9.900561797	0	0	24	24	9.900561797	-9.900561797	120	100	0.833333333	24	0	0.000000000	100	5	0.050000000	100	7595.566737261	7590.814467598	76	29	0.381578947
case_002	19	24	271.503464862	11.312644369	0	0	24	24	11.312644369	-11.312644369	120	96	0.800000000	24	0	0.000000000	96	0	0.000000000	96	7495.440598479	7489.784276295	72	20	0.277777778
case_003	19	24	242.155743763	10.089822657	0	0	24	24	10.089822657	-10.089822657	120	97	0.808333333	24	0	0.000000000	97	1	0.010309278	97	7521.608513579	7516.615611646	73	24	0.328767123
case_004	15	24	233.909164039	9.746215168	0	0	24	24	9.746215168	-9.746215168	120	97	0.808333333	24	0	0.000000000	97	0	0.000000000	97	7521.063778554	7516.240909192	73	24	0.328767123
case_005	14	24	232.809939856	9.700414161	0	0	24	24	9.700414161	-9.700414161	120	96	0.800000000	24	0	0.000000000	96	1	0.010416667	96	7495.420134020	7490.569926940	72	29	0.402777778
case_006	18	24	222.713275268	9.279719803	0	0	24	24	9.279719803	-9.279719803	120	98	0.816666667	24	0	0.000000000	98	2	0.020408163	98	7546.295055717	7541.749886834	74	27	0.364864865
case_007	14	24	244.793798815	10.199741617	0	0	24	24	10.199741617	-10.199741617	120	119	0.991666667	24	0	0.000000000	119	4	0.033613445	119	7976.513900968	7972.399719475	95	54	0.568421053
case_008	20	24	233.660387107	9.735849463	0	0	24	24	9.735849463	-9.735849463	120	97	0.808333333	24	0	0.000000000	97	0	0.000000000	97	7521.127821846	7516.310081905	73	25	0.342465753
case_009	17	24	232.003456640	9.666810693	0	0	24	24	9.666810693	-9.666810693	120	106	0.883333333	24	1	0.041666667	106	2	0.018867925	106	7730.284711834	7725.907288124	82	35	0.426829268
case_010	26	24	290.349906184	12.097912758	0	0	24	24	12.097912758	-12.097912758	120	96	0.800000000	24	0	0.000000000	96	0	0.000000000	96	7496.397891927	7490.348935548	72	8	0.111111111
case_011	21	24	276.845688576	11.535237024	0	0	24	24	11.535237024	-11.535237024	120	98	0.816666667	24	0	0.000000000	98	0	0.000000000	98	7547.134870965	7541.484958953	74	15	0.202702703
case_012	22	24	258.832715871	10.784696495	0	0	24	24	10.784696495	-10.784696495	120	100	0.833333333	24	0	0.000000000	100	1	0.010000000	100	7595.449695688	7590.273041371	76	27	0.355263158
case_013	22	24	270.652312075	11.277179670	0	0	24	24	11.277179670	-11.277179670	120	97	0.808333333	24	0	0.000000000	97	1	0.010309278	97	7521.831003288	7516.250543245	73	17	0.232876712
case_014	21	24	256.986727011	10.707780292	0	0	24	24	10.707780292	-10.707780292	120	98	0.816666667	24	0	0.000000000	98	1	0.010204082	98	7546.480559087	7541.235932005	74	28	0.378378378
case_015	22	24	281.533605292	11.730566887	0	0	24	24	11.730566887	-11.730566887	120	96	0.800000000	24	0	0.000000000	96	0	0.000000000	96	7496.348225763	7490.482942320	72	11	0.152777778
case_016	19	24	294.761463426	12.281727643	0	0	24	24	12.281727643	-12.281727643	120	97	0.808333333	24	0	0.000000000	97	0	0.000000000	97	7522.238270539	7516.160714592	73	10	0.136986301
case_017	26	24	306.688615241	12.778692302	0	0	24	24	12.778692302	-12.778692302	120	96	0.800000000	24	0	0.000000000	96	0	0.000000000	96	7496.599109916	7490.209763765	72	10	0.138888889
case_018	25	24	302.807154280	12.616964762	0	0	24	24	12.616964762	-12.616964762	120	115	0.958333333	24	0	0.000000000	115	1	0.008695652	115	7905.481057343	7900.214845964	91	42	0.461538462
case_019	19	24	270.878168876	11.286590370	0	0	24	24	11.286590370	-11.286590370	120	98	0.816666667	24	0	0.000000000	98	0	0.000000000	98	7546.213890193	7540.685764298	74	25	0.337837838
case_020	18	24	242.054103320	10.085587638	0	0	24	24	10.085587638	-10.085587638	120	96	0.800000000	24	0	0.000000000	96	1	0.010416667	96	7496.110236919	7491.067443100	72	17	0.236111111
case_021	18	24	222.070574791	9.252940616	0	0	24	24	9.252940616	-9.252940616	120	96	0.800000000	24	0	0.000000000	96	3	0.031250000	96	7495.640092919	7491.013622611	72	28	0.388888889
case_022	16	24	226.706111890	9.446087995	0	0	24	24	9.446087995	-9.446087995	120	100	0.833333333	24	0	0.000000000	100	2	0.020000000	100	7595.074377482	7590.540255244	76	28	0.368421053
case_023	14	24	219.370820818	9.140450867	0	0	24	24	9.140450867	-9.140450867	120	114	0.950000000	24	0	0.000000000	114	2	0.017543860	114	7869.806545522	7865.957934631	93	54	0.580645161
case_024	15	24	232.509389771	9.687891240	0	0	24	24	9.687891240	-9.687891240	120	102	0.850000000	24	0	0.000000000	102	8	0.078431373	102	7641.675177815	7637.116170172	78	41	0.525641026
case_025	20	24	239.483631311	9.978484638	0	0	24	24	9.978484638	-9.978484638	120	97	0.808333333	24	0	0.000000000	97	1	0.010309278	97	7521.351708044	7516.413901213	73	24	0.328767123
case_026	17	24	232.221276282	9.675886512	0	0	24	24	9.675886512	-9.675886512	120	98	0.816666667	24	0	0.000000000	98	4	0.040816327	98	7546.388896183	7541.649686463	74	28	0.378378378
case_027	14	24	220.194925764	9.174788574	0	0	24	24	9.174788574	-9.174788574	120	97	0.808333333	24	2	0.083333333	97	2	0.020618557	97	7521.218724972	7516.678623410	73	29	0.397260274
case_028	16	24	228.698916473	9.529121520	0	0	24	24	9.529121520	-9.529121520	120	97	0.808333333	24	0	0.000000000	97	4	0.041237113	97	7521.414068867	7516.698627290	73	24	0.328767123
case_029	18	24	226.863217820	9.452634076	0	0	24	24	9.452634076	-9.452634076	120	119	0.991666667	24	0	0.000000000	119	4	0.033613445	119	7976.010344897	7972.197517707	95	58	0.610526316
case_030	23	24	284.199239365	11.841634974	0	0	24	24	11.841634974	-11.841634974	120	97	0.808333333	24	0	0.000000000	97	2	0.020618557	97	7522.462884659	7516.603106527	73	11	0.150684932
case_031	22	24	270.643244304	11.276801846	0	0	24	24	11.276801846	-11.276801846	120	97	0.808333333	24	0	0.000000000	97	2	0.020618557	97	7522.055484849	7516.475211771	73	19	0.260273973
case_032	18	24	256.544482198	10.689353425	0	0	24	24	10.689353425	-10.689353425	120	97	0.808333333	24	0	0.000000000	97	1	0.010309278	97	7521.446720739	7516.157143786	73	28	0.383561644
case_033	15	24	235.559029791	9.814959575	0	0	24	24	9.814959575	-9.814959575	120	97	0.808333333	24	0	0.000000000	97	2	0.020618557	97	7521.700278778	7516.843391566	73	28	0.383561644
case_034	22	24	297.619063410	12.400794309	0	0	24	24	12.400794309	-12.400794309	120	97	0.808333333	24	0	0.000000000	97	3	0.030927835	97	7521.614847225	7515.478371690	73	21	0.287671233
case_035	23	24	262.177368790	10.924057033	0	0	24	24	10.924057033	-10.924057033	120	96	0.800000000	24	0	0.000000000	96	2	0.020833333	96	7496.224603667	7490.762575151	72	20	0.277777778
case_036	21	24	269.112541868	11.213022578	0	0	24	24	11.213022578	-11.213022578	120	96	0.800000000	24	0	0.000000000	96	1	0.010416667	96	7496.160219104	7490.553707815	72	18	0.250000000
case_037	18	24	256.776502400	10.699020933	0	0	24	24	10.699020933	-10.699020933	120	97	0.808333333	24	0	0.000000000	97	1	0.010309278	97	7521.653025766	7516.358664892	73	23	0.315068493
case_038	26	24	289.468868248	12.061202844	0	0	24	24	12.061202844	-12.061202844	120	97	0.808333333	24	0	0.000000000	97	1	0.010309278	97	7522.243854412	7516.275424139	73	14	0.191780822
case_039	23	24	265.602947529	11.066789480	0	0	24	24	11.066789480	-11.066789480	120	99	0.825000000	24	0	0.000000000	99	4	0.040404040	99	7570.794526758	7565.428810646	75	32	0.426666667
case_040	21	24	236.178739947	9.840780831	0	0	24	24	9.840780831	-9.840780831	120	99	0.825000000	24	1	0.041666667	99	2	0.020202020	99	7571.244040150	7566.472752475	75	29	0.386666667
case_041	15	24	239.862100740	9.994254198	0	0	24	24	9.994254198	-9.994254198	120	101	0.841666667	24	0	0.000000000	101	0	0.000000000	101	7618.937860345	7614.188115776	77	31	0.402597403
case_042	14	24	232.881840384	9.703410016	0	0	24	24	9.703410016	-9.703410016	120	100	0.833333333	24	0	0.000000000	100	1	0.010000000	100	7595.109492931	7590.451856124	76	30	0.394736842
case_043	18	24	210.761041574	8.781710066	0	0	24	24	8.781710066	-8.781710066	120	100	0.833333333	24	1	0.041666667	100	2	0.020000000	100	7595.022516454	7590.807295622	76	34	0.447368421
case_044	20	24	245.483327531	10.228471980	0	0	24	24	10.228471980	-10.228471980	120	98	0.816666667	24	0	0.000000000	98	1	0.010204082	98	7546.810921321	7541.801057494	74	19	0.256756757
case_045	18	24	242.510322063	10.104596753	0	0	24	24	10.104596753	-10.104596753	120	100	0.833333333	24	0	0.000000000	100	7	0.070000000	100	7594.786840423	7589.936633982	76	27	0.355263158
case_046	19	24	217.101101111	9.045879213	0	0	24	24	9.045879213	-9.045879213	120	99	0.825000000	24	0	0.000000000	99	2	0.020202020	99	7518.515814470	7514.129933639	78	41	0.525641026
case_047	16	24	227.824946813	9.492706117	0	0	24	24	9.492706117	-9.492706117	120	100	0.833333333	24	0	0.000000000	100	4	0.040000000	100	7595.068901532	7590.512402596	76	35	0.460526316
case_048	18	24	246.649664987	10.277069374	0	0	24	24	10.277069374	-10.277069374	120	96	0.800000000	24	0	0.000000000	96	4	0.041666667	96	7495.262613622	7490.124078935	72	26	0.361111111
case_049	18	24	228.663747190	9.527656133	0	0	24	24	9.527656133	-9.527656133	120	96	0.800000000	24	0	0.000000000	96	0	0.000000000	96	7495.314452348	7490.550624281	72	28	0.388888889
case_050	27	24	289.504074757	12.062669782	0	0	24	24	12.062669782	-12.062669782	120	97	0.808333333	24	0	0.000000000	97	0	0.000000000	97	7521.749242578	7515.780086398	73	18	0.246575342
case_051	21	24	284.046728532	11.835280355	0	0	24	24	11.835280355	-11.835280355	120	120	1.000000000	24	0	0.000000000	120	1	0.008333333	120	7991.699642024	7986.965529882	96	56	0.583333333
case_052	19	24	262.145100544	10.922712523	0	0	24	24	10.922712523	-10.922712523	120	119	0.991666667	24	0	0.000000000	119	4	0.033613445	119	7947.116823201	7942.711023192	98	48	0.489795918
case_053	22	24	247.134377273	10.297265720	0	0	24	24	10.297265720	-10.297265720	120	120	1.000000000	24	1	0.041666667	120	4	0.033333333	120	7992.791287610	7988.672381322	96	47	0.489583333
case_054	24	24	272.556061845	11.356502577	0	0	24	24	11.356502577	-11.356502577	120	96	0.800000000	24	0	0.000000000	96	1	0.010416667	96	7496.068382713	7490.390131425	72	15	0.208333333
case_055	25	24	299.360838156	12.473368256	0	0	24	24	12.473368256	-12.473368256	120	96	0.800000000	24	0	0.000000000	96	0	0.000000000	96	7496.761835263	7490.525151135	72	8	0.111111111
case_056	18	24	256.027310596	10.667804608	0	0	24	24	10.667804608	-10.667804608	120	97	0.808333333	24	0	0.000000000	97	1	0.010309278	97	7520.786524709	7515.507611088	73	29	0.397260274
case_057	22	24	269.816617991	11.242359083	0	0	24	24	11.242359083	-11.242359083	120	98	0.816666667	24	0	0.000000000	98	1	0.010204082	98	7546.787152686	7541.280691094	74	18	0.243243243
case_058	25	24	269.811070854	11.242127952	0	0	24	24	11.242127952	-11.242127952	120	97	0.808333333	24	0	0.000000000	97	3	0.030927835	97	7521.535430259	7515.972315397	73	26	0.356164384
case_059	23	24	278.829057940	11.617877414	0	0	24	24	11.617877414	-11.617877414	120	96	0.800000000	24	1	0.041666667	96	2	0.020833333	96	7496.697678789	7490.888740082	72	11	0.152777778
case_060	17	24	225.638964659	9.401623527	0	0	24	24	9.401623527	-9.401623527	120	97	0.808333333	24	0	0.000000000	97	2	0.020618557	97	7521.585507605	7516.933157818	73	27	0.369863014
case_061	16	24	244.450713227	10.185446384	0	0	24	24	10.185446384	-10.185446384	120	97	0.808333333	24	0	0.000000000	97	2	0.020618557	97	7520.873538383	7515.833317492	73	25	0.342465753
