id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	238.294244704	9.928926863	0	0	24	24	9.928926863	-9.928926863	120	100	0.833333333	24	0	0.000000000	100	0	0.000000000	100	7594.655435442	7589.889550548	76	34	0.447368421
case_001	18	24	240.508830346	10.021201264	0	0	24	24	10.021201264	-10.021201264	120	100	0.833333333	24	0	0.000000000	100	2	0.020000000	100	7595.449076351	7590.638899744	76	29	0.381578947
case_002	19	24	274.907495313	11.454478971	0	0	24	24	11.454478971	-11.454478971	120	96	0.800000000	24	0	0.000000000	96	0	0.000000000	96	7495.424742432	7489.697502946	72	19	0.263888889
case_003	19	24	246.742798716	10.280949947	0	0	24	24	10.280949947	-10.280949947	120	97	0.808333333	24	0	0.000000000	97	1	0.010309278	97	7521.546816626	7516.459336241	73	21	0.287671233
case_004	15	24	234.632260346	9.776344181	0	0	24	24	9.776344181	-9.776344181	120	97	0.808333333	24	0	0.000000000	97	1	0.010309278	97	7520.977239131	7516.139460567	73	24	0.328767123
case_005	14	24	235.007844862	9.791993536	0	0	24	24	9.791993536	-9.791993536	120	96	0.800000000	24	0	0.000000000	96	1	0.010416667	96	7495.367150755	7490.471153987	72	28	0.388888889
case_006	18	24	226.055277555	9.418969898	0	0	24	24	9.418969898	-9.418969898	120	98	0.816666667	24	0	0.000000000	98	2	0.020408163	98	7546.137308571	7541.523935560	74	27	0.364864865
case_007	14	24	251.514872355	10.479786348	0	0	24	24	10.479786348	-10.479786348	120	119	0.991666667	24	0	0.000000000	119	4	0.033613445	119	7976.502474270	7972.275333558	95	51	0.536842105
case_008	20	24	234.833373633	9.784723901	0	0	24	24	9.784723901	-9.784723901	120	97	0.808333333	24	0	0.000000000	97	0	0.000000000	97	7521.073653454	7516.231728225	73	26	0.356164384
case_009	17	24	233.119842414	9.713326767	0	0	24	24	9.713326767	-9.713326767	120	106	0.883333333	24	1	0.041666667	106	2	0.018867925	106	7730.232642188	7725.834154595	82	37	0.451219512
