id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	35.390553147	1.474606381	0	0	24	24	1.474606381	-1.474606381	120	100	0.833333333	24	16	0.666666667	100	34	0.340000000	100	7587.927112579	7587.219301516	76	68	0.894736842
case_001	18	24	25.222283371	1.050928474	0	0	24	24	1.050928474	-1.050928474	120	100	0.833333333	24	17	0.708333333	100	23	0.230000000	100	7585.225527874	7584.721082207	76	75	0.986842105
case_002	19	24	37.094490408	1.545603767	0	0	24	24	1.545603767	-1.545603767	120	96	0.800000000	24	15	0.625000000	96	20	0.208333333	96	7487.938841201	7487.166039318	72	71	0.986111111
case_003	19	24	38.302320604	1.595930025	0	0	24	24	1.595930025	-1.595930025	120	97	0.808333333	24	13	0.541666667	97	23	0.237113402	97	7513.392320903	7512.602582334	73	73	1.000000000
case_004	15	24	49.076917126	2.044871547	0	0	24	24	2.044871547	-2.044871547	120	97	0.808333333	24	12	0.500000000	97	21	0.216494845	97	7514.297644377	7513.285749179	73	71	0.972602740
case_005	14	24	22.352457861	0.931352411	0	0	24	24	0.931352411	-0.931352411	120	96	0.800000000	24	20	0.833333333	96	21	0.218750000	96	7485.720840626	7485.255164420	72	71	0.986111111
case_006	18	24	50.763054349	2.115127265	0	0	24	24	2.115127265	-2.115127265	120	98	0.816666667	24	13	0.541666667	98	23	0.234693878	98	7539.461367420	7538.425386719	74	72	0.972972973
case_007	14	24	21.728935376	0.905372307	0	0	24	24	0.905372307	-0.905372307	120	119	0.991666667	24	20	0.833333333	119	75	0.630252101	119	7977.369616794	7977.004424603	95	89	0.936842105
case_008	20	24	42.092220869	1.753842536	0	0	24	24	1.753842536	-1.753842536	120	97	0.808333333	24	15	0.625000000	97	21	0.216494845	97	7513.029441114	7512.161560271	73	70	0.958904110
case_009	17	24	37.035424669	1.543142695	0	0	24	24	1.543142695	-1.543142695	120	106	0.883333333	24	14	0.583333333	106	32	0.301886792	106	7725.923147981	7725.224366383	82	77	0.939024390
case_010	26	24	44.967931763	1.873663823	0	0	24	24	1.873663823	-1.873663823	120	96	0.800000000	24	14	0.583333333	96	20	0.208333333	96	7488.185765574	7487.248933662	72	70	0.972222222
case_011	21	24	51.412356502	2.142181521	0	0	24	24	2.142181521	-2.142181521	120	98	0.816666667	24	13	0.541666667	98	19	0.193877551	98	7539.731952971	7538.682721206	74	72	0.972972973
case_012	22	24	46.799845718	1.949993572	0	0	24	24	1.949993572	-1.949993572	120	100	0.833333333	24	16	0.666666667	100	19	0.190000000	100	7588.371831117	7587.435834202	76	74	0.973684211
case_013	22	24	44.925368552	1.871890356	0	0	24	24	1.871890356	-1.871890356	120	97	0.808333333	24	16	0.666666667	97	20	0.206185567	97	7512.729143409	7511.802847150	73	69	0.945205479
case_014	21	24	54.545022179	2.272709257	0	0	24	24	2.272709257	-2.272709257	120	98	0.816666667	24	14	0.583333333	98	18	0.183673469	98	7540.772408169	7539.659244451	74	72	0.972972973
case_015	22	24	35.128613853	1.463692244	0	0	24	24	1.463692244	-1.463692244	120	96	0.800000000	24	19	0.791666667	96	20	0.208333333	96	7486.214471548	7485.482625426	72	70	0.972222222
case_016	19	24	36.904682881	1.537695120	0	0	24	24	1.537695120	-1.537695120	120	97	0.808333333	24	15	0.625000000	97	23	0.237113402	97	7512.842149591	7512.081228294	73	71	0.972602740
case_017	26	24	54.455490702	2.268978779	0	0	24	24	2.268978779	-2.268978779	120	96	0.800000000	24	14	0.583333333	96	17	0.177083333	96	7489.751835205	7488.617345815	72	70	0.972222222
case_018	25	24	38.682778216	1.611782426	0	0	24	24	1.611782426	-1.611782426	120	115	0.958333333	24	14	0.583333333	115	56	0.486956522	115	7905.210379331	7904.537635362	91	80	0.879120879
case_019	19	24	46.850525501	1.952105229	0	0	24	24	1.952105229	-1.952105229	120	98	0.816666667	24	17	0.708333333	98	18	0.183673469	98	7540.956940416	7540.000807242	74	71	0.959459459
case_020	18	24	37.593649189	1.566402050	0	0	24	24	1.566402050	-1.566402050	120	96	0.800000000	24	14	0.583333333	96	20	0.208333333	96	7486.954513405	7486.171312380	72	71	0.986111111
case_021	18	24	10.902919253	0.454288302	0	0	24	24	0.454288302	-0.454288302	120	96	0.800000000	24	21	0.875000000	96	22	0.229166667	96	7484.189766169	7483.962622018	72	72	1.000000000
case_022	16	24	42.351022723	1.764625947	0	0	24	24	1.764625947	-1.764625947	120	100	0.833333333	24	13	0.541666667	100	24	0.240000000	100	7587.320061503	7586.473041049	76	73	0.960526316
case_023	14	24	41.631286992	1.734636958	0	0	24	24	1.734636958	-1.734636958	120	114	0.950000000	24	14	0.583333333	114	42	0.368421053	114	7867.854150395	7867.123776939	93	86	0.924731183
case_024	15	24	27.594027952	1.149751165	0	0	24	24	1.149751165	-1.149751165	120	102	0.850000000	24	17	0.708333333	102	25	0.245098039	102	7634.398052996	7633.856993624	78	76	0.974358974
case_025	20	24	25.183246951	1.049301956	0	0	24	24	1.049301956	-1.049301956	120	97	0.808333333	24	18	0.750000000	97	24	0.247422680	97	7512.350702145	7511.831459940	73	70	0.958904110
case_026	17	24	35.632953263	1.484706386	0	0	24	24	1.484706386	-1.484706386	120	98	0.816666667	24	14	0.583333333	98	21	0.214285714	98	7538.086534446	7537.359331319	74	73	0.986486486
case_027	14	24	47.320852075	1.971702170	0	0	24	24	1.971702170	-1.971702170	120	97	0.808333333	24	13	0.541666667	97	22	0.226804124	97	7511.529565966	7510.553878294	73	71	0.972602740
case_028	16	24	47.525208798	1.980217033	0	0	24	24	1.980217033	-1.980217033	120	97	0.808333333	24	11	0.458333333	97	20	0.206185567	97	7514.145483227	7513.165582015	73	71	0.972602740
case_029	18	24	59.411505145	2.475479381	0	0	24	24	2.475479381	-2.475479381	120	119	0.991666667	24	9	0.375000000	119	61	0.512605042	119	7978.123449180	7977.124936489	95	77	0.810526316
case_030	23	24	48.010759368	2.000448307	0	0	24	24	2.000448307	-2.000448307	120	97	0.808333333	24	16	0.666666667	97	20	0.206185567	97	7513.024016594	7512.034104030	73	72	0.986301370
case_031	22	24	35.148999944	1.464541664	0	0	24	24	1.464541664	-1.464541664	120	97	0.808333333	24	19	0.791666667	97	19	0.195876289	97	7514.141836385	7513.417114737	73	72	0.986301370
case_032	18	24	45.946285347	1.914428556	0	0	24	24	1.914428556	-1.914428556	120	97	0.808333333	24	14	0.583333333	97	22	0.226804124	97	7513.106621320	7512.159275230	73	69	0.945205479
case_033	15	24	23.948325480	0.997846895	0	0	24	24	0.997846895	-0.997846895	120	97	0.808333333	24	18	0.750000000	97	22	0.226804124	97	7512.049780870	7511.556000963	73	71	0.972602740
case_034	22	24	56.620267261	2.359177803	0	0	24	24	2.359177803	-2.359177803	120	97	0.808333333	24	10	0.416666667	97	19	0.195876289	97	7514.821139107	7513.653710916	73	70	0.958904110
case_035	23	24	50.859792304	2.119158013	0	0	24	24	2.119158013	-2.119158013	120	96	0.800000000	24	16	0.666666667	96	19	0.197916667	96	7488.925321478	7487.865742472	72	68	0.944444444
case_036	21	24	47.489359676	1.978723320	0	0	24	24	1.978723320	-1.978723320	120	96	0.800000000	24	12	0.500000000	96	19	0.197916667	96	7488.427990733	7487.438629073	72	69	0.958333333
case_037	18	24	42.431253864	1.767968911	0	0	24	24	1.767968911	-1.767968911	120	97	0.808333333	24	13	0.541666667	97	20	0.206185567	97	7514.032026857	7513.157155643	73	70	0.958904110
case_038	26	24	39.165463248	1.631894302	0	0	24	24	1.631894302	-1.631894302	120	97	0.808333333	24	15	0.625000000	97	23	0.237113402	97	7512.521940914	7511.714405589	73	69	0.945205479
case_039	23	24	45.133460690	1.880560862	0	0	24	24	1.880560862	-1.880560862	120	99	0.825000000	24	15	0.625000000	99	20	0.202020202	99	7564.073074961	7563.161287876	75	72	0.960000000
case_040	21	24	56.090261091	2.337094212	0	0	24	24	2.337094212	-2.337094212	120	99	0.825000000	24	9	0.375000000	99	19	0.191919192	99	7565.199860443	7564.066723855	75	72	0.960000000
case_041	15	24	53.146101414	2.214420892	0	0	24	24	2.214420892	-2.214420892	120	101	0.841666667	24	11	0.458333333	101	22	0.217821782	101	7613.113178088	7612.060780040	77	76	0.987012987
case_042	14	24	44.620066071	1.859169420	0	0	24	24	1.859169420	-1.859169420	120	100	0.833333333	24	17	0.708333333	100	19	0.190000000	100	7588.642818724	7587.750417403	76	72	0.947368421
case_043	18	24	12.351960896	0.514665037	0	0	24	24	0.514665037	-0.514665037	120	100	0.833333333	24	21	0.875000000	100	25	0.250000000	100	7584.996884058	7584.749844840	76	75	0.986842105
case_044	20	24	30.663269709	1.277636238	0	0	24	24	1.277636238	-1.277636238	120	98	0.816666667	24	17	0.708333333	98	20	0.204081633	98	7539.556074260	7538.930293245	74	70	0.945945946
case_045	18	24	58.831058899	2.451294121	0	0	24	24	2.451294121	-2.451294121	120	100	0.833333333	24	13	0.541666667	100	20	0.200000000	100	7587.381380295	7586.204759117	76	74	0.973684211
case_046	19	24	29.677731666	1.236572153	0	0	24	24	1.236572153	-1.236572153	120	99	0.825000000	24	16	0.666666667	99	24	0.242424242	99	7512.074816458	7511.475266323	78	74	0.948717949
case_047	16	24	28.080200497	1.170008354	0	0	24	24	1.170008354	-1.170008354	120	100	0.833333333	24	15	0.625000000	100	24	0.240000000	100	7588.162800604	7587.601196594	76	74	0.973684211
case_048	18	24	30.286585440	1.261941060	0	0	24	24	1.261941060	-1.261941060	120	96	0.800000000	24	16	0.666666667	96	21	0.218750000	96	7487.390518623	7486.759548093	72	72	1.000000000
case_049	18	24	49.578381207	2.065765884	0	0	24	24	2.065765884	-2.065765884	120	96	0.800000000	24	12	0.500000000	96	18	0.187500000	96	7487.944504516	7486.911621574	72	71	0.986111111
case_050	27	24	79.386746439	3.307781102	0	0	24	24	3.307781102	-3.307781102	120	97	0.808333333	24	11	0.458333333	97	16	0.164948454	97	7516.670309524	7515.033469392	73	69	0.945205479
case_051	21	24	25.810030450	1.075417935	0	0	24	24	1.075417935	-1.075417935	120	120	1.000000000	24	17	0.708333333	120	57	0.475000000	120	7992.175419228	7991.745252053	96	88	0.916666667
case_052	19	24	49.369484881	2.057061870	0	0	24	24	2.057061870	-2.057061870	120	119	0.991666667	24	17	0.708333333	119	62	0.521008403	119	7947.824986324	7946.995247082	98	86	0.877551020
case_053	22	24	34.300068805	1.429169534	0	0	24	24	1.429169534	-1.429169534	120	120	1.000000000	24	14	0.583333333	120	59	0.491666667	120	7993.791923663	7993.220255850	96	85	0.885416667
case_054	24	24	52.444816946	2.185200706	0	0	24	24	2.185200706	-2.185200706	120	96	0.800000000	24	15	0.625000000	96	18	0.187500000	96	7489.274379396	7488.181779043	72	70	0.972222222
case_055	25	24	53.178786278	2.215782762	0	0	24	24	2.215782762	-2.215782762	120	96	0.800000000	24	14	0.583333333	96	21	0.218750000	96	7489.194128551	7488.086237170	72	68	0.944444444
case_056	18	24	39.865727274	1.661071970	0	0	24	24	1.661071970	-1.661071970	120	97	0.808333333	24	16	0.666666667	97	21	0.216494845	97	7514.240999186	7513.419025428	73	70	0.958904110
