id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	389.248726955	16.218696956	0	0	24	24	16.218696956	-16.218696956	120	100	0.833333333	24	0	0.000000000	100	7	0.070000000	100	7591.249210780	7583.464236241	63	23	0.365079365
case_001	18	24	387.217778224	16.134074093	1	1	24	24	16.134074093	-16.134074093	120	100	0.833333333	24	1	0.041666667	100	5	0.050000000	100	7590.196380348	7582.452024784	64	35	0.546875000
case_002	19	24	396.487800434	16.520325018	0	0	24	24	16.520325018	-16.520325018	120	96	0.800000000	24	0	0.000000000	96	5	0.052083333	96	7490.883949278	7482.623786769	60	26	0.433333333
case_003	19	24	392.721335144	16.363388964	1	1	24	24	16.363388964	-16.363388964	120	97	0.808333333	24	1	0.041666667	97	7	0.072164948	97	7516.649015928	7508.551668812	61	25	0.409836066
case_004	15	24	385.738869616	16.072452901	1	1	24	24	16.072452901	-16.072452901	120	97	0.808333333	24	1	0.041666667	97	6	0.061855670	97	7517.100353197	7509.146974442	58	25	0.431034483
case_005	14	24	394.404592679	16.433524695	1	1	24	24	16.433524695	-16.433524695	120	96	0.800000000	24	1	0.041666667	96	3	0.031250000	96	7490.664856578	7482.448094231	57	26	0.456140351
case_006	18	24	370.841803787	15.451741824	1	1	24	24	15.451741824	-15.451741824	120	98	0.816666667	24	1	0.041666667	98	9	0.091836735	98	7542.003512659	7534.435312582	53	30	0.566037736
case_007	14	24	356.299144156	14.845797673	0	0	24	24	14.845797673	-14.845797673	120	119	0.991666667	24	0	0.000000000	119	1	0.008403361	119	7972.655121342	7966.666900432	63	40	0.634920635
case_008	20	24	363.913707134	15.163071131	1	1	24	24	15.163071131	-15.163071131	120	97	0.808333333	24	1	0.041666667	97	6	0.061855670	97	7516.980865536	7509.477490131	52	28	0.538461538
case_009	17	24	392.041514226	16.335063093	1	1	24	24	16.335063093	-16.335063093	120	106	0.883333333	24	1	0.041666667	106	7	0.066037736	106	7725.782822042	7718.385812340	65	38	0.584615385
case_010	26	24	439.474037106	18.311418213	0	0	24	24	18.311418213	-18.311418213	120	96	0.800000000	24	0	0.000000000	96	3	0.031250000	96	7489.897625477	7480.741916370	69	30	0.434782609
case_011	21	24	417.079214968	17.378300624	1	1	24	24	17.378300624	-17.378300624	120	98	0.816666667	24	1	0.041666667	98	6	0.061224490	98	7541.044148848	7532.532328135	62	34	0.548387097
case_012	22	24	382.162360367	15.923431682	0	0	24	24	15.923431682	-15.923431682	120	100	0.833333333	24	0	0.000000000	100	9	0.090000000	100	7590.093532846	7582.450285638	60	39	0.650000000
case_013	22	24	410.010107262	17.083754469	0	0	24	24	17.083754469	-17.083754469	120	97	0.808333333	24	0	0.000000000	97	8	0.082474227	97	7517.051857202	7508.598040558	61	27	0.442622951
case_014	21	24	417.243540586	17.385147524	0	0	24	24	17.385147524	-17.385147524	120	98	0.816666667	24	0	0.000000000	98	5	0.051020408	98	7541.292846155	7532.777671858	61	37	0.606557377
case_015	22	24	380.679176872	15.861632370	1	1	24	24	15.861632370	-15.861632370	120	96	0.800000000	24	1	0.041666667	96	7	0.072916667	96	7489.955258046	7482.024441861	57	40	0.701754386
case_016	19	24	400.875289466	16.703137061	1	1	24	24	16.703137061	-16.703137061	120	97	0.808333333	24	1	0.041666667	97	10	0.103092784	97	7516.686215235	7508.420745349	61	34	0.557377049
case_017	26	24	452.562079412	18.856753309	0	0	24	24	18.856753309	-18.856753309	120	96	0.800000000	24	0	0.000000000	96	8	0.083333333	96	7490.399074471	7480.970697817	63	23	0.365079365
case_018	25	24	414.261612912	17.260900538	1	1	24	24	17.260900538	-17.260900538	120	115	0.958333333	24	1	0.041666667	115	3	0.026086957	115	7901.781101802	7894.576552012	87	48	0.551724138
