id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	385.062152137	16.044256339	0	0	24	24	16.044256339	-16.044256339	120	100	0.833333333	24	0	0.000000000	100	3	0.030000000	100	7590.755336436	7583.054093393	72	40	0.555555556
case_001	18	24	375.079811788	15.628325491	1	1	24	24	15.628325491	-15.628325491	120	100	0.833333333	24	1	0.041666667	100	6	0.060000000	100	7590.276580813	7582.774984577	67	37	0.552238806
case_002	19	24	404.320855014	16.846702292	0	0	24	24	16.846702292	-16.846702292	120	96	0.800000000	24	0	0.000000000	96	4	0.041666667	96	7490.605927612	7482.182576466	60	29	0.483333333
case_003	19	24	421.897635991	17.579068166	1	1	24	24	17.579068166	-17.579068166	120	97	0.808333333	24	1	0.041666667	97	6	0.061855670	97	7516.715253449	7508.016333119	61	23	0.377049180
case_004	15	24	422.779274259	17.615803094	1	1	24	24	17.615803094	-17.615803094	120	97	0.808333333	24	1	0.041666667	97	3	0.030927835	97	7515.863422260	7507.146323822	67	38	0.567164179
case_005	14	24	382.263237803	15.927634908	1	1	24	24	15.927634908	-15.927634908	120	96	0.800000000	24	1	0.041666667	96	5	0.052083333	96	7491.053481153	7483.089663698	60	28	0.466666667
case_006	18	24	401.905071757	16.746044657	1	1	24	24	16.746044657	-16.746044657	120	98	0.816666667	24	1	0.041666667	98	4	0.040816327	98	7541.261834993	7533.059690672	71	37	0.521126761
case_007	14	24	383.359605402	15.973316892	0	0	24	24	15.973316892	-15.973316892	120	119	0.991666667	24	0	0.000000000	119	1	0.008403361	119	7972.527317817	7966.084299238	75	37	0.493333333
case_008	20	24	382.917868860	15.954911202	1	1	24	24	15.954911202	-15.954911202	120	97	0.808333333	24	1	0.041666667	97	10	0.103092784	97	7516.479211271	7508.583997480	58	33	0.568965517
case_009	17	24	473.226927778	19.717788657	1	1	24	24	19.717788657	-19.717788657	120	106	0.883333333	24	1	0.041666667	106	4	0.037735849	106	7725.693160236	7716.764350278	74	27	0.364864865
case_010	26	24	392.730172685	16.363757195	0	0	24	24	16.363757195	-16.363757195	120	96	0.800000000	24	0	0.000000000	96	7	0.072916667	96	7490.626398482	7482.444519884	60	32	0.533333333
case_011	21	24	349.305482702	14.554395113	1	1	24	24	14.554395113	-14.554395113	120	98	0.816666667	24	1	0.041666667	98	3	0.030612245	98	7540.743908156	7533.615224835	71	55	0.774647887
case_012	22	24	399.095601449	16.628983394	0	0	24	24	16.628983394	-16.628983394	120	100	0.833333333	24	0	0.000000000	100	8	0.080000000	100	7590.808065433	7582.826153404	58	25	0.431034483
case_013	22	24	411.934265246	17.163927719	0	0	24	24	17.163927719	-17.163927719	120	97	0.808333333	24	0	0.000000000	97	9	0.092783505	97	7516.554695092	7508.061205086	64	31	0.484375000
case_014	21	24	390.639108160	16.276629507	0	0	24	24	16.276629507	-16.276629507	120	98	0.816666667	24	0	0.000000000	98	12	0.122448980	98	7542.126133169	7534.153906472	59	30	0.508474576
case_015	22	24	418.014472368	17.417269682	1	1	24	24	17.417269682	-17.417269682	120	96	0.800000000	24	1	0.041666667	96	2	0.020833333	96	7489.727230080	7481.018595239	69	40	0.579710145
case_016	19	24	408.402531540	17.016772147	1	1	24	24	17.016772147	-17.016772147	120	97	0.808333333	24	1	0.041666667	97	11	0.113402062	97	7516.217942808	7507.797272054	55	30	0.545454545
case_017	26	24	375.558658607	15.648277442	0	0	24	24	15.648277442	-15.648277442	120	96	0.800000000	24	0	0.000000000	96	8	0.083333333	96	7491.122079861	7483.297941140	57	27	0.473684211
case_018	25	24	449.602756795	18.733448200	1	1	24	24	18.733448200	-18.733448200	120	115	0.958333333	24	1	0.041666667	115	5	0.043478261	115	7902.472042607	7894.652864228	72	21	0.291666667
case_019	19	24	403.981799320	16.832574972	1	1	24	24	16.832574972	-16.832574972	120	98	0.816666667	24	1	0.041666667	98	4	0.040816327	98	7540.873650022	7532.629123505	65	41	0.630769231
case_020	18	24	408.620167550	17.025840315	0	0	24	24	17.025840315	-17.025840315	120	96	0.800000000	24	0	0.000000000	96	7	0.072916667	96	7490.539047836	7482.026127679	63	34	0.539682540
case_021	18	24	402.789448688	16.782893695	1	1	24	24	16.782893695	-16.782893695	120	96	0.800000000	24	1	0.041666667	96	11	0.114583333	96	7490.334260294	7481.942813446	57	30	0.526315789
case_022	16	24	402.453932116	16.768913838	1	1	24	24	16.768913838	-16.768913838	120	100	0.833333333	24	1	0.041666667	100	5	0.050000000	100	7589.053165723	7581.004087081	67	40	0.597014925
case_023	14	24	366.087192672	15.253633028	0	0	24	24	15.253633028	-15.253633028	120	114	0.950000000	24	0	0.000000000	114	6	0.052631579	114	7866.680392675	7860.257810348	63	36	0.571428571
case_024	15	24	416.292952833	17.345539701	1	1	24	24	17.345539701	-17.345539701	120	102	0.850000000	24	1	0.041666667	102	6	0.058823529	102	7637.566265831	7629.403658913	72	31	0.430555556
case_025	20	24	388.588183216	16.191174301	1	1	24	24	16.191174301	-16.191174301	120	97	0.808333333	24	1	0.041666667	97	11	0.113402062	97	7516.716086240	7508.703958751	58	36	0.620689655
case_026	17	24	346.518891902	14.438287163	1	1	24	24	14.438287163	-14.438287163	120	98	0.816666667	24	1	0.041666667	98	3	0.030612245	98	7541.358873059	7534.287058939	58	35	0.603448276
case_027	14	24	361.301114640	15.054213110	1	1	24	24	15.054213110	-15.054213110	120	97	0.808333333	24	1	0.041666667	97	10	0.103092784	97	7516.836526033	7509.387018514	52	32	0.615384615
case_028	16	24	380.353445051	15.848060210	1	1	24	24	15.848060210	-15.848060210	120	97	0.808333333	24	1	0.041666667	97	11	0.113402062	97	7516.773627222	7508.931288148	58	33	0.568965517
case_029	18	24	373.792305324	15.574679389	0	0	24	24	15.574679389	-15.574679389	120	119	0.991666667	24	0	0.000000000	119	2	0.016806723	119	7972.355178771	7966.072955152	79	46	0.582278481
case_030	23	24	431.874352452	17.994764686	0	0	24	24	17.994764686	-17.994764686	120	97	0.808333333	24	0	0.000000000	97	11	0.113402062	97	7516.411907866	7507.507282043	61	29	0.475409836
case_031	22	24	387.892372386	16.162182183	1	1	24	24	16.162182183	-16.162182183	120	97	0.808333333	24	1	0.041666667	97	11	0.113402062	97	7515.824064621	7507.826283747	61	41	0.672131148
case_032	18	24	397.903862716	16.579327613	0	0	24	24	16.579327613	-16.579327613	120	97	0.808333333	24	0	0.000000000	97	4	0.041237113	97	7516.115906227	7507.911702873	63	34	0.539682540
case_033	15	24	387.121681220	16.130070051	0	0	24	24	16.130070051	-16.130070051	120	97	0.808333333	24	0	0.000000000	97	9	0.092783505	97	7517.000410370	7509.018520036	58	24	0.413793103
case_034	22	24	397.326273995	16.555261416	1	1	24	24	16.555261416	-16.555261416	120	97	0.808333333	24	1	0.041666667	97	8	0.082474227	97	7516.002385374	7507.810091065	61	33	0.540983607
case_035	23	24	380.448492884	15.852020537	1	1	24	24	15.852020537	-15.852020537	120	96	0.800000000	24	1	0.041666667	96	9	0.093750000	96	7490.480024594	7482.554014325	57	35	0.614035088
case_036	21	24	398.586419797	16.607767492	1	1	24	24	16.607767492	-16.607767492	120	96	0.800000000	24	1	0.041666667	96	4	0.041666667	96	7490.124055295	7481.820171549	63	36	0.571428571
case_037	18	24	395.161517031	16.465063210	0	0	24	24	16.465063210	-16.465063210	120	97	0.808333333	24	0	0.000000000	97	11	0.113402062	97	7516.977531504	7508.829871359	58	30	0.517241379
case_038	26	24	440.399126264	18.349963594	0	0	24	24	18.349963594	-18.349963594	120	97	0.808333333	24	0	0.000000000	97	3	0.030927835	97	7516.381338541	7507.300944185	70	28	0.400000000
case_039	23	24	407.584219383	16.982675808	0	0	24	24	16.982675808	-16.982675808	120	99	0.825000000	24	0	0.000000000	99	7	0.070707071	99	7566.195667567	7557.961642933	66	33	0.500000000
case_040	21	24	401.215679271	16.717319970	1	1	24	24	16.717319970	-16.717319970	120	99	0.825000000	24	1	0.041666667	99	7	0.070707071	99	7566.144744841	7558.039377583	66	31	0.469696970
case_041	15	24	396.281392366	16.511724682	1	1	24	24	16.511724682	-16.511724682	120	101	0.841666667	24	1	0.041666667	101	3	0.029702970	101	7613.626968122	7605.779811837	67	36	0.537313433
case_042	14	24	380.294391249	15.845599635	1	1	24	24	15.845599635	-15.845599635	120	100	0.833333333	24	1	0.041666667	100	9	0.090000000	100	7590.811915628	7583.206027803	64	40	0.625000000
case_043	18	24	338.805834213	14.116909759	1	1	24	24	14.116909759	-14.116909759	120	100	0.833333333	24	1	0.041666667	100	7	0.070000000	100	7590.047435140	7583.271318456	60	40	0.666666667
case_044	20	24	384.308124405	16.012838517	0	0	24	24	16.012838517	-16.012838517	120	98	0.816666667	24	0	0.000000000	98	10	0.102040816	98	7541.873682652	7534.030659705	62	38	0.612903226
case_045	18	24	383.968139834	15.998672493	1	1	24	24	15.998672493	-15.998672493	120	100	0.833333333	24	1	0.041666667	100	4	0.040000000	100	7589.927771481	7582.248408684	61	33	0.540983607
case_046	19	24	410.556636271	17.106526511	0	0	24	24	17.106526511	-17.106526511	120	99	0.825000000	24	0	0.000000000	99	9	0.090909091	99	7514.651856102	7506.357782642	66	30	0.454545455
case_047	16	24	341.868453027	14.244518876	0	0	24	24	14.244518876	-14.244518876	120	100	0.833333333	24	1	0.041666667	100	5	0.050000000	100	7589.743097892	7582.905728832	56	36	0.642857143
case_048	18	24	381.783115587	15.907629816	1	1	24	24	15.907629816	-15.907629816	120	96	0.800000000	24	1	0.041666667	96	2	0.020833333	96	7489.842905765	7481.889090857	66	38	0.575757576
case_049	18	24	408.177781385	17.007407558	1	1	24	24	17.007407558	-17.007407558	120	96	0.800000000	24	1	0.041666667	96	8	0.083333333	96	7490.532563521	7482.028859742	60	27	0.450000000
