id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	9.775822087	0.407325920	0	0	24	24	0.407325920	-0.407325920	120	100	0.833333333	24	19	0.791666667	100	34	0.340000000	100	7584.648082033	7584.452565591	76	73	0.960526316
case_001	18	24	5.916882662	0.246536778	1	18	24	24	0.246536778	-0.246536778	120	100	0.833333333	24	22	0.916666667	100	27	0.270000000	100	7581.770921138	7581.652583484	76	76	1.000000000
case_002	19	24	7.119654797	0.296652283	0	0	24	24	0.296652283	-0.296652283	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7479.977209714	7479.828883572	72	72	1.000000000
case_003	19	24	8.331124552	0.347130190	1	13	24	24	0.347130190	-0.347130190	120	97	0.808333333	24	23	0.958333333	97	24	0.247422680	97	7508.764270779	7508.592495015	73	73	1.000000000
case_004	15	24	17.507229621	0.729467901	1	2	24	24	0.729467901	-0.729467901	120	97	0.808333333	24	15	0.625000000	97	26	0.268041237	97	7509.264729348	7508.903755541	73	73	1.000000000
case_005	14	24	1.292050800	0.053835450	1	24	24	24	0.053835450	-0.053835450	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7479.548035414	7479.521117689	72	72	1.000000000
case_006	18	24	11.311553473	0.471314728	1	4	24	24	0.471314728	-0.471314728	120	98	0.816666667	24	20	0.833333333	98	27	0.275510204	98	7532.166585064	7531.935737033	74	74	1.000000000
case_007	14	24	12.036396486	0.501516520	0	0	24	24	0.501516520	-0.501516520	120	119	0.991666667	24	22	0.916666667	119	95	0.798319328	119	7976.916073441	7976.713781063	95	93	0.978947368
case_008	20	24	7.645314220	0.318554759	1	12	24	24	0.318554759	-0.318554759	120	97	0.808333333	24	21	0.875000000	97	25	0.257731959	97	7506.837013099	7506.679377754	73	73	1.000000000
case_009	17	24	5.772089619	0.240503734	1	11	24	24	0.240503734	-0.240503734	120	106	0.883333333	24	22	0.916666667	106	49	0.462264151	106	7720.315671206	7720.206763855	82	82	1.000000000
case_010	26	24	6.396501197	0.266520883	0	0	24	24	0.266520883	-0.266520883	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7477.985856446	7477.852596004	72	72	1.000000000
case_011	21	24	5.620126832	0.234171951	1	19	24	24	0.234171951	-0.234171951	120	98	0.816666667	24	22	0.916666667	98	25	0.255102041	98	7530.916086526	7530.801390060	74	74	1.000000000
case_012	22	24	6.234481207	0.259770050	0	0	24	24	0.259770050	-0.259770050	120	100	0.833333333	24	21	0.875000000	100	26	0.260000000	100	7581.358038120	7581.233348495	76	75	0.986842105
