id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	9.489491728	0.395395489	0	0	24	24	0.395395489	-0.395395489	120	100	0.833333333	24	19	0.791666667	100	34	0.340000000	100	7585.004782027	7584.814992193	76	73	0.960526316
case_001	18	24	4.713982987	0.196415958	1	19	24	24	0.196415958	-0.196415958	120	100	0.833333333	24	23	0.958333333	100	28	0.280000000	100	7581.505794158	7581.411514498	76	76	1.000000000
case_002	19	24	7.997795033	0.333241460	0	0	24	24	0.333241460	-0.333241460	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7480.692549131	7480.525928401	72	72	1.000000000
case_003	19	24	7.327029858	0.305292911	0	0	24	24	0.305292911	-0.305292911	120	97	0.808333333	24	21	0.875000000	97	24	0.247422680	97	7508.730571112	7508.579498331	73	73	1.000000000
case_004	15	24	19.293213421	0.803883893	1	2	24	24	0.803883893	-0.803883893	120	97	0.808333333	24	15	0.625000000	97	27	0.278350515	97	7509.905239254	7509.507441039	73	73	1.000000000
case_005	14	24	2.492423186	0.103850966	1	9	24	24	0.103850966	-0.103850966	120	96	0.800000000	24	23	0.958333333	96	24	0.250000000	96	7480.195215074	7480.143289590	72	72	1.000000000
case_006	18	24	9.248927299	0.385371971	1	2	24	24	0.385371971	-0.385371971	120	98	0.816666667	24	18	0.750000000	98	26	0.265306122	98	7532.153809980	7531.965056362	74	74	1.000000000
case_007	14	24	12.235037732	0.509793239	0	0	24	24	0.509793239	-0.509793239	120	119	0.991666667	24	21	0.875000000	119	93	0.781512605	119	7976.867226649	7976.661595763	95	92	0.968421053
case_008	20	24	9.386160061	0.391090003	1	12	24	24	0.391090003	-0.391090003	120	97	0.808333333	24	21	0.875000000	97	26	0.268041237	97	7507.522118987	7507.328589913	73	73	1.000000000
case_009	17	24	4.967306284	0.206971095	1	11	24	24	0.206971095	-0.206971095	120	106	0.883333333	24	22	0.916666667	106	48	0.452830189	106	7720.737671954	7720.643949194	82	82	1.000000000
case_010	26	24	6.673876044	0.278078168	0	0	24	24	0.278078168	-0.278078168	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7477.946980988	7477.807941904	72	72	1.000000000
case_011	21	24	5.424295916	0.226012330	1	19	24	24	0.226012330	-0.226012330	120	98	0.816666667	24	22	0.916666667	98	25	0.255102041	98	7531.148375484	7531.037675567	74	74	1.000000000
case_012	22	24	6.815507981	0.283979499	1	13	24	24	0.283979499	-0.283979499	120	100	0.833333333	24	20	0.833333333	100	26	0.260000000	100	7580.864672379	7580.728362219	76	76	1.000000000
case_013	22	24	8.920333703	0.371680571	0	0	24	24	0.371680571	-0.371680571	120	97	0.808333333	24	21	0.875000000	97	28	0.288659794	97	7506.251952526	7506.068028120	73	72	0.986301370
case_014	21	24	18.048280451	0.752011685	0	0	24	24	0.752011685	-0.752011685	120	98	0.816666667	24	20	0.833333333	98	25	0.255102041	98	7534.501853164	7534.133520910	74	72	0.972972973
case_015	22	24	1.043671107	0.043486296	1	24	24	24	0.043486296	-0.043486296	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7477.645697038	7477.623953890	72	72	1.000000000
case_016	19	24	8.262775468	0.344282311	1	2	24	24	0.344282311	-0.344282311	120	97	0.808333333	24	21	0.875000000	97	26	0.268041237	97	7505.555683685	7505.385317180	73	73	1.000000000
case_017	26	24	9.631954580	0.401331441	0	0	24	24	0.401331441	-0.401331441	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7480.094246131	7479.893580411	72	71	0.986111111
case_018	25	24	4.027249140	0.167802048	1	12	24	24	0.167802048	-0.167802048	120	115	0.958333333	24	22	0.916666667	115	81	0.704347826	115	7900.779525341	7900.709486226	91	90	0.989010989
case_019	19	24	9.867477714	0.411144905	1	14	24	24	0.411144905	-0.411144905	120	98	0.816666667	24	20	0.833333333	98	26	0.265306122	98	7533.737049911	7533.535672815	74	74	1.000000000
case_020	18	24	9.062952044	0.377623002	0	0	24	24	0.377623002	-0.377623002	120	96	0.800000000	24	22	0.916666667	96	23	0.239583333	96	7480.722857306	7480.534045805	72	72	1.000000000
case_021	18	24	0.957254950	0.039885623	1	13	24	24	0.039885623	-0.039885623	120	96	0.800000000	24	23	0.958333333	96	24	0.250000000	96	7478.045483568	7478.025540757	72	72	1.000000000
case_022	16	24	10.598949024	0.441622876	1	3	24	24	0.441622876	-0.441622876	120	100	0.833333333	24	21	0.875000000	100	26	0.260000000	100	7581.898199223	7581.686220243	76	76	1.000000000
case_023	14	24	13.452616761	0.560525698	0	0	24	24	0.560525698	-0.560525698	120	114	0.950000000	24	19	0.791666667	114	75	0.657894737	114	7865.933539563	7865.697528743	93	89	0.956989247
case_024	15	24	8.952666640	0.373027777	1	1	24	24	0.373027777	-0.373027777	120	102	0.850000000	24	21	0.875000000	102	31	0.303921569	102	7631.777427080	7631.601884597	78	77	0.987179487
case_025	20	24	3.186364567	0.132765190	1	24	24	24	0.132765190	-0.132765190	120	97	0.808333333	24	24	1.000000000	97	27	0.278350515	97	7507.656113253	7507.590415014	73	73	1.000000000
case_026	17	24	4.571600037	0.190483335	1	16	24	24	0.190483335	-0.190483335	120	98	0.816666667	24	22	0.916666667	98	24	0.244897959	98	7531.709249372	7531.615951412	74	74	1.000000000
case_027	14	24	19.082238890	0.795093287	1	7	24	24	0.795093287	-0.795093287	120	97	0.808333333	24	19	0.791666667	97	26	0.268041237	97	7506.161967473	7505.768519249	73	73	1.000000000
case_028	16	24	15.245380944	0.635224206	1	4	24	24	0.635224206	-0.635224206	120	97	0.808333333	24	17	0.708333333	97	26	0.268041237	97	7508.361092166	7508.046754415	73	73	1.000000000
case_029	18	24	12.301948581	0.512581191	1	2	24	24	0.512581191	-0.512581191	120	119	0.991666667	24	21	0.875000000	119	88	0.739495798	119	7976.749679825	7976.542924387	95	90	0.947368421
case_030	23	24	8.327665828	0.346986076	0	0	24	24	0.346986076	-0.346986076	120	97	0.808333333	24	22	0.916666667	97	27	0.278350515	97	7504.608562551	7504.436858101	73	69	0.945205479
case_031	22	24	0.851322136	0.035471756	1	24	24	24	0.035471756	-0.035471756	120	97	0.808333333	24	24	1.000000000	97	27	0.278350515	97	7505.484952725	7505.467399692	73	73	1.000000000
case_032	18	24	9.901308324	0.412554513	0	0	24	24	0.412554513	-0.412554513	120	97	0.808333333	24	19	0.791666667	97	25	0.257731959	97	7506.024489697	7505.820339010	73	72	0.986301370
case_033	15	24	10.041104758	0.418379365	0	0	24	24	0.418379365	-0.418379365	120	97	0.808333333	24	19	0.791666667	97	27	0.278350515	97	7508.388118220	7508.181085133	73	72	0.986301370
case_034	22	24	2.544344605	0.106014359	1	17	24	24	0.106014359	-0.106014359	120	97	0.808333333	24	23	0.958333333	97	27	0.278350515	97	7505.396169066	7505.343708353	73	73	1.000000000
case_035	23	24	8.332771387	0.347198808	1	1	24	24	0.347198808	-0.347198808	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7480.791648913	7480.618049509	72	72	1.000000000
case_036	21	24	8.398095680	0.349920653	1	17	24	24	0.349920653	-0.349920653	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7478.704188941	7478.529228615	72	72	1.000000000
case_037	18	24	9.742082668	0.405920111	0	0	24	24	0.405920111	-0.405920111	120	97	0.808333333	24	20	0.833333333	97	28	0.288659794	97	7506.643659697	7506.442792013	73	72	0.986301370
case_038	26	24	7.632980394	0.318040850	0	0	24	24	0.318040850	-0.318040850	120	97	0.808333333	24	20	0.833333333	97	25	0.257731959	97	7505.812538664	7505.655157625	73	73	1.000000000
case_039	23	24	17.025321279	0.709388387	0	0	24	24	0.709388387	-0.709388387	120	99	0.825000000	24	18	0.750000000	99	24	0.242424242	99	7557.802266932	7557.458321047	75	74	0.986666667
case_040	21	24	8.917677736	0.371569906	1	9	24	24	0.371569906	-0.371569906	120	99	0.825000000	24	20	0.833333333	99	28	0.282828283	99	7557.418029501	7557.237874395	75	75	1.000000000
case_041	15	24	15.298567243	0.637440302	1	5	24	24	0.637440302	-0.637440302	120	101	0.841666667	24	18	0.750000000	101	25	0.247524752	101	7608.100633152	7607.797691226	77	76	0.987012987
case_042	14	24	13.811815528	0.575492314	1	1	24	24	0.575492314	-0.575492314	120	100	0.833333333	24	19	0.791666667	100	28	0.280000000	100	7583.716105962	7583.439869651	76	76	1.000000000
case_043	18	24	1.972450483	0.082185437	1	11	24	24	0.082185437	-0.082185437	120	100	0.833333333	24	23	0.958333333	100	26	0.260000000	100	7580.508301808	7580.468852798	76	76	1.000000000
case_044	20	24	6.858634056	0.285776419	0	0	24	24	0.285776419	-0.285776419	120	98	0.816666667	24	21	0.875000000	98	26	0.265306122	98	7534.293814174	7534.153842050	74	73	0.986486486
case_045	18	24	13.451989253	0.560499552	1	3	24	24	0.560499552	-0.560499552	120	100	0.833333333	24	16	0.666666667	100	25	0.250000000	100	7582.358186636	7582.089146851	76	76	1.000000000
case_046	19	24	12.935383432	0.538974310	0	0	24	24	0.538974310	-0.538974310	120	99	0.825000000	24	20	0.833333333	99	28	0.282828283	99	7506.957947616	7506.696626739	78	76	0.974358974
case_047	16	24	8.374808490	0.348950354	0	0	24	24	0.348950354	-0.348950354	120	100	0.833333333	24	21	0.875000000	100	28	0.280000000	100	7583.240275618	7583.072779448	76	75	0.986842105
case_048	18	24	6.239601467	0.259983394	1	3	24	24	0.259983394	-0.259983394	120	96	0.800000000	24	22	0.916666667	96	24	0.250000000	96	7480.703217350	7480.573225653	72	72	1.000000000
case_049	18	24	10.210727921	0.425446997	1	7	24	24	0.425446997	-0.425446997	120	96	0.800000000	24	19	0.791666667	96	24	0.250000000	96	7481.859777247	7481.647053749	72	72	1.000000000
case_050	27	24	7.005297672	0.291887403	1	22	24	24	0.291887403	-0.291887403	120	97	0.808333333	24	23	0.958333333	97	25	0.257731959	97	7506.292555063	7506.148115936	73	73	1.000000000
case_051	21	24	6.014889017	0.250620376	1	6	24	24	0.250620376	-0.250620376	120	120	1.000000000	24	22	0.916666667	120	86	0.716666667	120	7988.912859775	7988.812611625	96	94	0.979166667
case_052	19	24	13.175293239	0.548970552	0	0	24	24	0.548970552	-0.548970552	120	119	0.991666667	24	15	0.625000000	119	96	0.806722689	119	7945.294074223	7945.072640724	98	89	0.908163265
case_053	22	24	5.191712048	0.216321335	1	11	24	24	0.216321335	-0.216321335	120	120	1.000000000	24	22	0.916666667	120	93	0.775000000	120	7989.628732014	7989.542203480	96	94	0.979166667
case_054	24	24	1.866220615	0.077759192	1	24	24	24	0.077759192	-0.077759192	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7477.980805742	7477.941926146	72	72	1.000000000
case_055	25	24	25.206654740	1.050277281	0	0	24	24	1.050277281	-1.050277281	120	96	0.800000000	24	17	0.708333333	96	24	0.250000000	96	7480.741804894	7480.216666253	72	71	0.986111111
case_056	18	24	13.203583820	0.550149326	0	0	24	24	0.550149326	-0.550149326	120	97	0.808333333	24	19	0.791666667	97	23	0.237113402	97	7509.793422496	7509.521183654	73	73	1.000000000
case_057	22	24	12.059998678	0.502499945	0	0	24	24	0.502499945	-0.502499945	120	98	0.816666667	24	21	0.875000000	98	26	0.265306122	98	7531.346566689	7531.100444267	74	72	0.972972973
case_058	25	24	5.730959632	0.238789985	1	4	24	24	0.238789985	-0.238789985	120	97	0.808333333	24	21	0.875000000	97	26	0.268041237	97	7504.916347404	7504.798183288	73	73	1.000000000
case_059	23	24	10.704727585	0.446030316	0	0	24	24	0.446030316	-0.446030316	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7480.577871637	7480.354856479	72	72	1.000000000
case_060	17	24	1.301761581	0.054240066	1	19	24	24	0.054240066	-0.054240066	120	97	0.808333333	24	23	0.958333333	97	27	0.278350515	97	7503.723513747	7503.696673302	73	73	1.000000000
case_061	16	24	11.037937006	0.459914042	1	5	24	24	0.459914042	-0.459914042	120	97	0.808333333	24	20	0.833333333	97	26	0.268041237	97	7510.682757414	7510.455171084	73	72	0.986301370
case_062	14	24	10.619968961	0.442498707	1	14	24	24	0.442498707	-0.442498707	120	97	0.808333333	24	20	0.833333333	97	28	0.288659794	97	7505.991771918	7505.772803486	73	73	1.000000000
case_063	15	24	3.677631601	0.153234650	1	11	24	24	0.153234650	-0.153234650	120	97	0.808333333	24	22	0.916666667	97	26	0.268041237	97	7506.410547615	7506.334720160	73	73	1.000000000
case_064	12	24	10.350484775	0.431270199	1	7	24	24	0.431270199	-0.431270199	120	97	0.808333333	24	21	0.875000000	97	24	0.247422680	97	7507.762885656	7507.549473599	73	73	1.000000000
case_065	15	24	7.632158989	0.318006625	1	1	24	24	0.318006625	-0.318006625	120	97	0.808333333	24	21	0.875000000	97	24	0.247422680	97	7507.806738645	7507.649374542	73	73	1.000000000
case_066	16	24	13.001257764	0.541719073	1	8	24	24	0.541719073	-0.541719073	120	99	0.825000000	24	19	0.791666667	99	26	0.262626263	99	7558.071884487	7557.809232815	75	75	1.000000000
case_067	17	24	7.333293078	0.305553878	1	6	24	24	0.305553878	-0.305553878	120	98	0.816666667	24	20	0.833333333	98	29	0.295918367	98	7533.684444318	7533.534785276	74	74	1.000000000
case_068	17	24	17.911250932	0.746302122	1	3	24	24	0.746302122	-0.746302122	120	99	0.825000000	24	17	0.708333333	99	24	0.242424242	99	7559.138528514	7558.776685061	75	75	1.000000000
case_069	18	24	9.778333233	0.407430551	1	1	24	24	0.407430551	-0.407430551	120	99	0.825000000	24	21	0.875000000	99	27	0.272727273	99	7559.340992993	7559.143450908	75	75	1.000000000
case_070	24	24	3.870781675	0.161282570	1	3	24	24	0.161282570	-0.161282570	120	97	0.808333333	24	22	0.916666667	97	27	0.278350515	97	7502.446245451	7502.366435520	73	73	1.000000000
case_071	24	24	13.073284748	0.544720198	0	0	24	24	0.544720198	-0.544720198	120	97	0.808333333	24	18	0.750000000	97	25	0.257731959	97	7507.925429303	7507.655877040	73	72	0.986301370
case_072	17	24	6.213348364	0.258889515	0	0	24	24	0.258889515	-0.258889515	120	97	0.808333333	24	22	0.916666667	97	28	0.288659794	97	7506.900130707	7506.772020431	73	70	0.958904110
case_073	15	24	5.847312683	0.243638028	1	6	24	24	0.243638028	-0.243638028	120	97	0.808333333	24	22	0.916666667	97	27	0.278350515	97	7505.233777828	7505.113214679	73	73	1.000000000
case_074	15	24	10.241863049	0.426744294	0	0	24	24	0.426744294	-0.426744294	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7478.371993447	7478.158621300	72	71	0.986111111
case_075	16	24	3.349977266	0.139582386	1	6	24	24	0.139582386	-0.139582386	120	97	0.808333333	24	22	0.916666667	97	26	0.268041237	97	7506.796408594	7506.727336898	73	73	1.000000000
case_076	22	24	2.553679439	0.106403310	1	11	24	24	0.106403310	-0.106403310	120	97	0.808333333	24	23	0.958333333	97	28	0.288659794	97	7504.804931741	7504.752278556	73	73	1.000000000
case_077	24	24	4.798038990	0.199918291	1	12	24	24	0.199918291	-0.199918291	120	96	0.800000000	24	23	0.958333333	96	24	0.250000000	96	7477.915969063	7477.816009918	72	72	1.000000000
case_078	28	24	18.577365447	0.774056894	0	0	24	24	0.774056894	-0.774056894	120	97	0.808333333	24	20	0.833333333	97	28	0.288659794	97	7507.920191277	7507.537152814	73	71	0.972602740
case_079	20	24	10.609902794	0.442079283	1	4	24	24	0.442079283	-0.442079283	120	99	0.825000000	24	21	0.875000000	99	26	0.262626263	99	7556.354467694	7556.140126224	75	75	1.000000000
case_080	13	24	17.812976926	0.742207372	1	5	24	24	0.742207372	-0.742207372	120	119	0.991666667	24	18	0.750000000	119	90	0.756302521	119	7912.714393972	7912.415016208	98	88	0.897959184
case_081	13	24	12.667508452	0.527812852	0	0	24	24	0.527812852	-0.527812852	120	99	0.825000000	24	19	0.791666667	99	27	0.272727273	99	7559.526289724	7559.270380462	75	74	0.986666667
case_082	16	24	3.004183783	0.125174324	1	24	24	24	0.125174324	-0.125174324	120	97	0.808333333	24	24	1.000000000	97	28	0.288659794	97	7505.742185836	7505.680243902	73	73	1.000000000
case_083	19	17	0.056359648	0.003315273	1	17	17	17	0.003315273	-0.003315273	85	68	0.800000000	17	17	1.000000000	68	18	0.264705882	68	7477.253787591	7477.252129955	51	51	1.000000000
case_084	23	11	2.632092038	0.239281094	0	0	11	11	0.239281094	-0.239281094	55	45	0.818181818	11	9	0.818181818	45	13	0.288888889	45	7536.789655204	7536.672673336	34	33	0.970588235
case_085	18	24	5.126905918	0.213621080	1	11	24	24	0.213621080	-0.213621080	120	97	0.808333333	24	21	0.875000000	97	27	0.278350515	97	7507.765819882	7507.660110482	73	73	1.000000000
case_086	16	24	14.093062109	0.587210921	1	6	24	24	0.587210921	-0.587210921	120	96	0.800000000	24	17	0.708333333	96	24	0.250000000	96	7481.644901778	7481.351296318	72	72	1.000000000
