id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	79.996064747	3.333169364	0	0	24	24	3.333169364	-3.333169364	120	100	0.833333333	24	15	0.625000000	100	28	0.280000000	100	7587.523486878	7585.923565583	76	67	0.881578947
case_001	18	24	71.519167696	2.979965321	0	0	24	24	2.979965321	-2.979965321	120	100	0.833333333	24	16	0.666666667	100	20	0.200000000	100	7587.712893716	7586.282510362	76	69	0.907894737
case_002	19	24	58.404519576	2.433521649	0	0	24	24	2.433521649	-2.433521649	120	96	0.800000000	24	16	0.666666667	96	21	0.218750000	96	7487.283163312	7486.066402488	72	69	0.958333333
case_003	19	24	46.264844383	1.927701849	0	0	24	24	1.927701849	-1.927701849	120	97	0.808333333	24	16	0.666666667	97	21	0.216494845	97	7513.779855307	7512.825940990	73	70	0.958904110
case_004	15	24	51.421812762	2.142575532	0	0	24	24	2.142575532	-2.142575532	120	97	0.808333333	24	14	0.583333333	97	23	0.237113402	97	7513.335371823	7512.275128261	73	72	0.986301370
case_005	14	24	90.382977565	3.765957399	0	0	24	24	3.765957399	-3.765957399	120	96	0.800000000	24	15	0.625000000	96	20	0.208333333	96	7486.896930107	7485.013951408	72	63	0.875000000
case_006	18	24	71.081999492	2.961749979	0	0	24	24	2.961749979	-2.961749979	120	98	0.816666667	24	16	0.666666667	98	22	0.224489796	98	7536.935159618	7535.484506567	74	70	0.945945946
case_007	14	24	86.155189415	3.589799559	0	0	24	24	3.589799559	-3.589799559	120	119	0.991666667	24	12	0.500000000	119	68	0.571428571	119	7977.678750676	7976.230764299	95	69	0.726315789
case_008	20	24	36.638471175	1.526602966	0	0	24	24	1.526602966	-1.526602966	120	97	0.808333333	24	16	0.666666667	97	23	0.237113402	97	7512.990381286	7512.234948891	73	71	0.972602740
case_009	17	24	70.349094215	2.931212259	0	0	24	24	2.931212259	-2.931212259	120	106	0.883333333	24	17	0.708333333	106	35	0.330188679	106	7723.588581580	7722.261240180	82	70	0.853658537
case_010	26	24	121.478749074	5.061614545	0	0	24	24	5.061614545	-5.061614545	120	96	0.800000000	24	14	0.583333333	96	18	0.187500000	96	7485.109272896	7482.578465624	72	61	0.847222222
case_011	21	24	74.011724849	3.083821869	0	0	24	24	3.083821869	-3.083821869	120	98	0.816666667	24	15	0.625000000	98	19	0.193877551	98	7538.810661163	7537.300217799	74	71	0.959459459
case_012	22	24	82.651559318	3.443814972	0	0	24	24	3.443814972	-3.443814972	120	100	0.833333333	24	18	0.750000000	100	22	0.220000000	100	7587.772577255	7586.119546068	76	65	0.855263158
case_013	22	24	87.689774871	3.653740620	0	0	24	24	3.653740620	-3.653740620	120	97	0.808333333	24	16	0.666666667	97	19	0.195876289	97	7510.025349567	7508.217312972	73	70	0.958904110
case_014	21	24	101.852305355	4.243846056	0	0	24	24	4.243846056	-4.243846056	120	98	0.816666667	24	12	0.500000000	98	17	0.173469388	98	7539.417808761	7537.339190285	74	66	0.891891892
case_015	22	24	88.064718839	3.669363285	0	0	24	24	3.669363285	-3.669363285	120	96	0.800000000	24	17	0.708333333	96	19	0.197916667	96	7485.161653442	7483.326971799	72	65	0.902777778
case_016	19	24	64.009314548	2.667054773	0	0	24	24	2.667054773	-2.667054773	120	97	0.808333333	24	18	0.750000000	97	21	0.216494845	97	7509.005726950	7507.685947268	73	68	0.931506849
case_017	26	24	92.858752647	3.869114694	0	0	24	24	3.869114694	-3.869114694	120	96	0.800000000	24	14	0.583333333	96	19	0.197916667	96	7487.476334757	7485.541777410	72	62	0.861111111
case_018	25	24	100.542109172	4.189254549	0	0	24	24	4.189254549	-4.189254549	120	115	0.958333333	24	15	0.625000000	115	51	0.443478261	115	7902.693849561	7900.945291140	91	81	0.890109890
case_019	19	24	84.730974938	3.530457289	0	0	24	24	3.530457289	-3.530457289	120	98	0.816666667	24	17	0.708333333	98	19	0.193877551	98	7537.757340336	7536.028136766	74	70	0.945945946
case_020	18	24	38.060355731	1.585848155	0	0	24	24	1.585848155	-1.585848155	120	96	0.800000000	24	15	0.625000000	96	23	0.239583333	96	7485.005552787	7484.212628709	72	70	0.972222222
