id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	80.238640351	3.343276681	0	0	24	24	3.343276681	-3.343276681	120	100	0.833333333	24	15	0.625000000	100	28	0.280000000	100	7587.445001963	7585.840229156	76	67	0.881578947
case_001	18	24	65.005948320	2.708581180	0	0	24	24	2.708581180	-2.708581180	120	100	0.833333333	24	16	0.666666667	100	20	0.200000000	100	7587.532917299	7586.232798333	76	71	0.934210526
case_002	19	24	61.882898846	2.578454119	0	0	24	24	2.578454119	-2.578454119	120	96	0.800000000	24	15	0.625000000	96	22	0.229166667	96	7485.532322097	7484.243095037	72	71	0.986111111
case_003	19	24	52.336116516	2.180671521	0	0	24	24	2.180671521	-2.180671521	120	97	0.808333333	24	17	0.708333333	97	22	0.226804124	97	7513.463940551	7512.384845365	73	70	0.958904110
case_004	15	24	48.522202419	2.021758434	0	0	24	24	2.021758434	-2.021758434	120	97	0.808333333	24	16	0.666666667	97	22	0.226804124	97	7512.814435098	7511.813977316	73	72	0.986301370
case_005	14	24	98.047492808	4.085312200	0	0	24	24	4.085312200	-4.085312200	120	96	0.800000000	24	13	0.541666667	96	20	0.208333333	96	7486.615985973	7484.573329873	72	63	0.875000000
case_006	18	24	64.702750426	2.695947934	0	0	24	24	2.695947934	-2.695947934	120	98	0.816666667	24	17	0.708333333	98	22	0.224489796	98	7537.378654946	7536.058190651	74	69	0.932432432
case_007	14	24	87.129544079	3.630397670	0	0	24	24	3.630397670	-3.630397670	120	119	0.991666667	24	15	0.625000000	119	66	0.554621849	119	7977.518283626	7976.053921541	95	70	0.736842105
case_008	20	24	37.376864674	1.557369361	0	0	24	24	1.557369361	-1.557369361	120	97	0.808333333	24	17	0.708333333	97	23	0.237113402	97	7512.208300794	7511.437643790	73	71	0.972602740
case_009	17	24	64.303290556	2.679303773	0	0	24	24	2.679303773	-2.679303773	120	106	0.883333333	24	17	0.708333333	106	37	0.349056604	106	7724.687152895	7723.473883261	82	69	0.841463415
case_010	26	24	125.826575433	5.242773976	0	0	24	24	5.242773976	-5.242773976	120	96	0.800000000	24	14	0.583333333	96	19	0.197916667	96	7484.231837160	7481.610450172	72	61	0.847222222
case_011	21	24	82.578528604	3.440772025	0	0	24	24	3.440772025	-3.440772025	120	98	0.816666667	24	17	0.708333333	98	20	0.204081633	98	7537.762298661	7536.077022567	74	67	0.905405405
