id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	80.180748957	3.340864540	0	0	24	24	3.340864540	-3.340864540	120	100	0.833333333	24	15	0.625000000	100	28	0.280000000	100	7587.502889281	7585.899274302	76	67	0.881578947
case_001	18	24	73.087639178	3.045318299	0	0	24	24	3.045318299	-3.045318299	120	100	0.833333333	24	15	0.625000000	100	20	0.200000000	100	7587.838557988	7586.376805204	76	69	0.907894737
case_002	19	24	59.865822321	2.494409263	0	0	24	24	2.494409263	-2.494409263	120	96	0.800000000	24	15	0.625000000	96	22	0.229166667	96	7485.690451982	7484.443247350	72	69	0.958333333
case_003	19	24	55.390523010	2.307938459	0	0	24	24	2.307938459	-2.307938459	120	97	0.808333333	24	18	0.750000000	97	21	0.216494845	97	7512.755241486	7511.613168847	73	69	0.945205479
case_004	15	24	54.703265208	2.279302717	0	0	24	24	2.279302717	-2.279302717	120	97	0.808333333	24	15	0.625000000	97	23	0.237113402	97	7513.084100208	7511.956197833	73	71	0.972602740
case_005	14	24	86.825367659	3.617723652	0	0	24	24	3.617723652	-3.617723652	120	96	0.800000000	24	15	0.625000000	96	20	0.208333333	96	7486.787535767	7484.978673941	72	63	0.875000000
case_006	18	24	68.737513895	2.864063079	0	0	24	24	2.864063079	-2.864063079	120	98	0.816666667	24	16	0.666666667	98	23	0.234693878	98	7538.154833168	7536.752026761	74	68	0.918918919
case_007	14	24	83.943749764	3.497656240	0	0	24	24	3.497656240	-3.497656240	120	119	0.991666667	24	14	0.583333333	119	66	0.554621849	119	7977.722214902	7976.311395579	95	69	0.726315789
case_008	20	24	37.061886833	1.544245285	0	0	24	24	1.544245285	-1.544245285	120	97	0.808333333	24	17	0.708333333	97	23	0.237113402	97	7512.139622228	7511.375459612	73	71	0.972602740
case_009	17	24	70.696165305	2.945673554	0	0	24	24	2.945673554	-2.945673554	120	106	0.883333333	24	16	0.666666667	106	36	0.339622642	106	7723.609107128	7722.275217217	82	70	0.853658537
case_010	26	24	126.761904294	5.281746012	0	0	24	24	5.281746012	-5.281746012	120	96	0.800000000	24	13	0.541666667	96	19	0.197916667	96	7484.478641010	7481.837768004	72	59	0.819444444
case_011	21	24	71.394057781	2.974752408	0	0	24	24	2.974752408	-2.974752408	120	98	0.816666667	24	17	0.708333333	98	20	0.204081633	98	7537.513131809	7536.056110222	74	70	0.945945946
case_012	22	24	98.823385512	4.117641063	0	0	24	24	4.117641063	-4.117641063	120	100	0.833333333	24	16	0.666666667	100	22	0.220000000	100	7586.518378677	7584.541910966	76	65	0.855263158
case_013	22	24	96.699621779	4.029150907	0	0	24	24	4.029150907	-4.029150907	120	97	0.808333333	24	15	0.625000000	97	19	0.195876289	97	7509.873879089	7507.880072455	73	67	0.917808219
case_014	21	24	103.085868697	4.295244529	0	0	24	24	4.295244529	-4.295244529	120	98	0.816666667	24	11	0.458333333	98	17	0.173469388	98	7540.200619017	7538.096825779	74	65	0.878378378
case_015	22	24	88.009919585	3.667079983	0	0	24	24	3.667079983	-3.667079983	120	96	0.800000000	24	17	0.708333333	96	18	0.187500000	96	7485.519721369	7483.686181378	72	64	0.888888889
case_016	19	24	58.851753624	2.452156401	0	0	24	24	2.452156401	-2.452156401	120	97	0.808333333	24	18	0.750000000	97	21	0.216494845	97	7510.925939939	7509.712501720	73	69	0.945205479
case_017	26	24	94.562795039	3.940116460	0	0	24	24	3.940116460	-3.940116460	120	96	0.800000000	24	13	0.541666667	96	21	0.218750000	96	7487.236480373	7485.266422143	72	65	0.902777778
case_018	25	24	99.408908090	4.142037837	0	0	24	24	4.142037837	-4.142037837	120	115	0.958333333	24	14	0.583333333	115	50	0.434782609	115	7902.982580964	7901.253730389	91	80	0.879120879
case_019	19	24	102.377447513	4.265726980	0	0	24	24	4.265726980	-4.265726980	120	98	0.816666667	24	16	0.666666667	98	19	0.193877551	98	7538.029999722	7535.940664059	74	66	0.891891892
