id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	9.845251898	0.410218829	0	0	24	24	0.410218829	-0.410218829	120	100	0.833333333	24	20	0.833333333	100	34	0.340000000	100	7584.458910141	7584.262005103	76	72	0.947368421
case_001	18	24	6.365831142	0.265242964	1	18	24	24	0.265242964	-0.265242964	120	100	0.833333333	24	22	0.916666667	100	26	0.260000000	100	7581.667150811	7581.539834188	76	76	1.000000000
case_002	19	24	6.466600125	0.269441672	0	0	24	24	0.269441672	-0.269441672	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7480.099033009	7479.964312173	72	72	1.000000000
case_003	19	24	8.714775402	0.363115642	0	0	24	24	0.363115642	-0.363115642	120	97	0.808333333	24	22	0.916666667	97	24	0.247422680	97	7508.765057972	7508.585371881	73	73	1.000000000
case_004	15	24	18.867610364	0.786150432	1	2	24	24	0.786150432	-0.786150432	120	97	0.808333333	24	15	0.625000000	97	27	0.278350515	97	7509.933022990	7509.544000096	73	73	1.000000000
case_005	14	24	1.364367005	0.056848625	1	24	24	24	0.056848625	-0.056848625	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7479.611821324	7479.583397011	72	72	1.000000000
case_006	18	24	11.554820282	0.481450845	1	4	24	24	0.481450845	-0.481450845	120	98	0.816666667	24	19	0.791666667	98	27	0.275510204	98	7532.112985023	7531.877172364	74	74	1.000000000
case_007	14	24	11.723920591	0.488496691	0	0	24	24	0.488496691	-0.488496691	120	119	0.991666667	24	22	0.916666667	119	96	0.806722689	119	7976.942813739	7976.745773057	95	93	0.978947368
case_008	20	24	8.530273524	0.355428064	1	2	24	24	0.355428064	-0.355428064	120	97	0.808333333	24	19	0.791666667	97	25	0.257731959	97	7507.134408078	7506.958526149	73	73	1.000000000
case_009	17	24	4.561407062	0.190058628	1	11	24	24	0.190058628	-0.190058628	120	106	0.883333333	24	22	0.916666667	106	46	0.433962264	106	7720.232483160	7720.146418876	82	82	1.000000000
case_010	26	24	6.393858365	0.266410765	0	0	24	24	0.266410765	-0.266410765	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7478.318435650	7478.185230268	72	72	1.000000000
case_011	21	24	5.414902534	0.225620939	1	19	24	24	0.225620939	-0.225620939	120	98	0.816666667	24	22	0.916666667	98	25	0.255102041	98	7530.727687972	7530.617179758	74	74	1.000000000
case_012	22	24	6.138007366	0.255750307	1	13	24	24	0.255750307	-0.255750307	120	100	0.833333333	24	22	0.916666667	100	26	0.260000000	100	7581.378969633	7581.256209485	76	76	1.000000000
case_013	22	24	9.007073759	0.375294740	0	0	24	24	0.375294740	-0.375294740	120	97	0.808333333	24	21	0.875000000	97	29	0.298969072	97	7506.163529343	7505.977816482	73	71	0.972602740
case_014	21	24	14.283802941	0.595158456	0	0	24	24	0.595158456	-0.595158456	120	98	0.816666667	24	20	0.833333333	98	27	0.275510204	98	7533.843076854	7533.551570671	74	73	0.986486486
case_015	22	24	0.773591368	0.032232974	1	24	24	24	0.032232974	-0.032232974	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7476.524127089	7476.508010602	72	72	1.000000000
case_016	19	24	9.361270363	0.390052932	1	2	24	24	0.390052932	-0.390052932	120	97	0.808333333	24	21	0.875000000	97	26	0.268041237	97	7506.049809139	7505.856793255	73	73	1.000000000
case_017	26	24	8.766067065	0.365252794	0	0	24	24	0.365252794	-0.365252794	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7479.924050390	7479.741423993	72	71	0.986111111
case_018	25	24	3.704244818	0.154343534	1	12	24	24	0.154343534	-0.154343534	120	115	0.958333333	24	23	0.958333333	115	80	0.695652174	115	7901.020966904	7900.956545255	91	90	0.989010989
case_019	19	24	7.043348929	0.293472872	1	18	24	24	0.293472872	-0.293472872	120	98	0.816666667	24	22	0.916666667	98	26	0.265306122	98	7533.615822137	7533.472080322	74	74	1.000000000
case_020	18	24	8.979902474	0.374162603	0	0	24	24	0.374162603	-0.374162603	120	96	0.800000000	24	22	0.916666667	96	23	0.239583333	96	7479.662548607	7479.475467306	72	72	1.000000000
case_021	18	24	0.556415099	0.023183962	1	24	24	24	0.023183962	-0.023183962	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7478.094468404	7478.082876423	72	72	1.000000000
case_022	16	24	9.543717612	0.397654900	1	3	24	24	0.397654900	-0.397654900	120	100	0.833333333	24	21	0.875000000	100	26	0.260000000	100	7582.027817604	7581.836943252	76	76	1.000000000
case_023	14	24	14.247940705	0.593664196	0	0	24	24	0.593664196	-0.593664196	120	114	0.950000000	24	18	0.750000000	114	75	0.657894737	114	7865.458990478	7865.209026606	93	86	0.924731183
case_024	15	24	9.969755494	0.415406479	1	1	24	24	0.415406479	-0.415406479	120	102	0.850000000	24	22	0.916666667	102	32	0.313725490	102	7631.852375995	7631.656890593	78	77	0.987179487
case_025	20	24	3.174689493	0.132278729	1	21	24	24	0.132278729	-0.132278729	120	97	0.808333333	24	23	0.958333333	97	27	0.278350515	97	7506.630812016	7506.565354501	73	73	1.000000000
case_026	17	24	5.186635074	0.216109795	1	16	24	24	0.216109795	-0.216109795	120	98	0.816666667	24	22	0.916666667	98	24	0.244897959	98	7531.155264000	7531.049414304	74	74	1.000000000
case_027	14	24	17.099558219	0.712481592	1	7	24	24	0.712481592	-0.712481592	120	97	0.808333333	24	19	0.791666667	97	26	0.268041237	97	7506.464377163	7506.111808953	73	73	1.000000000
case_028	16	24	14.943724385	0.622655183	1	4	24	24	0.622655183	-0.622655183	120	97	0.808333333	24	17	0.708333333	97	25	0.257731959	97	7507.670470031	7507.362352003	73	73	1.000000000
case_029	18	24	13.319616751	0.554984031	0	0	24	24	0.554984031	-0.554984031	120	119	0.991666667	24	20	0.833333333	119	89	0.747899160	119	7977.018402521	7976.794543416	95	89	0.936842105
case_030	23	24	8.447470241	0.351977927	0	0	24	24	0.351977927	-0.351977927	120	97	0.808333333	24	22	0.916666667	97	28	0.288659794	97	7504.405174812	7504.231000168	73	69	0.945205479
case_031	22	24	0.834756123	0.034781505	1	24	24	24	0.034781505	-0.034781505	120	97	0.808333333	24	24	1.000000000	97	27	0.278350515	97	7505.743814165	7505.726602698	73	73	1.000000000
case_032	18	24	9.273508473	0.386396186	0	0	24	24	0.386396186	-0.386396186	120	97	0.808333333	24	20	0.833333333	97	25	0.257731959	97	7505.591061532	7505.399855172	73	72	0.986301370
case_033	15	24	10.102332837	0.420930535	0	0	24	24	0.420930535	-0.420930535	120	97	0.808333333	24	19	0.791666667	97	26	0.268041237	97	7508.454372501	7508.246076978	73	72	0.986301370
case_034	22	24	3.201705732	0.133404406	1	17	24	24	0.133404406	-0.133404406	120	97	0.808333333	24	23	0.958333333	97	27	0.278350515	97	7505.444071401	7505.378056850	73	73	1.000000000
case_035	23	24	9.597349924	0.399889580	1	1	24	24	0.399889580	-0.399889580	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7481.112797731	7480.912852941	72	72	1.000000000
case_036	21	24	8.148412739	0.339517197	1	17	24	24	0.339517197	-0.339517197	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7478.477968325	7478.308209726	72	72	1.000000000
case_037	18	24	13.302010926	0.554250455	0	0	24	24	0.554250455	-0.554250455	120	97	0.808333333	24	20	0.833333333	97	28	0.288659794	97	7507.048155187	7506.773886920	73	70	0.958904110
case_038	26	24	7.091240164	0.295468340	1	2	24	24	0.295468340	-0.295468340	120	97	0.808333333	24	21	0.875000000	97	25	0.257731959	97	7505.416768386	7505.270557249	73	73	1.000000000
case_039	23	24	16.069081413	0.669545059	0	0	24	24	0.669545059	-0.669545059	120	99	0.825000000	24	18	0.750000000	99	25	0.252525253	99	7557.711178833	7557.386550925	75	74	0.986666667
case_040	21	24	7.047172408	0.293632184	1	9	24	24	0.293632184	-0.293632184	120	99	0.825000000	24	20	0.833333333	99	28	0.282828283	99	7556.201984169	7556.059617050	75	75	1.000000000
case_041	15	24	15.984121748	0.666005073	1	5	24	24	0.666005073	-0.666005073	120	101	0.841666667	24	18	0.750000000	101	25	0.247524752	101	7607.948918034	7607.632400771	77	76	0.987012987
case_042	14	24	12.387078109	0.516128255	1	1	24	24	0.516128255	-0.516128255	120	100	0.833333333	24	20	0.833333333	100	28	0.280000000	100	7584.349458544	7584.101716982	76	76	1.000000000
case_043	18	24	1.696951908	0.070706329	1	24	24	24	0.070706329	-0.070706329	120	100	0.833333333	24	24	1.000000000	100	26	0.260000000	100	7580.020405556	7579.986466518	76	76	1.000000000
case_044	20	24	6.981365204	0.290890217	0	0	24	24	0.290890217	-0.290890217	120	98	0.816666667	24	21	0.875000000	98	26	0.265306122	98	7534.001209890	7533.858733049	74	73	0.986486486
case_045	18	24	11.186019831	0.466084160	1	3	24	24	0.466084160	-0.466084160	120	100	0.833333333	24	17	0.708333333	100	25	0.250000000	100	7582.592267672	7582.368547276	76	76	1.000000000
case_046	19	24	13.664648948	0.569360373	0	0	24	24	0.569360373	-0.569360373	120	99	0.825000000	24	21	0.875000000	99	28	0.282828283	99	7506.545388140	7506.269334626	78	76	0.974358974
case_047	16	24	8.893032120	0.370543005	0	0	24	24	0.370543005	-0.370543005	120	100	0.833333333	24	20	0.833333333	100	29	0.290000000	100	7583.095465209	7582.917604567	76	75	0.986842105
case_048	18	24	9.188425667	0.382851069	1	1	24	24	0.382851069	-0.382851069	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7480.245901304	7480.054475769	72	72	1.000000000
case_049	18	24	10.227354049	0.426139752	1	7	24	24	0.426139752	-0.426139752	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7481.868505786	7481.655435910	72	72	1.000000000
case_050	27	24	6.934403656	0.288933486	1	11	24	24	0.288933486	-0.288933486	120	97	0.808333333	24	21	0.875000000	97	25	0.257731959	97	7506.226370324	7506.083392929	73	73	1.000000000
case_051	21	24	6.139528292	0.255813679	1	6	24	24	0.255813679	-0.255813679	120	120	1.000000000	24	22	0.916666667	120	90	0.750000000	120	7988.708449935	7988.606124464	96	94	0.979166667
