id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	10.381812113	0.432575505	0	0	24	24	0.432575505	-0.432575505	120	100	0.833333333	24	21	0.875000000	100	34	0.340000000	100	7584.776160941	7584.568524699	76	73	0.960526316
case_001	18	24	6.693657265	0.278902386	1	18	24	24	0.278902386	-0.278902386	120	100	0.833333333	24	22	0.916666667	100	26	0.260000000	100	7581.848199220	7581.714326074	76	76	1.000000000
case_002	19	24	6.160832084	0.256701337	0	0	24	24	0.256701337	-0.256701337	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7479.935073685	7479.806723017	72	72	1.000000000
case_003	19	24	8.873612540	0.369733856	0	0	24	24	0.369733856	-0.369733856	120	97	0.808333333	24	22	0.916666667	97	24	0.247422680	97	7508.717051873	7508.534090790	73	73	1.000000000
case_004	15	24	17.483298772	0.728470782	1	2	24	24	0.728470782	-0.728470782	120	97	0.808333333	24	15	0.625000000	97	27	0.278350515	97	7509.778400867	7509.417920480	73	73	1.000000000
case_005	14	24	0.944505668	0.039354403	1	24	24	24	0.039354403	-0.039354403	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7479.639575591	7479.619898390	72	72	1.000000000
case_006	18	24	11.162031725	0.465084655	1	2	24	24	0.465084655	-0.465084655	120	98	0.816666667	24	18	0.750000000	98	27	0.275510204	98	7532.166115913	7531.938319347	74	74	1.000000000
case_007	14	24	11.860288185	0.494178674	0	0	24	24	0.494178674	-0.494178674	120	119	0.991666667	24	21	0.875000000	119	94	0.789915966	119	7976.858606642	7976.659274067	95	92	0.968421053
case_008	20	24	7.916104062	0.329837669	1	12	24	24	0.329837669	-0.329837669	120	97	0.808333333	24	21	0.875000000	97	25	0.257731959	97	7507.050346826	7506.887128186	73	73	1.000000000
case_009	17	24	4.997313058	0.208221377	1	11	24	24	0.208221377	-0.208221377	120	106	0.883333333	24	22	0.916666667	106	47	0.443396226	106	7720.286001468	7720.191712542	82	82	1.000000000
case_010	26	24	7.090094595	0.295420608	0	0	24	24	0.295420608	-0.295420608	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7478.281986951	7478.134276647	72	72	1.000000000
case_011	21	24	5.331269657	0.222136236	1	19	24	24	0.222136236	-0.222136236	120	98	0.816666667	24	22	0.916666667	98	25	0.255102041	98	7530.864045076	7530.755243655	74	74	1.000000000
case_012	22	24	6.198371427	0.258265476	0	0	24	24	0.258265476	-0.258265476	120	100	0.833333333	24	21	0.875000000	100	26	0.260000000	100	7581.427750246	7581.303782818	76	75	0.986842105
case_013	22	24	9.284863477	0.386869312	0	0	24	24	0.386869312	-0.386869312	120	97	0.808333333	24	21	0.875000000	97	28	0.288659794	97	7506.012466883	7505.821026399	73	70	0.958904110
case_014	21	24	15.226022375	0.634417599	0	0	24	24	0.634417599	-0.634417599	120	98	0.816666667	24	20	0.833333333	98	27	0.275510204	98	7533.962696963	7533.651961813	74	71	0.959459459
case_015	22	24	1.124573694	0.046857237	1	24	24	24	0.046857237	-0.046857237	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7476.562954714	7476.539526096	72	72	1.000000000
case_016	19	24	9.460874759	0.394203115	1	2	24	24	0.394203115	-0.394203115	120	97	0.808333333	24	21	0.875000000	97	26	0.268041237	97	7506.061191402	7505.866121819	73	73	1.000000000
case_017	26	24	9.502854767	0.395952282	0	0	24	24	0.395952282	-0.395952282	120	96	0.800000000	24	21	0.875000000	96	25	0.260416667	96	7480.137029093	7479.939052952	72	71	0.986111111
case_018	25	24	3.723468338	0.155144514	1	12	24	24	0.155144514	-0.155144514	120	115	0.958333333	24	22	0.916666667	115	81	0.704347826	115	7900.900797787	7900.836041816	91	90	0.989010989
case_019	19	24	6.996039298	0.291501637	1	18	24	24	0.291501637	-0.291501637	120	98	0.816666667	24	22	0.916666667	98	26	0.265306122	98	7533.429044138	7533.286267826	74	74	1.000000000
case_020	18	24	8.694344215	0.362264342	0	0	24	24	0.362264342	-0.362264342	120	96	0.800000000	24	22	0.916666667	96	23	0.239583333	96	7479.678980665	7479.497848494	72	72	1.000000000
case_021	18	24	0.414707740	0.017279489	1	24	24	24	0.017279489	-0.017279489	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7478.031805613	7478.023165868	72	72	1.000000000
case_022	16	24	10.128969357	0.422040390	1	3	24	24	0.422040390	-0.422040390	120	100	0.833333333	24	21	0.875000000	100	26	0.260000000	100	7582.117595633	7581.915016246	76	76	1.000000000
case_023	14	24	13.712627197	0.571359467	0	0	24	24	0.571359467	-0.571359467	120	114	0.950000000	24	18	0.750000000	114	77	0.675438596	114	7865.454209724	7865.213637317	93	86	0.924731183
case_024	15	24	9.889612974	0.412067207	1	1	24	24	0.412067207	-0.412067207	120	102	0.850000000	24	22	0.916666667	102	32	0.313725490	102	7631.919371415	7631.725457435	78	77	0.987179487
case_025	20	24	3.465281892	0.144386745	1	21	24	24	0.144386745	-0.144386745	120	97	0.808333333	24	23	0.958333333	97	27	0.278350515	97	7506.836292899	7506.764843787	73	73	1.000000000
case_026	17	24	5.279703225	0.219987634	1	16	24	24	0.219987634	-0.219987634	120	98	0.816666667	24	22	0.916666667	98	24	0.244897959	98	7531.182300695	7531.074551650	74	74	1.000000000
case_027	14	24	16.887620813	0.703650867	1	7	24	24	0.703650867	-0.703650867	120	97	0.808333333	24	19	0.791666667	97	26	0.268041237	97	7505.948048336	7505.599849969	73	73	1.000000000
case_028	16	24	14.466018787	0.602750783	1	4	24	24	0.602750783	-0.602750783	120	97	0.808333333	24	17	0.708333333	97	26	0.268041237	97	7507.840481554	7507.542213126	73	73	1.000000000
case_029	18	24	13.609025363	0.567042723	1	6	24	24	0.567042723	-0.567042723	120	119	0.991666667	24	21	0.875000000	119	90	0.756302521	119	7977.034377586	7976.805654471	95	89	0.936842105
case_030	23	24	8.985795998	0.374408167	0	0	24	24	0.374408167	-0.374408167	120	97	0.808333333	24	22	0.916666667	97	28	0.288659794	97	7504.444568793	7504.259294649	73	69	0.945205479
case_031	22	24	0.653876233	0.027244843	1	24	24	24	0.027244843	-0.027244843	120	97	0.808333333	24	24	1.000000000	97	27	0.278350515	97	7505.644797850	7505.631315866	73	73	1.000000000
case_032	18	24	9.506988594	0.396124525	0	0	24	24	0.396124525	-0.396124525	120	97	0.808333333	24	20	0.833333333	97	24	0.247422680	97	7505.705391654	7505.509371271	73	72	0.986301370
case_033	15	24	10.384944532	0.432706022	0	0	24	24	0.432706022	-0.432706022	120	97	0.808333333	24	19	0.791666667	97	27	0.278350515	97	7508.410532575	7508.196410007	73	72	0.986301370
case_034	22	24	3.144492593	0.131020525	1	17	24	24	0.131020525	-0.131020525	120	97	0.808333333	24	23	0.958333333	97	27	0.278350515	97	7505.775169650	7505.710334751	73	73	1.000000000
case_035	23	24	9.746506989	0.406104458	1	1	24	24	0.406104458	-0.406104458	120	96	0.800000000	24	20	0.833333333	96	24	0.250000000	96	7480.657154067	7480.454101838	72	72	1.000000000
case_036	21	24	8.659962590	0.360831775	1	13	24	24	0.360831775	-0.360831775	120	96	0.800000000	24	20	0.833333333	96	25	0.260416667	96	7478.619839769	7478.439423882	72	72	1.000000000
case_037	18	24	13.412499233	0.558854135	0	0	24	24	0.558854135	-0.558854135	120	97	0.808333333	24	19	0.791666667	97	28	0.288659794	97	7506.948125713	7506.671579337	73	70	0.958904110
case_038	26	24	7.081312370	0.295054682	0	0	24	24	0.295054682	-0.295054682	120	97	0.808333333	24	20	0.833333333	97	25	0.257731959	97	7505.752802183	7505.606795743	73	73	1.000000000
case_039	23	24	16.564377724	0.690182405	0	0	24	24	0.690182405	-0.690182405	120	99	0.825000000	24	18	0.750000000	99	25	0.252525253	99	7557.822789575	7557.488155682	75	74	0.986666667
case_040	21	24	6.589985193	0.274582716	1	9	24	24	0.274582716	-0.274582716	120	99	0.825000000	24	21	0.875000000	99	28	0.282828283	99	7556.440180222	7556.307049208	75	75	1.000000000
case_041	15	24	15.300930798	0.637538783	1	5	24	24	0.637538783	-0.637538783	120	101	0.841666667	24	18	0.750000000	101	25	0.247524752	101	7607.789275084	7607.486286356	77	76	0.987012987
case_042	14	24	12.132459419	0.505519142	1	1	24	24	0.505519142	-0.505519142	120	100	0.833333333	24	20	0.833333333	100	28	0.280000000	100	7584.109175181	7583.866525993	76	76	1.000000000
case_043	18	24	1.674282968	0.069761790	1	24	24	24	0.069761790	-0.069761790	120	100	0.833333333	24	24	1.000000000	100	26	0.260000000	100	7580.013150276	7579.979664616	76	76	1.000000000
case_044	20	24	7.278614359	0.303275598	0	0	24	24	0.303275598	-0.303275598	120	98	0.816666667	24	21	0.875000000	98	26	0.265306122	98	7533.970130045	7533.821586895	74	73	0.986486486
case_045	18	24	11.321227234	0.471717801	1	3	24	24	0.471717801	-0.471717801	120	100	0.833333333	24	18	0.750000000	100	25	0.250000000	100	7582.497484163	7582.271059618	76	76	1.000000000
case_046	19	24	14.325848132	0.596910339	0	0	24	24	0.596910339	-0.596910339	120	99	0.825000000	24	19	0.791666667	99	28	0.282828283	99	7506.485958516	7506.196547442	78	76	0.974358974
case_047	16	24	9.601212873	0.400050536	0	0	24	24	0.400050536	-0.400050536	120	100	0.833333333	24	20	0.833333333	100	29	0.290000000	100	7583.419457938	7583.227433680	76	75	0.986842105
case_048	18	24	7.973807645	0.332241985	1	1	24	24	0.332241985	-0.332241985	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7480.186276022	7480.020155029	72	72	1.000000000
case_049	18	24	10.080712647	0.420029694	1	7	24	24	0.420029694	-0.420029694	120	96	0.800000000	24	21	0.875000000	96	24	0.250000000	96	7482.126315895	7481.916301048	72	72	1.000000000
case_050	27	24	6.251651428	0.260485476	1	11	24	24	0.260485476	-0.260485476	120	97	0.808333333	24	22	0.916666667	97	25	0.257731959	97	7506.647212777	7506.518312748	73	73	1.000000000
case_051	21	24	7.478661803	0.311610908	1	6	24	24	0.311610908	-0.311610908	120	120	1.000000000	24	22	0.916666667	120	91	0.758333333	120	7988.829883815	7988.705239452	96	94	0.979166667
case_052	19	24	12.959722586	0.539988441	0	0	24	24	0.539988441	-0.539988441	120	119	0.991666667	24	16	0.666666667	119	96	0.806722689	119	7945.761998013	7945.544187550	98	90	0.918367347
case_053	22	24	4.422025842	0.184251077	1	11	24	24	0.184251077	-0.184251077	120	120	1.000000000	24	22	0.916666667	120	94	0.783333333	120	7989.577434170	7989.503733739	96	94	0.979166667
case_054	24	24	1.817039509	0.075709980	1	24	24	24	0.075709980	-0.075709980	120	96	0.800000000	24	24	1.000000000	96	24	0.250000000	96	7477.783157055	7477.745302065	72	72	1.000000000
case_055	25	24	24.138572954	1.005773873	1	2	24	24	1.005773873	-1.005773873	120	96	0.800000000	24	16	0.666666667	96	24	0.250000000	96	7480.701472024	7480.198585087	72	72	1.000000000
case_056	18	24	14.530875421	0.605453143	0	0	24	24	0.605453143	-0.605453143	120	97	0.808333333	24	20	0.833333333	97	23	0.237113402	97	7509.250713159	7508.951107480	73	73	1.000000000
case_057	22	24	9.835893776	0.409828907	0	0	24	24	0.409828907	-0.409828907	120	98	0.816666667	24	20	0.833333333	98	27	0.275510204	98	7530.740283224	7530.539550698	74	72	0.972972973
case_058	25	24	5.422953741	0.225956406	1	4	24	24	0.225956406	-0.225956406	120	97	0.808333333	24	20	0.833333333	97	26	0.268041237	97	7504.951140069	7504.839326590	73	73	1.000000000
case_059	23	24	14.012601856	0.583858411	0	0	24	24	0.583858411	-0.583858411	120	96	0.800000000	24	20	0.833333333	96	23	0.239583333	96	7480.948682631	7480.656753426	72	72	1.000000000
case_060	17	24	1.427276325	0.059469847	1	19	24	24	0.059469847	-0.059469847	120	97	0.808333333	24	23	0.958333333	97	27	0.278350515	97	7503.740248882	7503.710820505	73	73	1.000000000
