"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBufferAligned.kd",1,0,0,855933,855933,8192,256,0,0,16,0,128,32,"0x0","0x72a79a7f5740",130225048787403,130225048888278,130225048909718,130225049020214,21440
1,"__amd_rocclr_fillBufferAligned.kd",1,0,1,855933,855933,8192,256,0,0,16,0,128,32,"0x0","0x72a79a7f5740",130225049748193,130225049788006,130225049817326,130225049820300,29320
2,"__amd_rocclr_copyBuffer.kd",1,0,3,855933,855933,512,512,0,0,16,0,128,32,"0x72a7555fb500","0x72a79a7f57c0",130226537234728,130226537280911,130226537284951,130226537303028,4040
3,"__amd_rocclr_copyBuffer.kd",1,0,4,855933,855933,512,512,0,0,16,0,128,32,"0x72a7555fc580","0x72a79a7f57c0",130226537307175,130226537369701,130226537372541,130226537402185,2840
4,"__amd_rocclr_copyBuffer.kd",1,0,5,855933,855933,512,512,0,0,16,0,128,32,"0x72a7555fab00","0x72a79a7f57c0",130226537410221,130226537473602,130226537476562,130226537477779,2960
5,"__amd_rocclr_copyBuffer.kd",1,0,7,855933,855933,1024,512,0,0,16,0,128,32,"0x72a7555fbb00","0x72a79a7f57c0",130226548612545,130226548639696,130226548644736,130226548660896,5040
6,"__amd_rocclr_copyBuffer.kd",1,0,9,855933,855933,1024,512,0,0,16,0,128,32,"0x72a7555fbe00","0x72a79a7f57c0",130226551761571,130226551788453,130226551792693,130226551810654,4240
7,"__amd_rocclr_copyBuffer.kd",1,0,10,855933,855933,512,512,0,0,16,0,128,32,"0x72a7555fe300","0x72a79a7f57c0",130226551814010,130226551866613,130226551869493,130226551871960,2880
8,"__amd_rocclr_copyBuffer.kd",1,0,12,855933,855933,512,512,0,0,16,0,128,32,"0x72a7555fa980","0x72a79a7f57c0",130226551994642,130226552016005,130226552020045,130226552040910,4040
9,"__amd_rocclr_copyBuffer.kd",1,0,13,855933,855933,1024,1024,0,0,16,0,128,32,"0x72a7555fb080","0x72a79a7f57c0",130226552044216,130226552098415,130226552101255,130226552102396,2840
