"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"moe_gate_up_mid_expert_tile8_rowspan_kernel",344,11342803592,32973266,54.03733474958504
"moe_down_q2K_expert_batch_sharedmid_kernel",344,3750841389,10903608,17.869080610101033
"dequant_q8_0_to_f16_transpose_kernel",42,1097695336,26135603,5.229441719887116
"matmul_q8_0_f32_batch_wmma_4w_kernel",692,1052235978,1520572,5.012872462928476
"attention_decode_mixed_heads8_online_kernel",129,805326215,6242838,3.8365895970608195
"head_rms_norm_kernel",172,377621710,2195475,1.7989970985985073
"f32_to_f16_kernel",1689,327258811,193758,1.559067277884519
"hc_split_weighted_sum_fused_kernel",344,277792321,807535,1.3234079669093843
"moe_gate_up_mid_owned_f32_kernel",688,258169415,375246,1.2299240648316379
"moe_down_owned_f32_kernel",688,221552014,322023,1.055478061297524
"__amd_rocclr_copyBuffer.kd",3901,172182540,44138,0.820280936414703
"matmul_q8_0_f32_batch_sharedx_warp_rows_w32_toktile_kernel",172,168820807,981516,0.8042655756631645
"attention_static_mixed_heads8_online_kernel",43,132140623,3073037,0.629520472707989
"rms_norm_weight_kernel",685,97184423,141875,0.46298846272893057
"Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT128x128x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB1_EPS0_FDSI0_GRPM1_GRVWA4_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB0_LBSPPM0_LPA16_LPB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT4_4_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB2_ONLL1_PGR2_PLR1_PKA0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG32_4_1.kd",168,92907693,553021,0.4426140386485746
"moe_scatter_sorted_pairs_deterministic_kernel",344,71345786,207400,0.3398926984659595
"rope_tail_kernel",1620,54184639,33447,0.25813666367224364
"matmul_q8_0_f32_sharedx_warp_rows_w32_kernel",380,52398935,137891,0.24962953542753613
"rms_norm_plain_kernel",1042,50899908,48848,0.24248814193159327
"Cijk_Ailk_Bljk_HSS_BH_Bias_HA_S_SAV_UserArgs_MT128x128x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA2048_LBSPPB128_LBSPPM0_LPA0_LPB16_LPM0_LRVW8_LWPMn1_MIAV1_MIWT4_4_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR0_PKA0_SIA1_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA0_WSGRB0_WS32_WG32_4_1.kd",168,45478437,270704,0.2166601496820588
"grouped_q8_0_a_f32_sharedx_rows_w32_2row_kernel",688,38124089,55412,0.18162389418159053
"attention_pack_group_heads_f16_kernel",172,36625020,212936,0.17448230059683884
"attention_decode_mixed_one_fast_oldhip_kernel",344,32898890,95636,0.15673094551982047
