"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"moe_gate_up_mid_iq2_hotlist_wmma_n2_kernel",344,1403170482,4078983,15.818316135494667
"dequant_q8_0_to_f16_transpose_kernel",42,1094723799,26064852,12.34111418090088
"matmul_q8_0_f32_batch_wmma_4w_kernel",692,1035205735,1495962,11.670151126730385
"moe_gate_up_mid_expert_tile8_rowspan_kernel",344,790279437,2297323,8.90903146140067
"attention_decode_mixed_heads8_online_kernel",129,774662646,6005136,8.73297919959151
"moe_down_q2K_hotlist_wmma_n2_kernel",344,657064877,1910072,7.40726809696095
"head_rms_norm_kernel",172,378833223,2202518,4.270688245594344
"f32_to_f16_kernel",2033,306743921,150882,3.4580062631471473
"hc_split_weighted_sum_fused_kernel",344,279412249,812244,3.1498890145634877
"moe_gate_up_mid_owned_f32_kernel",688,258477548,375694,2.913886530996379
"moe_down_owned_f32_kernel",688,221679078,322207,2.499047536569388
"moe_down_q2K_expert_batch_sharedmid_kernel",344,200226385,582053,2.2572055906441646
"__amd_rocclr_copyBuffer.kd",4933,176333006,35745,1.987849138655183
"matmul_q8_0_f32_batch_sharedx_warp_rows_w32_toktile_kernel",172,166843051,970017,1.8808663377572816
"attention_static_mixed_heads8_online_kernel",43,130291476,3030034,1.4688106566998151
"rms_norm_weight_kernel",685,97576774,142447,1.100009071181214
"Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT128x128x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB1_EPS0_FDSI0_GRPM1_GRVWA4_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB0_LBSPPM0_LPA16_LPB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT4_4_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB2_ONLL1_PGR2_PLR1_PKA0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG32_4_1.kd",168,92304189,549429,1.0405698102708871
"moe_scatter_sorted_pairs_deterministic_kernel",344,69433228,201840,0.7827393498517738
"rope_tail_kernel",1620,55555265,34293,0.6262893611534669
"matmul_q8_0_f32_sharedx_warp_rows_w32_kernel",380,52086547,137069,0.5871855753963198
"rms_norm_plain_kernel",1042,50761791,48715,0.5722512466891446
"Cijk_Ailk_Bljk_HSS_BH_Bias_HA_S_SAV_UserArgs_MT128x128x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA2048_LBSPPB128_LBSPPM0_LPA0_LPB16_LPM0_LRVW8_LWPMn1_MIAV1_MIWT4_4_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR0_PKA0_SIA1_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA0_WSGRB0_WS32_WG32_4_1.kd",168,44902612,267277,0.5061991547264151
"grouped_q8_0_a_f32_sharedx_rows_w32_2row_kernel",688,38066789,55329,0.429137093738529
"attention_pack_group_heads_f16_kernel",172,35508252,206443,0.40029402183134777
"attention_decode_mixed_one_fast_oldhip_kernel",344,32892843,95618,0.3708098166571842
"Cijk_Alik_Bljk_HSS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_TLDS2_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG16_2_1.kd",428,31137279,72750,0.3510188741421224
"matmul_q8_0_pair_f32_sharedx_warp_rows_w32_kernel",688,29976548,43570,0.3379336431300658
"matmul_q8_0_kslice_preq_warp8_kernel",688,27349355,39751,0.30831659377215415
"matmul_f16_ordered_chunks_kernel",1041,24175451,23223,0.2725363250879452
"hc_expand4_add_kernel",172,22547806,131091,0.25418744767309287
"q8_K_quantize_kernel",344,19088100,55488,0.21518525660229487
"hc_expand4_kernel",172,19051152,110762,0.2147687319161846
"shared_mid_q8_0_preq_warp8_exact_kernel",688,17583238,25557,0.19822054478597775
"dequant_q8_0_to_f16_kernel",86,17531616,203856,0.19763859617316015
"__amd_rocclr_fillBufferAligned.kd",1456,17229253,11833,0.1942299772041669
"moe_sum_f16x2_kernel",344,15761846,45819,0.1776875056205623
"Cijk_Alik_Bljk_HSS_BH_HA_S_UserArgs_MT128x128x32_MI16x16x1_SN_LDSB1_AFC1_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB1_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA256_LBSPPB0_LBSPPM0_LPA16_LPB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT4_4_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB2_ONLL1_PGR1_PLR1_PKA0_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB4_WSGRA0_WSGRB0_WS32_WG32_4_1.kd",172,15754539,91596,0.1776051318552324
"dsv4_qkv_rms_norm_rows_kernel",516,14670024,28430,0.16537910419590343
"Cijk_Alik_Bljk_HSS_BH_HA_S_UserArgs_MT256x64x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA256_LBSPPB256_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV1_MIWT4_4_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA0_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKFTR0_SKXCCM0_TLDS2_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB4_WSGRA0_WSGRB0_WS32_WG64_2_1.kd",168,13526446,80514,0.15248724354058732
"moe_build_expert_tile_offsets_kernel",688,12054173,17520,0.13588991623752256
"Cijk_Alik_Bljk_HSS_BH_Bias_HA_S_SAV_UserArgs_MT64x64x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB1_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB0_LBSPPM0_LPA16_LPB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT2_2_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB2_ONLL1_PGR2_PLR1_PKA0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_TLDS2_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG32_4_1.kd",340,11358629,33407,0.12804886269535826
"matmul_q8_0_hc_expand_f32_sharedx_warp_rows_w32_kernel",344,10852056,31546,0.12233812977836839
"hc_split_weighted_sum_norm_fused_kernel",688,10598669,15405,0.11948163035649373
